SDK2 receiver started on interface: eth0
UDP listen port: 5005
StandUp ret=0
BalanceStand ret=0
Periodic BalanceStand during Move: disabled
SDK command limits: max_vx=0.8 max_vy=0.15 max_vyaw=0.65
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.0744304 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0685712 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0829458 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.112267 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0610954 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.0498281 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.0875659 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.0804591 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0605705 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0813808 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.091925 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0627724 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0643482 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0566804 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0498781 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0608324 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0633483 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.00224684 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0530738 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0577137 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0580402 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0640167 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0686411 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0679589 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.064188 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0563065 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0548221 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.00592859 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0568099 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0509105 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0105557 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0543895 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.089724 move_ret=0
recv cmd vx=0.4 vy=0 vyaw=-0.0870389 move_ret=0
recv cmd vx=0.33997 vy=0 vyaw=-0.169743 move_ret=0
recv cmd vx=0.25 vy=0 vyaw=-0.333945 move_ret=0
recv cmd vx=0.25 vy=0 vyaw=-0.26327 move_ret=0
recv cmd vx=0.25 vy=0 vyaw=-0.143831 move_ret=0
recv cmd vx=0.4 vy=0 vyaw=-0.143834 move_ret=0
recv cmd vx=0.4 vy=0 vyaw=-0.431558 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.234358 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.136602 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.066331 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.00700903 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.00509048 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.00634431 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.00737145 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0566657 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0595931 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0566988 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.05692 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.057851 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0528434 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0524355 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
