1784729341.660143 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784729342.090080480] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784729342.092296108] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784729342.099358235] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784729342.638742086] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.36, clear_frames=3
[WARN] [1784729343.138928513] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.38, clear_frames=5
[WARN] [1784729343.638961399] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.36, clear_frames=7
[WARN] [1784729344.189007592] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=1, lateral_count=0, nearest_x=1.49, clear_frames=10
[WARN] [1784729344.688983674] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.37, clear_frames=11
[WARN] [1784729345.239663265] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.37, clear_frames=13
[WARN] [1784729345.788785651] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.37, clear_frames=14
[INFO] [1784729346.288892231] [unitree_safe_cmd_node]: Move x=0.224, y=0.000, z=0.000, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.36, clear_frames=15
[INFO] [1784729346.838581622] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.39, clear_frames=17
[INFO] [1784729347.338572470] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=18
[INFO] [1784729347.888957687] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.38, clear_frames=19
[INFO] [1784729348.438570355] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.38, clear_frames=21
[INFO] [1784729348.988589062] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.41, clear_frames=22
[INFO] [1784729349.488599316] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=4, lateral_count=0, nearest_x=1.49, clear_frames=24
[INFO] [1784729349.988919886] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.37, clear_frames=26
[INFO] [1784729350.538767261] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=2, lateral_count=0, nearest_x=1.39, clear_frames=29
[INFO] [1784729351.088764527] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.42, clear_frames=31
[INFO] [1784729351.588772795] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.34, clear_frames=34
[INFO] [1784729352.138565668] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.33, clear_frames=36
[INFO] [1784729352.688997625] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.052, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.36, clear_frames=39
[INFO] [1784729353.238697970] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.40, clear_frames=45
[INFO] [1784729353.738636983] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.42, clear_frames=50
[INFO] [1784729354.239145144] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.30, clear_frames=55
