1784729344.914765 [0] waypoint_f: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784729345.815246415] [waypoint_follower]: simple csv waypoint_follower started
[INFO] [1784729345.820197922] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/xbf2.csv
[INFO] [1784729345.824416449] [waypoint_follower]: route_transform_json: identity
[INFO] [1784729345.828721347] [waypoint_follower]: route_frame_mode: False, yaw_old_from_current=0.0000
[INFO] [1784729345.833035599] [waypoint_follower]: route points: 1700
[INFO] [1784729345.837010215] [waypoint_follower]: v_base: 0.5, max_vx: 0.5, use_route_speed: False
[INFO] [1784729345.841049521] [waypoint_follower]: yaw_limits: max=0.5, non_corner=0.3
[INFO] [1784729345.843568460] [waypoint_follower]: lateral_yaw_gain: 0.06, max_lateral_yaw_rate: 0.05, lateral_deadband: 0.03
[INFO] [1784729345.844344640] [waypoint_follower]: lateral velocity correction: gain=0.00, max_vy=0.15m/s, deadband=0.03m, heading_limit=25.0deg, steering_limit=8.0deg
[INFO] [1784729345.845464001] [waypoint_follower]: actual-motion drift compensation: enabled=False, window=1.00s, min_window=0.60s, min_along=0.20m/s, route_angle_max=6.0deg, crab_angle_min=5.0deg, error=0.08/0.05m, stable=1.20s, return_max=0.035m/s, extra_vy_max=0.040m/s, ramp=0.030m/s2
[INFO] [1784729345.846073540] [waypoint_follower]: loop_mode: pingpong
[INFO] [1784729345.847600549] [waypoint_follower]: lookahead_distance: 1.3
[INFO] [1784729345.848240613] [waypoint_follower]: dynamic_lookahead: enabled=True, straight=1.45, corner=0.35, curve=0.85, corner_angle_deg=35.0, scan_distance=2.2, curve_angle_deg=20.0, curve_scan_distance=4.0, curve_heading_preview=1.2, curve_heading_blend=0.35, corner_turn_distance=0.9, corner_exit_distance=0.9, corner_wiggle_distance=1.6, corner_wiggle_min_opposite_angle_deg=30.0, corner_heading_blend=0.3, corner_heading_conflict_blend=0.65, corner_lateral_scale=0.3
[INFO] [1784729345.852090926] [waypoint_follower]: reach_distance: 0.4
[INFO] [1784729345.854196343] [waypoint_follower]: turn_crawl_vx: 0.25
[INFO] [1784729345.856214463] [waypoint_follower]: odom_jump_limits: distance=0.8, z=0.5, dt=2.0
[INFO] [1784729345.860557484] [waypoint_follower]: start_policy: route_start, start_max_distance: 0.35, start_max_yaw_error: 0.35
[INFO] [1784729345.861952751] [waypoint_follower]: allow_global_relocalize: False, stuck_relocalize: False, recovery_distance: 1.0, recovery_heading_distance: 0.35, recovery_yaw_error: 0.75, recovery_vx: 0.25, max_route_deviation: 5.0
[INFO] [1784729345.865759225] [waypoint_follower]: soft_unstick_yaw_rate: 0.0, soft_unstick_min_moved: 0.15, progress_s_epsilon: 0.08
[INFO] [1784729345.868003791] [waypoint_follower]: projection: local route window enabled; speed-step clamp disabled; configured_speed_scale=1.2, configured_max_step=0.12, progress_forward_tolerance=0.45, progress_backtrack_tolerance=0.12
[INFO] [1784729345.881994069] [waypoint_follower]: init nearest_index=0, distance_to_start=0.017
[INFO] [1784729345.904988761] [waypoint_follower]: nearest=0, target=4, s=0.00/643.40, projected_segment_index=0, segment_t=0.00, raw_s=0.00, raw_segment_index=0, raw_t=0.00, projection_limited=False, target_s=1.45, target_xy=(1.44,0.02), lookahead_distance=1.45, corner_angle=0.00, corner_angle_deg=0.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.00, curve_active=False, target_segment_index=3, target_t=0.63, route_yaw=0.01, dist=1.46, route_d=0.02, lateral_error=-0.01, route_heading_error=0.02, lateral_yaw_rate=0.00, lateral_velocity=0.00, lateral_alignment_allowed=True, motion_valid=False, motion_along=0.00, motion_cross=0.00, motion_route_angle_deg=0.0, body_crab_angle_deg=0.0, drift_stable=0.00, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, pose=(-0.02,0.00,-0.01), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.03, heading_control=lookahead_target:0.03, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.00, curve_heading_error=0.00, heading_yaw_rate=0.00, vx=0.02, vy=0.00, yaw_rate=0.00, dir=1, turn_crawl=False
[INFO] [1784729346.951538867] [waypoint_follower]: nearest=0, target=4, s=0.00/643.40, projected_segment_index=0, segment_t=0.00, raw_s=0.00, raw_segment_index=0, raw_t=0.00, projection_limited=False, target_s=1.45, target_xy=(1.44,0.02), lookahead_distance=1.45, corner_angle=0.00, corner_angle_deg=0.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.00, curve_active=False, target_segment_index=3, target_t=0.63, route_yaw=0.01, dist=1.46, route_d=0.01, lateral_error=-0.00, route_heading_error=0.02, lateral_yaw_rate=0.00, lateral_velocity=0.00, lateral_alignment_allowed=True, motion_valid=False, motion_along=0.00, motion_cross=0.00, motion_route_angle_deg=0.0, body_crab_angle_deg=0.0, drift_stable=0.00, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, pose=(-0.02,0.01,-0.01), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.02, heading_control=lookahead_target:0.02, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.00, curve_heading_error=0.00, heading_yaw_rate=0.00, vx=0.50, vy=0.00, yaw_rate=0.00, dir=1, turn_crawl=False
[INFO] [1784729347.951634029] [waypoint_follower]: nearest=0, target=4, s=0.00/643.40, projected_segment_index=0, segment_t=0.00, raw_s=0.00, raw_segment_index=0, raw_t=0.00, projection_limited=False, target_s=1.45, target_xy=(1.44,0.02), lookahead_distance=1.45, corner_angle=0.00, corner_angle_deg=0.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.00, curve_active=False, target_segment_index=3, target_t=0.63, route_yaw=0.01, dist=1.46, route_d=0.02, lateral_error=-0.00, route_heading_error=0.02, lateral_yaw_rate=0.00, lateral_velocity=0.00, lateral_alignment_allowed=True, motion_valid=False, motion_along=0.00, motion_cross=0.00, motion_route_angle_deg=0.0, body_crab_angle_deg=0.0, drift_stable=0.00, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, pose=(-0.02,0.00,-0.01), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.02, heading_control=lookahead_target:0.02, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.00, curve_heading_error=0.00, heading_yaw_rate=0.00, vx=0.50, vy=0.00, yaw_rate=0.00, dir=1, turn_crawl=False
[WARN] [1784729348.001571560] [waypoint_follower]: no waypoint progress for 2.0s; csv follower applies soft unstick when movement is too small; pose=(-0.021,0.005,-0.012), progress_s=0.000, last_progress_s=0.000, moved_since_progress=0.005, projected=(-0.007,0.009), projected_segment_index=0, segment_t=0.000, raw_s=0.000, raw_segment_index=0, raw_t=0.000, projection_limited=False, target_s=1.450, target=(1.443,0.023), lookahead_distance=1.450, corner_angle=0.000, corner_angle_deg=0.0, corner_s=-1.000, corner_distance=-1.000, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.000, curve_active=False, target_segment_index=3, target_t=0.625, route_yaw=0.010, target_alpha=0.025, route_heading_error=0.022, heading_control=lookahead_target:0.025, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.000, curve_heading_error=0.000, lateral_error=-0.004, heading_yaw_rate=0.000, lateral_yaw_rate=0.000, lateral_alignment_allowed=True, motion_valid=False, motion_along=0.000, motion_cross=0.000, motion_route_angle=0.000, body_crab_angle=0.000, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, cmd=(0.500,0.000,0.000), dir=1, turn_crawl=False, soft_unstick=False, allow_soft_unstick=True
[INFO] [1784729349.001765848] [waypoint_follower]: nearest=0, target=4, s=0.00/643.40, projected_segment_index=0, segment_t=0.00, raw_s=0.00, raw_segment_index=0, raw_t=0.00, projection_limited=False, target_s=1.45, target_xy=(1.44,0.02), lookahead_distance=1.45, corner_angle=0.00, corner_angle_deg=0.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.00, curve_active=False, target_segment_index=3, target_t=0.63, route_yaw=0.01, dist=1.47, route_d=0.02, lateral_error=-0.00, route_heading_error=0.02, lateral_yaw_rate=0.00, lateral_velocity=0.00, lateral_alignment_allowed=True, motion_valid=False, motion_along=0.00, motion_cross=0.00, motion_route_angle_deg=0.0, body_crab_angle_deg=0.0, drift_stable=0.00, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, pose=(-0.03,0.01,-0.01), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.02, heading_control=lookahead_target:0.02, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.00, curve_heading_error=0.00, heading_yaw_rate=0.00, vx=0.50, vy=0.00, yaw_rate=0.00, dir=1, turn_crawl=False
[WARN] [1784729350.001713547] [waypoint_follower]: no waypoint progress for 4.0s; csv follower applies soft unstick when movement is too small; pose=(-0.024,0.005,-0.012), progress_s=0.000, last_progress_s=0.000, moved_since_progress=0.006, projected=(-0.007,0.009), projected_segment_index=0, segment_t=0.000, raw_s=0.000, raw_segment_index=0, raw_t=0.000, projection_limited=False, target_s=1.450, target=(1.443,0.023), lookahead_distance=1.450, corner_angle=0.000, corner_angle_deg=0.0, corner_s=-1.000, corner_distance=-1.000, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.000, curve_active=False, target_segment_index=3, target_t=0.625, route_yaw=0.010, target_alpha=0.024, route_heading_error=0.022, heading_control=lookahead_target:0.024, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.000, curve_heading_error=0.000, lateral_error=-0.004, heading_yaw_rate=0.000, lateral_yaw_rate=0.000, lateral_alignment_allowed=True, motion_valid=False, motion_along=0.000, motion_cross=0.000, motion_route_angle=0.000, body_crab_angle=0.000, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, cmd=(0.500,0.000,0.000), dir=1, turn_crawl=False, soft_unstick=False, allow_soft_unstick=True
[INFO] [1784729350.002744315] [waypoint_follower]: nearest=0, target=4, s=0.00/643.40, projected_segment_index=0, segment_t=0.00, raw_s=0.00, raw_segment_index=0, raw_t=0.00, projection_limited=False, target_s=1.45, target_xy=(1.44,0.02), lookahead_distance=1.45, corner_angle=0.00, corner_angle_deg=0.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.00, curve_active=False, target_segment_index=3, target_t=0.63, route_yaw=0.01, dist=1.47, route_d=0.02, lateral_error=-0.00, route_heading_error=0.02, lateral_yaw_rate=0.00, lateral_velocity=0.00, lateral_alignment_allowed=True, motion_valid=False, motion_along=0.00, motion_cross=0.00, motion_route_angle_deg=0.0, body_crab_angle_deg=0.0, drift_stable=0.00, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, pose=(-0.02,0.01,-0.01), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.02, heading_control=lookahead_target:0.02, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.00, curve_heading_error=0.00, heading_yaw_rate=0.00, vx=0.50, vy=0.00, yaw_rate=0.00, dir=1, turn_crawl=False
[INFO] [1784729351.057608851] [waypoint_follower]: nearest=0, target=4, s=0.00/643.40, projected_segment_index=0, segment_t=0.00, raw_s=0.00, raw_segment_index=0, raw_t=0.00, projection_limited=False, target_s=1.45, target_xy=(1.44,0.02), lookahead_distance=1.45, corner_angle=0.00, corner_angle_deg=0.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.00, curve_active=False, target_segment_index=3, target_t=0.63, route_yaw=0.01, dist=1.46, route_d=0.01, lateral_error=-0.01, route_heading_error=0.02, lateral_yaw_rate=0.00, lateral_velocity=0.00, lateral_alignment_allowed=True, motion_valid=False, motion_along=0.00, motion_cross=0.00, motion_route_angle_deg=0.0, body_crab_angle_deg=0.0, drift_stable=0.00, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, pose=(-0.02,0.00,-0.01), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.03, heading_control=lookahead_target:0.03, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.00, curve_heading_error=0.00, heading_yaw_rate=0.00, vx=0.50, vy=0.00, yaw_rate=0.00, dir=1, turn_crawl=False
[INFO] [1784729352.101637464] [waypoint_follower]: nearest=1, target=5, s=0.46/643.40, projected_segment_index=1, segment_t=0.14, raw_s=0.46, raw_segment_index=1, raw_t=0.14, projection_limited=False, target_s=1.91, target_xy=(1.90,0.03), lookahead_distance=1.45, corner_angle=0.00, corner_angle_deg=0.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.00, curve_active=False, target_segment_index=4, target_t=0.77, route_yaw=0.01, dist=1.45, route_d=0.05, lateral_error=-0.05, route_heading_error=0.02, lateral_yaw_rate=0.00, lateral_velocity=0.00, lateral_alignment_allowed=True, motion_valid=True, motion_along=0.34, motion_cross=-0.03, motion_route_angle_deg=-4.5, body_crab_angle_deg=-3.4, drift_stable=0.00, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, pose=(0.45,-0.03,-0.01), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.05, heading_control=lookahead_target:0.05, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.00, curve_heading_error=0.00, heading_yaw_rate=0.00, vx=0.50, vy=0.00, yaw_rate=0.00, dir=1, turn_crawl=False
[INFO] [1784729353.101969913] [waypoint_follower]: nearest=4, target=7, s=1.41/643.40, projected_segment_index=3, segment_t=0.53, raw_s=1.41, raw_segment_index=3, raw_t=0.53, projection_limited=False, target_s=2.86, target_xy=(2.86,0.04), lookahead_distance=1.45, corner_angle=0.06, corner_angle_deg=3.7, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.00, curve_active=False, target_segment_index=7, target_t=0.16, route_yaw=0.01, dist=1.45, route_d=0.06, lateral_error=-0.06, route_heading_error=0.01, lateral_yaw_rate=0.00, lateral_velocity=0.00, lateral_alignment_allowed=True, motion_valid=True, motion_along=0.41, motion_cross=-0.01, motion_route_angle_deg=-1.6, body_crab_angle_deg=-1.1, drift_stable=0.00, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, pose=(1.41,-0.04,0.00), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.05, heading_control=lookahead_target:0.05, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.00, curve_heading_error=0.00, heading_yaw_rate=0.00, vx=0.50, vy=0.00, yaw_rate=0.00, dir=1, turn_crawl=False
[INFO] [1784729354.151982803] [waypoint_follower]: nearest=6, target=10, s=2.42/643.40, projected_segment_index=6, segment_t=0.04, raw_s=2.42, raw_segment_index=6, raw_t=0.04, projection_limited=False, target_s=3.87, target_xy=(3.86,0.06), lookahead_distance=1.45, corner_angle=0.06, corner_angle_deg=3.7, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, curve_angle_deg=3.7, curve_distance=-1.00, curve_active=False, target_segment_index=9, target_t=0.66, route_yaw=0.01, dist=1.45, route_d=0.05, lateral_error=-0.05, route_heading_error=0.00, lateral_yaw_rate=0.00, lateral_velocity=0.00, lateral_alignment_allowed=True, motion_valid=True, motion_along=0.42, motion_cross=-0.00, motion_route_angle_deg=-0.1, body_crab_angle_deg=0.0, drift_stable=0.00, drift_extra_vy=0.000, drift_closing=0.000/0.000, drift_active=False, pose=(2.41,-0.01,0.01), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.05, heading_control=lookahead_target:0.05, mode=FOLLOW, state_reason=csv_track, corner_turn=False, corner_heading_error=0.00, curve_heading_error=0.00, heading_yaw_rate=0.00, vx=0.50, vy=0.00, yaw_rate=0.00, dir=1, turn_crawl=False
