1784988380.339752 [0]    python3: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
CALIBRATING samples=0/15 dropped_cloud_frames=0 rejected_motion=0 rejected_source=0
LEVEL_FRAME_READY samples=15 tilt_deg=34.324048 spread_deg=0.757724 source_disagreement_deg=0.912658
POINTS 736 FRAMES 1/19 LEVEL_TILT_DEG 34.324048
POINTS 5127 FRAMES 7/36 LEVEL_TILT_DEG 34.324048
POINTS 9509 FRAMES 13/55 LEVEL_TILT_DEG 34.324048
POINTS 13882 FRAMES 19/72 LEVEL_TILT_DEG 34.324048
POINTS 18265 FRAMES 25/92 LEVEL_TILT_DEG 34.324048
POINTS 23294 FRAMES 32/112 LEVEL_TILT_DEG 34.324048
POINTS 27531 FRAMES 38/131 LEVEL_TILT_DEG 34.324048
POINTS 32572 FRAMES 45/151 LEVEL_TILT_DEG 34.324048
POINTS 37459 FRAMES 52/171 LEVEL_TILT_DEG 34.324048
POINTS 31281 FRAMES 58/191 LEVEL_TILT_DEG 34.324048
POINTS 36230 FRAMES 65/211 LEVEL_TILT_DEG 34.324048
POINTS 41064 FRAMES 72/231 LEVEL_TILT_DEG 34.324048
POINTS 45103 FRAMES 78/251 LEVEL_TILT_DEG 34.324048
POINTS 49832 FRAMES 85/271 LEVEL_TILT_DEG 34.324048
POINTS 54407 FRAMES 92/292 LEVEL_TILT_DEG 34.324048
POINTS 59092 FRAMES 99/312 LEVEL_TILT_DEG 34.324048
POINTS 63156 FRAMES 105/331 LEVEL_TILT_DEG 34.324048
POINTS 67911 FRAMES 112/351 LEVEL_TILT_DEG 34.324048
POINTS 72571 FRAMES 119/372 LEVEL_TILT_DEG 34.324048
POINTS 68794 FRAMES 124/389 LEVEL_TILT_DEG 34.324048
POINTS 73695 FRAMES 131/408 LEVEL_TILT_DEG 34.324048
POINTS 78172 FRAMES 137/428 LEVEL_TILT_DEG 34.324048
POINTS 83433 FRAMES 144/449 LEVEL_TILT_DEG 34.324048
POINTS 88492 FRAMES 151/469 LEVEL_TILT_DEG 34.324048
POINTS 93587 FRAMES 158/489 LEVEL_TILT_DEG 34.324048
POINTS 97983 FRAMES 164/508 LEVEL_TILT_DEG 34.324048
POINTS 103073 FRAMES 171/529 LEVEL_TILT_DEG 34.324048
POINTS 106722 FRAMES 176/545 LEVEL_TILT_DEG 34.324048
POINTS 111964 FRAMES 183/565 LEVEL_TILT_DEG 34.324048
POINTS 111350 FRAMES 189/583 LEVEL_TILT_DEG 34.324048
POINTS 115721 FRAMES 195/602 LEVEL_TILT_DEG 34.324048
POINTS 120797 FRAMES 202/622 LEVEL_TILT_DEG 34.324048
POINTS 125631 FRAMES 209/643 LEVEL_TILT_DEG 34.324048
POINTS 128921 FRAMES 214/659 LEVEL_TILT_DEG 34.324048
POINTS 132334 FRAMES 219/674 LEVEL_TILT_DEG 34.324048
POINTS 137220 FRAMES 226/694 LEVEL_TILT_DEG 34.324048
POINTS 141559 FRAMES 232/712 LEVEL_TILT_DEG 34.324048
POINTS 146652 FRAMES 239/733 LEVEL_TILT_DEG 34.324048
POINTS 150945 FRAMES 245/752 LEVEL_TILT_DEG 34.324048
POINTS 150481 FRAMES 251/770 LEVEL_TILT_DEG 34.324048
