SDK2 receiver started on interface: eth0
UDP listen port: 5005
StandUp ret=0
BalanceStand ret=0
Periodic BalanceStand during Move: disabled
SDK command limits: max_vx=0.8 max_vy=0.15 max_vyaw=0.65
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.144858 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0.00446117 vyaw=0.0021569 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0.0104818 vyaw=-0.00263939 move_ret=0
recv cmd vx=0.5 vy=-0.0729241 vyaw=-0.0788855 move_ret=0
recv cmd vx=0.5 vy=-0.10096 vyaw=-0.076247 move_ret=0
recv cmd vx=0.5 vy=-0.0472626 vyaw=-0.00558647 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0.0205907 vyaw=0.0910362 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.106197 move_ret=0
recv cmd vx=0.5 vy=0.0362942 vyaw=0.00470354 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.141641 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.200556 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.171274 move_ret=0
recv cmd vx=0.5 vy=-0.0500487 vyaw=-0.087517 move_ret=0
recv cmd vx=0.5 vy=-0.0767601 vyaw=0.0620897 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.182749 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.235925 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.107908 move_ret=0
recv cmd vx=0.5 vy=0.0499998 vyaw=0.00583856 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.159481 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.136268 move_ret=0
recv cmd vx=0.5 vy=-0.0898978 vyaw=-0.068247 move_ret=0
recv cmd vx=0.5 vy=-0.0433829 vyaw=-0.00527588 move_ret=0
recv cmd vx=0.5 vy=-0.00929002 vyaw=-0.00254433 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0.0158666 vyaw=-0.00306981 move_ret=0
recv cmd vx=0.5 vy=-0.0140983 vyaw=-0.00292805 move_ret=0
recv cmd vx=0.5 vy=-0.0156629 vyaw=-0.00305326 move_ret=0
recv cmd vx=0.5 vy=-0.0301337 vyaw=-0.0042107 move_ret=0
recv cmd vx=0.5 vy=-0.0295426 vyaw=-0.00416341 move_ret=0
recv cmd vx=0.5 vy=-0.0214362 vyaw=-0.00351534 move_ret=0
recv cmd vx=0.5 vy=-0.0290781 vyaw=-0.00412625 move_ret=0
recv cmd vx=0.5 vy=-0.0374815 vyaw=-0.0548818 move_ret=0
recv cmd vx=0.5 vy=-0.0268844 vyaw=-0.00395139 move_ret=0
recv cmd vx=0.5 vy=-0.025152 vyaw=-0.00381217 move_ret=0
recv cmd vx=0.5 vy=-0.047126 vyaw=-0.0055704 move_ret=0
recv cmd vx=0.5 vy=-0.0211734 vyaw=-0.00349416 move_ret=0
recv cmd vx=0.5 vy=-0.0483172 vyaw=-0.00566547 move_ret=0
recv cmd vx=0.5 vy=-0.0244492 vyaw=-0.00375628 move_ret=0
recv cmd vx=0.5 vy=-0.0228549 vyaw=-0.0036284 move_ret=0
recv cmd vx=0.5 vy=-0.0292676 vyaw=-0.00414142 move_ret=0
recv cmd vx=0.5 vy=-0.027807 vyaw=-0.0040252 move_ret=0
recv cmd vx=0.5 vy=-0.034778 vyaw=-0.00458225 move_ret=0
recv cmd vx=0.5 vy=-0.0396365 vyaw=-0.00497104 move_ret=0
recv cmd vx=0.5 vy=-0.0223587 vyaw=-0.0566979 move_ret=0
recv cmd vx=0.5 vy=-0.0227128 vyaw=-0.0599277 move_ret=0
recv cmd vx=0.5 vy=-0.0370284 vyaw=-0.00476246 move_ret=0
recv cmd vx=0.5 vy=-0.0128209 vyaw=-0.0028257 move_ret=0
recv cmd vx=0.5 vy=-0.0168416 vyaw=-0.00314734 move_ret=0
recv cmd vx=0.5 vy=-0.00877747 vyaw=-0.00250241 move_ret=0
recv cmd vx=0.5 vy=-0.0115373 vyaw=-0.00272299 move_ret=0
recv cmd vx=0.5 vy=-0.0137358 vyaw=-0.00289907 move_ret=0
recv cmd vx=0.5 vy=-0.0314208 vyaw=-0.00431477 move_ret=0
recv cmd vx=0.5 vy=-0.0288612 vyaw=-0.00411059 move_ret=0
recv cmd vx=0.5 vy=-0.0336037 vyaw=-0.00448837 move_ret=0
recv cmd vx=0.5 vy=-0.023375 vyaw=-0.00367097 move_ret=0
recv cmd vx=0.5 vy=-0.03219 vyaw=-0.00437521 move_ret=0
recv cmd vx=0.5 vy=-0.0222385 vyaw=-0.0035791 move_ret=0
recv cmd vx=0.5 vy=-0.0245033 vyaw=-0.00376053 move_ret=0
recv cmd vx=0.5 vy=-0.0277457 vyaw=-0.0040197 move_ret=0
recv cmd vx=0.5 vy=-0.0262937 vyaw=-0.00390443 move_ret=0
recv cmd vx=0.5 vy=-0.043169 vyaw=-0.00525352 move_ret=0
recv cmd vx=0.5 vy=-0.0289058 vyaw=-0.0041126 move_ret=0
recv cmd vx=0.5 vy=-0.0242945 vyaw=-0.00374406 move_ret=0
recv cmd vx=0.5 vy=-0.0329886 vyaw=-0.00443916 move_ret=0
recv cmd vx=0.5 vy=-0.0253592 vyaw=-0.0038288 move_ret=0
recv cmd vx=0.5 vy=-0.0291239 vyaw=-0.059849 move_ret=0
recv cmd vx=0.5 vy=-0.0143564 vyaw=-0.00294907 move_ret=0
recv cmd vx=0.5 vy=-0.0186144 vyaw=-0.00328994 move_ret=0
recv cmd vx=0.5 vy=-0.0219092 vyaw=-0.00355308 move_ret=0
recv cmd vx=0.5 vy=-0.0273748 vyaw=-0.00399017 move_ret=0
recv cmd vx=0.5 vy=-0.0337288 vyaw=-0.0579212 move_ret=0
recv cmd vx=0.5 vy=-0.0178345 vyaw=-0.00322686 move_ret=0
recv cmd vx=0.5 vy=-0.0194952 vyaw=-0.00335974 move_ret=0
recv cmd vx=0.5 vy=-0.00943824 vyaw=-0.00255518 move_ret=0
recv cmd vx=0.5 vy=-0.0216348 vyaw=-0.00353089 move_ret=0
recv cmd vx=0.5 vy=-0.0238381 vyaw=-0.00370724 move_ret=0
recv cmd vx=0.5 vy=-0.0135592 vyaw=-0.0572117 move_ret=0
recv cmd vx=0.5 vy=-0.0264414 vyaw=-0.0039154 move_ret=0
recv cmd vx=0.5 vy=-0.0279687 vyaw=-0.00403857 move_ret=0
recv cmd vx=0.5 vy=-0.0205083 vyaw=-0.00936376 move_ret=0
recv cmd vx=0.5 vy=-0.0232215 vyaw=-0.00365781 move_ret=0
recv cmd vx=0.5 vy=-0.0172561 vyaw=-0.0031809 move_ret=0
recv cmd vx=0.5 vy=-0.0285958 vyaw=-0.0107695 move_ret=0
recv cmd vx=0.5 vy=-0.0325469 vyaw=-0.00440377 move_ret=0
recv cmd vx=0.5 vy=-0.0224937 vyaw=-0.00359971 move_ret=0
recv cmd vx=0.5 vy=-0.0141829 vyaw=-0.00293506 move_ret=0
recv cmd vx=0.5 vy=-0.0360163 vyaw=-0.00468135 move_ret=0
recv cmd vx=0.5 vy=-0.0190754 vyaw=-0.00332659 move_ret=0
recv cmd vx=0.5 vy=-0.01398 vyaw=-0.00291863 move_ret=0
recv cmd vx=0.5 vy=-0.0256629 vyaw=-0.00385341 move_ret=0
recv cmd vx=0.5 vy=-0.0308629 vyaw=-0.0543768 move_ret=0
recv cmd vx=0.5 vy=-0.0321784 vyaw=-0.0620378 move_ret=0
recv cmd vx=0.5 vy=-0.027264 vyaw=-0.00398112 move_ret=0
recv cmd vx=0.5 vy=-0.00670122 vyaw=-0.0023361 move_ret=0
recv cmd vx=0.5 vy=-0.0332604 vyaw=-0.00446117 move_ret=0
recv cmd vx=0.5 vy=-0.0319074 vyaw=-0.0618132 move_ret=0
recv cmd vx=0.5 vy=-0.0126746 vyaw=-0.0573835 move_ret=0
recv cmd vx=0.5 vy=-0.0162898 vyaw=-0.00310319 move_ret=0
recv cmd vx=0.5 vy=-0.00776129 vyaw=-0.00242093 move_ret=0
recv cmd vx=0.5 vy=-0.0264892 vyaw=-0.00391917 move_ret=0
recv cmd vx=0.5 vy=-0.0272258 vyaw=-0.00397835 move_ret=0
recv cmd vx=0.5 vy=-0.0354054 vyaw=-0.00463251 move_ret=0
recv cmd vx=0.5 vy=-0.017785 vyaw=-0.00322315 move_ret=0
recv cmd vx=0.5 vy=-0.0205111 vyaw=-0.00344094 move_ret=0
recv cmd vx=0.5 vy=-0.0296604 vyaw=-0.00417359 move_ret=0
recv cmd vx=0.5 vy=-0.0116082 vyaw=-0.00272926 move_ret=0
recv cmd vx=0.5 vy=-0.0295942 vyaw=-0.00416767 move_ret=0
recv cmd vx=0.5 vy=-0.0247171 vyaw=-0.0603449 move_ret=0
recv cmd vx=0.5 vy=-0.0216611 vyaw=-0.00353306 move_ret=0
recv cmd vx=0.5 vy=-0.0131017 vyaw=-0.00284815 move_ret=0
recv cmd vx=0.5 vy=-0.0162247 vyaw=-0.00309881 move_ret=0
recv cmd vx=0.5 vy=-0.0152235 vyaw=-0.00301816 move_ret=0
recv cmd vx=0.5 vy=-0.0268255 vyaw=-0.0039471 move_ret=0
recv cmd vx=0.5 vy=-0.00466187 vyaw=-0.00217326 move_ret=0
recv cmd vx=0.5 vy=-0.0379645 vyaw=-0.0048375 move_ret=0
recv cmd vx=0.5 vy=-0.00277901 vyaw=-0.00202237 move_ret=0
recv cmd vx=0.5 vy=-0.0216747 vyaw=-0.00353398 move_ret=0
recv cmd vx=0.5 vy=-0.0342228 vyaw=-0.0631482 move_ret=0
recv cmd vx=0.5 vy=-0.0142312 vyaw=-0.0611372 move_ret=0
recv cmd vx=0.5 vy=-0.0116723 vyaw=-0.0590854 move_ret=0
recv cmd vx=0.4 vy=0 vyaw=-0.0545296 move_ret=0
recv cmd vx=0.368539 vy=0 vyaw=-0.107275 move_ret=0
recv cmd vx=0.25 vy=0 vyaw=-0.237596 move_ret=0
recv cmd vx=0.25 vy=0 vyaw=-0.258327 move_ret=0
recv cmd vx=0.25 vy=0 vyaw=-0.109811 move_ret=0
recv cmd vx=0.4 vy=0 vyaw=0.00734674 move_ret=0
recv cmd vx=0.4 vy=0 vyaw=-0.340712 move_ret=0
recv cmd vx=0.430536 vy=0 vyaw=-0.318148 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.225421 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.14813 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0886164 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.0775294 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.00519841 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.00612754 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=0.00694361 move_ret=0
recv cmd vx=0.5 vy=0.15 vyaw=0.0242367 move_ret=0
recv cmd vx=0.5 vy=0.15 vyaw=0.0204785 move_ret=0
recv cmd vx=0.5 vy=0.15 vyaw=-0.0752664 move_ret=0
recv cmd vx=0.5 vy=0 vyaw=-0.112242 move_ret=0
recv cmd vx=0.5 vy=0.0899404 vyaw=-0.0535513 move_ret=0
recv cmd vx=0.5 vy=0.15 vyaw=0.0162716 move_ret=0
recv cmd vx=0.5 vy=0.15 vyaw=0.0141951 move_ret=0
