1784731513.788775 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784731514.191919345] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784731514.194194867] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784731514.202817999] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784731514.704771016] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.38, clear_frames=3
[WARN] [1784731515.206689498] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.45, clear_frames=5
[WARN] [1784731515.753122444] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.37, clear_frames=7
[WARN] [1784731516.253233536] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.39, clear_frames=8
[WARN] [1784731516.753212223] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.38, clear_frames=9
[INFO] [1784731517.303122940] [unitree_safe_cmd_node]: Move x=0.265, y=0.000, z=0.000, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.34, clear_frames=11
[INFO] [1784731517.803577408] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.42, clear_frames=13
[INFO] [1784731518.303413814] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=14, lateral_count=0, nearest_x=1.34, clear_frames=14
[INFO] [1784731518.855674935] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.41, clear_frames=16
[INFO] [1784731519.403287619] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.42, clear_frames=17
[INFO] [1784731519.903294601] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.36, clear_frames=18
[INFO] [1784731520.453013855] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.48, clear_frames=20
[INFO] [1784731521.003410997] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.34, clear_frames=21
[INFO] [1784731521.553126488] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.36, clear_frames=23
[INFO] [1784731522.053741176] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.44, clear_frames=25
[INFO] [1784731522.554079864] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.42, clear_frames=27
[INFO] [1784731523.055458152] [unitree_safe_cmd_node]: Move x=0.500, y=0.004, z=0.002, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.33, clear_frames=30
[INFO] [1784731523.604293841] [unitree_safe_cmd_node]: Move x=0.500, y=0.014, z=0.003, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.38, clear_frames=33
[INFO] [1784731524.104280197] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.40, clear_frames=36
[INFO] [1784731524.653303275] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.34, clear_frames=42
[INFO] [1784731525.202866643] [unitree_safe_cmd_node]: Move x=0.500, y=-0.014, z=-0.003, stop_count=0, roi_count=18, lateral_count=0, nearest_x=1.30, clear_frames=49
[INFO] [1784731525.703555750] [unitree_safe_cmd_node]: Move x=0.500, y=-0.077, z=-0.082, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.31, clear_frames=55
[INFO] [1784731526.204238837] [unitree_safe_cmd_node]: Move x=0.500, y=-0.075, z=-0.076, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.32, clear_frames=60
[INFO] [1784731526.753012924] [unitree_safe_cmd_node]: Move x=0.500, y=-0.099, z=-0.093, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.35, clear_frames=67
[INFO] [1784731527.253456557] [unitree_safe_cmd_node]: Move x=0.500, y=-0.089, z=-0.027, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.34, clear_frames=73
[INFO] [1784731527.753997991] [unitree_safe_cmd_node]: Move x=0.500, y=-0.072, z=-0.008, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.40, clear_frames=78
[INFO] [1784731528.303165919] [unitree_safe_cmd_node]: Move x=0.500, y=-0.040, z=-0.005, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.42, clear_frames=81
[INFO] [1784731528.853113546] [unitree_safe_cmd_node]: Move x=0.500, y=-0.003, z=-0.002, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.42, clear_frames=85
[INFO] [1784731529.355032611] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.064, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.33, clear_frames=89
[INFO] [1784731529.906500145] [unitree_safe_cmd_node]: Move x=0.500, y=0.007, z=0.075, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=95
[INFO] [1784731530.464061207] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.104, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.37, clear_frames=101
[INFO] [1784731531.014638863] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.102, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.34, clear_frames=107
[INFO] [1784731531.555318789] [unitree_safe_cmd_node]: Move x=0.500, y=0.040, z=0.076, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.34, clear_frames=112
[INFO] [1784731532.055197877] [unitree_safe_cmd_node]: Move x=0.500, y=0.036, z=0.005, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.29, clear_frames=117
[INFO] [1784731532.605451045] [unitree_safe_cmd_node]: Move x=0.500, y=0.014, z=0.003, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.36, clear_frames=122
[INFO] [1784731533.154302144] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.41, clear_frames=127
[INFO] [1784731533.654437286] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.108, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.30, clear_frames=133
[INFO] [1784731534.202778161] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.142, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.39, clear_frames=138
[INFO] [1784731534.703124205] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.168, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.42, clear_frames=142
[INFO] [1784731535.252785924] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.204, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.39, clear_frames=148
[INFO] [1784731535.752935289] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.199, stop_count=0, roi_count=13, lateral_count=0, nearest_x=1.35, clear_frames=153
[INFO] [1784731536.253352467] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.161, stop_count=0, roi_count=5, lateral_count=0, nearest_x=1.45, clear_frames=158
[INFO] [1784731536.758185919] [unitree_safe_cmd_node]: Move x=0.500, y=0.000, z=-0.128, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.31, clear_frames=164
[INFO] [1784731537.303301166] [unitree_safe_cmd_node]: Move x=0.500, y=-0.090, z=-0.077, stop_count=0, roi_count=11, lateral_count=0, nearest_x=1.33, clear_frames=170
