SDK2 receiver started on interface: eth0
UDP listen port: 5005
StandUp ret=0
BalanceStand ret=0
Periodic BalanceStand during Move: disabled
SDK command limits: max_vx=0.8 max_vy=0.02 max_vyaw=0.65
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0 vy=0 vyaw=0 move_ret=0
recv cmd vx=0 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.449992 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0501716 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.358306 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.213691 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.263745 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.360759 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.182919 move_ret=0
recv cmd vx=0.16996 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.0590617 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.402093 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.29018 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.0820826 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.458222 vy=-0 vyaw=0.400133 move_ret=0
recv cmd vx=0.200001 vy=-0 vyaw=-0.599877 move_ret=0
recv cmd vx=0.340332 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=0.121412 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.448052 vy=-0 vyaw=-0.121141 move_ret=0
recv cmd vx=0.445017 vy=-0 vyaw=-0.55026 move_ret=0
recv cmd vx=0.461417 vy=-0 vyaw=0.430844 move_ret=0
recv cmd vx=0.496505 vy=-0 vyaw=-0.199939 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.14987 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.149918 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.21175 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.200025 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.0998771 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.245031 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.15011 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.150075 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.150103 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.200156 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.199956 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.100122 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0500736 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.202267 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.36655 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.0276075 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.357215 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=0.499965 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.380885 move_ret=0
recv cmd vx=0.200168 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.263686 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.410113 vy=-0 vyaw=-0.196987 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.216964 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.232788 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.150014 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.299006 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.346215 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.201292 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.31218 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.204156 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.150228 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.0998652 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-4.73976e-05 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.221884 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0994091 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.200792 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.266556 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.149983 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.150053 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.0502443 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.149921 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-1.55449e-05 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.348798 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.338413 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.402923 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.197617 move_ret=0
recv cmd vx=0.215707 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.420629 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.479966 vy=-0 vyaw=0.327174 move_ret=0
recv cmd vx=0.201116 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.380121 vy=-0 vyaw=-0.227856 move_ret=0
recv cmd vx=0.0837178 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.469613 vy=-0 vyaw=-0.488885 move_ret=0
recv cmd vx=0.360252 vy=-0 vyaw=0.286541 move_ret=0
recv cmd vx=0.49457 vy=-0 vyaw=0.43139 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=-0.454784 move_ret=0
recv cmd vx=0.492088 vy=-0 vyaw=-0.0928981 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0999341 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.099911 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.150004 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.0499919 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.149903 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.149671 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.149777 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.199979 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.226026 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.257458 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0992229 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.369645 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.296198 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.292459 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.335318 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0494228 move_ret=0
recv cmd vx=0.434426 vy=-0 vyaw=-0.56995 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.130671 move_ret=0
recv cmd vx=0.197888 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.440068 vy=-0 vyaw=-0.142972 move_ret=0
recv cmd vx=0.206152 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.413296 vy=-0 vyaw=0.149957 move_ret=0
recv cmd vx=0.253875 vy=-0 vyaw=0.6 move_ret=0
recv cmd vx=0.458995 vy=-0 vyaw=0.513348 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=-0.486436 move_ret=0
recv cmd vx=0.35 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.356983 vy=-0 vyaw=0.197168 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.34995 move_ret=0
recv cmd vx=0.439886 vy=-0 vyaw=-0.550146 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.217845 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.0500185 move_ret=0
recv cmd vx=0.491002 vy=-0 vyaw=0.2 move_ret=0
recv cmd vx=0.428307 vy=-0 vyaw=-0.348688 move_ret=0
recv cmd vx=0.260316 vy=-0 vyaw=-0.6 move_ret=0
recv cmd vx=0.470232 vy=-0 vyaw=-0.442071 move_ret=0
recv cmd vx=0.485904 vy=-0 vyaw=-0.451354 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.099931 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.100127 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=4.72546e-05 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=3.23772e-05 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=-0.199926 move_ret=0
recv cmd vx=0.5 vy=-0 vyaw=0.2 move_ret=0
