1784813297.794949 [0] unitree_sa: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784813298.396142915] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames; lateral swept ROI enabled
[INFO] [1784813298.399350952] [unitree_safe_cmd_node]: cloud safety freshness uses local receive time; message header stamp is diagnostic only, receive_timeout=1.00s
[INFO] [1784813298.402579121] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784813298.415841512] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=0, cloud_receive_age=infs, cloud_stamp_age=infs
[WARN] [1784813298.939031150] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=3, cloud_receive_age=0.107s, cloud_stamp_age=1.431s
[WARN] [1784813299.440022974] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.42, clear_frames=5, cloud_receive_age=0.253s, cloud_stamp_age=1.586s
[WARN] [1784813299.939308977] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.41, clear_frames=6, cloud_receive_age=0.394s, cloud_stamp_age=1.846s
[WARN] [1784813300.438533236] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, y=0.000, z=0.000, raw_x=0.000, raw_y=0.000, raw_z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.41, clear_frames=7, cloud_receive_age=0.429s, cloud_stamp_age=2.212s
[INFO] [1784813300.988428871] [unitree_safe_cmd_node]: Move x=0.000, y=-0.000, z=0.000, stop_count=0, roi_count=10, lateral_count=0, nearest_x=1.42, clear_frames=8, cloud_receive_age=0.424s, cloud_stamp_age=2.667s
[INFO] [1784813301.488282438] [unitree_safe_cmd_node]: Move x=0.000, y=-0.000, z=0.000, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.40, clear_frames=9, cloud_receive_age=0.416s, cloud_stamp_age=3.076s
[INFO] [1784813302.038335564] [unitree_safe_cmd_node]: Move x=0.000, y=-0.000, z=0.000, stop_count=0, roi_count=9, lateral_count=0, nearest_x=1.38, clear_frames=11, cloud_receive_age=0.183s, cloud_stamp_age=3.661s
[INFO] [1784813302.588687453] [unitree_safe_cmd_node]: Move x=0.000, y=-0.000, z=0.000, stop_count=0, roi_count=12, lateral_count=0, nearest_x=1.38, clear_frames=12, cloud_receive_age=0.350s, cloud_stamp_age=3.944s
[INFO] [1784813303.088597055] [unitree_safe_cmd_node]: Move x=0.300, y=-0.000, z=0.000, stop_count=0, roi_count=6, lateral_count=0, nearest_x=1.47, clear_frames=14, cloud_receive_age=0.067s, cloud_stamp_age=4.528s
[INFO] [1784813303.637961424] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=8, lateral_count=0, nearest_x=1.46, clear_frames=15, cloud_receive_age=0.217s, cloud_stamp_age=4.829s
[INFO] [1784813304.138870538] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=17, cloud_receive_age=0.016s, cloud_stamp_age=5.331s
[INFO] [1784813304.689431747] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=18, cloud_receive_age=0.200s, cloud_stamp_age=5.598s
[INFO] [1784813305.238649298] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=7, lateral_count=0, nearest_x=1.46, clear_frames=19, cloud_receive_age=0.353s, cloud_stamp_age=5.895s
[INFO] [1784813305.788060589] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=3, lateral_count=0, nearest_x=1.40, clear_frames=21, cloud_receive_age=0.116s, cloud_stamp_age=6.484s
[INFO] [1784813306.288323645] [unitree_safe_cmd_node]: Move x=0.500, y=-0.000, z=0.000, stop_count=0, roi_count=0, lateral_count=0, nearest_x=inf, clear_frames=23, cloud_receive_age=0.234s, cloud_stamp_age=6.567s
