id,x,y,yaw,v
0,6.371289,-6.563786,0.225732,0.200
1,6.803513,-6.459433,0.206089,0.200
2,7.223569,-6.331705,0.249763,0.200
3,7.624606,-6.224486,0.247631,0.200
4,8.037586,-6.070246,0.239700,0.200
5,8.431706,-5.948029,0.254248,0.200
6,8.811066,-5.812117,0.262217,0.200
7,9.234081,-5.673560,0.282467,0.200
8,9.618528,-5.527300,0.263951,0.200
9,10.029724,-5.379317,0.216565,0.200
10,10.442328,-5.305700,0.142254,0.200
11,10.851115,-5.254571,0.116065,0.200
12,11.283383,-5.185794,0.119422,0.200
13,11.752900,-5.116513,0.118281,0.200
14,12.188918,-5.046086,0.141621,0.200
15,12.632602,-4.969875,0.152404,0.200
16,13.026372,-4.894828,0.142112,0.200
17,13.481632,-4.809157,0.142064,0.200
18,13.908691,-4.717783,0.132929,0.200
19,14.353651,-4.650138,0.137639,0.200
20,14.758230,-4.574809,0.146161,0.200
21,15.187750,-4.478249,0.157389,0.200
22,15.610912,-4.405790,0.184808,0.200
23,16.022797,-4.309337,0.192513,0.200
24,16.440926,-4.245645,0.194466,0.200
25,16.890803,-4.126481,0.180997,0.200
26,17.330456,-4.017650,0.173704,0.200
27,17.787834,-3.915854,0.188827,0.200
28,18.223974,-3.835725,0.187182,0.200
29,18.643354,-3.718149,0.218856,0.200
30,19.080650,-3.611528,0.215114,0.200
31,19.465615,-3.498183,0.231581,0.200
32,19.898844,-3.379684,0.227451,0.200
33,20.337745,-3.267991,0.229931,0.200
34,20.734063,-3.156618,0.239061,0.200
35,21.170082,-3.007711,0.255215,0.200
36,21.565609,-2.916789,0.252452,0.200
37,21.974596,-2.798815,0.262780,0.200
38,22.410241,-2.665506,0.280323,0.200
39,22.814807,-2.513888,0.286732,0.200
40,23.228502,-2.394527,0.287914,0.200
41,23.616199,-2.242712,0.275558,0.200
42,24.003054,-2.104291,0.285445,0.200
43,24.386833,-1.965812,0.282873,0.200
44,24.792730,-1.842611,0.174414,0.200
45,25.187103,-1.752398,0.178083,0.200
46,25.578222,-1.654194,0.182444,0.200
47,26.044239,-1.573274,0.189838,0.200
48,26.432321,-1.461955,0.192576,0.200
49,26.832169,-1.359623,0.183566,0.200
50,27.252095,-1.243016,0.191590,0.200
51,27.705130,-1.157879,0.217016,0.200
52,28.151487,-1.032272,0.208132,0.200
53,28.589893,-0.907168,0.213154,0.200
54,28.982033,-0.786716,0.209064,0.200
55,29.369541,-0.681641,0.223131,0.200
56,29.776210,-0.568657,0.216040,0.200
57,30.184352,-0.441920,0.217854,0.200
58,30.593475,-0.337231,0.228366,0.200
59,31.013698,-0.184386,0.226623,0.200
60,31.409170,-0.082391,0.244975,0.200
61,31.820848,0.044289,0.243379,0.200
62,32.227481,0.168239,0.241666,0.200
63,32.619153,0.281243,0.223299,0.200
64,33.063130,0.344617,0.149156,0.200
65,33.522108,0.415253,0.105126,0.200
66,33.939516,0.471055,0.110566,0.200
67,34.396112,0.509054,0.109994,0.200
68,34.804132,0.560621,0.117219,0.200
69,35.231344,0.633848,0.117181,0.200
70,35.663483,0.692673,0.121025,0.200
71,36.119759,0.754949,0.123378,0.200
72,36.528588,0.803634,0.123438,0.200
73,36.939972,0.899589,0.136757,0.200
74,37.352243,0.956089,0.138899,0.200
75,37.760954,1.034578,0.149563,0.200
76,38.217271,1.106967,0.151827,0.200
77,38.666752,1.186418,0.151888,0.200
78,39.069192,1.259656,0.158748,0.200
79,39.529671,1.343181,0.170702,0.200
80,39.965000,1.445470,0.178336,0.200
81,40.368976,1.518834,0.186522,0.200
82,40.833335,1.621262,0.174763,0.200
83,41.291445,1.695779,0.186201,0.200
84,41.729283,1.789268,0.177107,0.200
85,42.178478,1.879907,0.170396,0.200
86,42.576089,1.956937,0.170233,0.200
87,43.021156,2.074860,0.187355,0.200
88,43.435489,2.180194,0.195644,0.200
89,43.836076,2.284968,0.201159,0.200
90,44.283006,2.386193,0.206780,0.200
91,44.813912,2.531259,0.233345,0.200
92,45.278910,2.672403,0.227890,0.200
93,45.687098,2.775906,0.245248,0.200
94,46.086925,2.913762,0.252708,0.200
95,46.483655,3.027212,0.255213,0.200
96,46.872755,3.159075,0.270553,0.200
97,47.255308,3.277186,0.266294,0.200
98,47.747423,3.432798,0.264970,0.200
99,48.141822,3.553684,0.272818,0.200
100,48.547012,3.667641,0.265987,0.200
101,48.935495,3.786854,0.270415,0.200
102,49.382507,3.925591,0.246700,0.200
103,49.788063,4.078944,0.253504,0.200
104,50.197846,4.207715,0.262401,0.200
105,50.634598,4.367518,0.277424,0.200
106,51.032691,4.516792,0.273001,0.200
107,51.427267,4.634442,0.271851,0.200
108,51.870793,4.778467,0.232139,0.200
109,52.334243,4.911615,0.234882,0.200
110,52.790770,5.038548,0.251521,0.200
111,53.203623,5.178792,0.268463,0.200
112,53.585791,5.297840,0.275518,0.200
113,54.018515,5.441849,0.286841,0.200
114,54.437425,5.590709,0.286358,0.200
115,54.880588,5.730243,0.273666,0.200
116,55.297345,5.894227,0.278100,0.200
117,55.712693,6.022833,0.242918,0.200
118,56.126780,6.119268,0.185817,0.200
119,56.558386,6.220304,0.195611,0.200
120,57.009550,6.325672,0.209852,0.200
121,57.458182,6.452351,0.207949,0.200
122,57.850146,6.550982,0.208694,0.200
123,58.279350,6.669304,0.221772,0.200
124,58.705875,6.774187,0.224450,0.200
125,59.142819,6.863082,0.194326,0.200
126,59.583902,6.947202,0.174003,0.200
127,60.042906,7.050338,0.175183,0.200
128,60.492210,7.139564,0.173403,0.200
129,60.942465,7.239819,0.179595,0.200
130,61.409309,7.362346,0.180149,0.200
131,61.880221,7.442708,0.196144,0.200
132,62.318545,7.541848,0.205476,0.200
133,62.754094,7.683404,0.198033,0.200
134,63.212772,7.775255,0.217340,0.200
135,63.675207,7.900471,0.195615,0.200
136,63.920502,7.559880,-1.135575,0.200
137,63.990698,7.118865,-1.160157,0.200
138,64.083916,6.710287,-1.169801,0.200
139,64.158186,6.281589,-1.167627,0.200
140,64.247113,5.860859,-1.166215,0.200
141,64.323510,5.394469,-1.159232,0.200
142,64.403769,4.995413,-1.149002,0.200
143,64.497440,4.590665,-1.154909,0.200
144,64.560281,4.171678,-1.148633,0.200
145,64.684721,3.758107,-1.120315,0.200
146,64.810233,3.333390,-1.049669,0.200
147,64.914572,2.944322,-1.031221,0.200
148,65.061895,2.525909,-1.030449,0.200
149,65.205018,2.146340,-1.021493,0.200
150,65.330337,1.759023,-1.009446,0.200
151,65.449702,1.373306,-1.024056,0.200
152,65.601163,0.986299,-1.014742,0.200
153,65.742164,0.600396,-1.012255,0.200
154,65.882766,0.198729,-1.004182,0.200
155,66.012533,-0.180909,-0.999131,0.200
156,66.152841,-0.562542,-0.999251,0.200
157,66.302808,-0.943847,-1.015047,0.200
158,66.429459,-1.358092,-0.995010,0.200
159,66.591473,-1.764407,-0.995426,0.200
160,66.754304,-2.195337,-0.994872,0.200
161,66.898287,-2.609988,-0.989173,0.200
162,67.078552,-3.063921,-0.993140,0.200
163,67.256390,-3.497392,-0.997625,0.200
164,67.403407,-3.944167,-0.972014,0.200
165,67.566888,-4.369970,-0.983127,0.200
166,67.732350,-4.832905,-0.980256,0.200
167,67.898483,-5.266146,-0.972065,0.200
168,68.074894,-5.711023,-0.973272,0.200
169,68.237563,-6.161248,-0.961496,0.200
170,68.413502,-6.596379,-0.963820,0.200
171,68.616805,-7.100685,-0.947327,0.200
172,68.793065,-7.538159,-0.960197,0.200
173,68.980764,-7.964801,-0.949515,0.200
174,69.159441,-8.403070,-0.941757,0.200
175,69.333597,-8.848066,-0.946175,0.200
176,69.472537,-9.272515,-1.026133,0.200
177,69.557242,-9.688256,-1.100621,0.200
178,69.669434,-10.134788,-1.092609,0.200
179,69.780736,-10.592867,-1.088366,0.200
180,69.890701,-11.036350,-1.086523,0.200
181,70.002204,-11.526943,-1.078919,0.200
182,70.122028,-11.968507,-1.066312,0.200
183,70.245410,-12.436144,-1.060503,0.200
184,70.356980,-12.907714,-1.070391,0.200
185,70.479110,-13.331123,-1.068400,0.200
186,70.618646,-13.868566,-1.062891,0.200
187,70.723581,-14.306373,-1.055979,0.200
188,70.832547,-14.762625,-1.084561,0.200
189,70.961568,-15.209163,-1.080879,0.200
190,71.052424,-15.657509,-1.080599,0.200
191,71.165074,-16.110594,-1.067462,0.200
192,71.280896,-16.549853,-1.072613,0.200
193,71.387644,-17.012134,-1.061125,0.200
194,71.501420,-17.466283,-1.058003,0.200
195,71.633817,-17.934520,-1.062982,0.200
196,71.755407,-18.386839,-1.051126,0.200
197,71.874249,-18.829062,-1.050858,0.200
198,72.002668,-19.299747,-1.051344,0.200
199,72.102604,-19.717874,-1.099161,0.200
200,72.165743,-20.158998,-1.136136,0.200
201,72.251373,-20.618816,-1.152554,0.200
202,72.322478,-21.073403,-1.156490,0.200
203,72.393491,-21.530776,-1.147603,0.200
204,72.469842,-21.944921,-1.158426,0.200
205,72.523881,-22.341794,-1.141725,0.200
206,72.631313,-22.787490,-1.140428,0.200
207,72.720651,-23.231090,-1.141576,0.200
208,72.803485,-23.664128,-1.138186,0.200
209,72.884894,-24.095593,-1.136992,0.200
210,72.994212,-24.565599,-1.129249,0.200
211,73.077286,-25.011067,-1.124250,0.200
212,73.150102,-25.449175,-1.152817,0.200
213,73.212697,-25.909324,-1.198293,0.200
214,73.281554,-26.359641,-1.187095,0.200
215,73.354446,-26.804954,-1.187026,0.200
216,73.409086,-27.255819,-1.180174,0.200
217,73.492207,-27.691537,-1.170952,0.200
218,73.572187,-28.143669,-1.173937,0.200
219,73.640480,-28.575754,-1.172336,0.200
220,73.719081,-29.052304,-1.150884,0.200
221,73.799354,-29.532917,-1.165049,0.200
222,73.863193,-29.998731,-1.161508,0.200
223,73.945380,-30.442486,-1.165175,0.200
224,74.028670,-30.897793,-1.158856,0.200
225,74.117963,-31.345799,-1.145450,0.200
226,74.181925,-31.780454,-1.134366,0.200
227,74.264342,-32.223712,-1.132606,0.200
228,74.346329,-32.681578,-1.117627,0.200
229,74.427384,-33.119990,-1.115137,0.200
230,74.523453,-33.565768,-1.112140,0.200
231,74.631655,-34.087633,-1.127304,0.200
232,74.717652,-34.544454,-1.113279,0.200
233,74.824313,-34.988607,-1.110205,0.200
234,74.904969,-35.424531,-1.099577,0.200
235,75.008675,-35.871187,-1.107269,0.200
236,75.112737,-36.327528,-1.097193,0.200
237,75.220983,-36.755185,-1.097443,0.200
238,75.310557,-37.191903,-1.087973,0.200
239,75.424614,-37.653401,-1.080667,0.200
240,75.539962,-38.113654,-1.064791,0.200
241,75.661658,-38.554539,-1.071265,0.200
242,75.762213,-38.969699,-1.070928,0.200
243,75.869374,-39.432634,-1.075613,0.200
244,75.994572,-39.857806,-1.071519,0.200
245,76.106855,-40.300100,-1.065951,0.200
246,76.212652,-40.731363,-1.067533,0.200
247,76.333894,-41.182868,-1.064857,0.200
248,76.453406,-41.612700,-1.062326,0.200
249,76.553732,-42.053411,-1.057716,0.200
250,76.682427,-42.492545,-1.054774,0.200
251,76.802494,-42.926327,-1.050453,0.200
252,76.920569,-43.309245,-1.043887,0.200
253,77.027503,-43.754189,-1.037337,0.200
254,77.160831,-44.166329,-1.039998,0.200
255,77.319565,-44.568987,-1.036235,0.200
256,77.420346,-45.021310,-1.029932,0.200
257,77.552377,-45.446714,-1.034880,0.200
258,77.687833,-45.873705,-1.025519,0.200
259,77.791825,-46.323116,-1.054421,0.200
260,77.857684,-46.732046,-1.140541,0.200
261,77.918503,-47.160930,-1.167343,0.200
262,77.978266,-47.601190,-1.192156,0.200
263,77.979215,-48.077881,-1.332167,0.200
264,77.958554,-48.491176,-1.341755,0.200
265,77.958203,-48.928110,-1.333264,0.200
266,77.947067,-49.375417,-1.328996,0.200
267,77.927715,-49.836137,-1.319749,0.200
268,77.940720,-50.316505,-1.308979,0.200
269,77.945279,-50.773219,-1.311876,0.200
270,77.958969,-51.225342,-1.307378,0.200
271,77.942549,-51.697897,-1.305443,0.200
272,77.965779,-52.155031,-1.307124,0.200
273,77.981521,-52.604231,-1.283634,0.200
274,77.971526,-53.059571,-1.289697,0.200
275,77.976733,-53.522770,-1.269973,0.200
276,77.990982,-53.980057,-1.276713,0.200
277,78.007334,-54.435643,-1.261751,0.200
278,78.025814,-54.855506,-1.267190,0.200
279,78.050419,-55.295644,-1.236862,0.200
280,78.090348,-55.732612,-1.182944,0.200
281,78.183326,-56.155759,-1.141840,0.200
282,78.254001,-56.637949,-1.121458,0.200
283,78.343844,-57.061626,-1.108636,0.200
284,78.421430,-57.461120,-1.110413,0.200
285,78.529940,-57.915316,-1.106435,0.200
286,78.610480,-58.321767,-1.095195,0.200
287,78.727670,-58.739823,-1.087204,0.200
288,78.810612,-59.159105,-1.063521,0.200
289,78.908920,-59.554560,-1.069726,0.200
290,79.002350,-59.972539,-1.071355,0.200
291,79.111944,-60.367357,-1.065380,0.200
292,79.215921,-60.773574,-1.052632,0.200
293,79.320970,-61.173045,-1.048767,0.200
294,79.441193,-61.580079,-1.036432,0.200
295,79.552735,-62.007846,-1.035533,0.200
296,79.657199,-62.419728,-1.034926,0.200
297,79.812547,-62.821804,-1.034166,0.200
298,79.935116,-63.232187,-1.034697,0.200
299,80.050629,-63.649824,-1.038446,0.200
300,80.168437,-64.053171,-1.042580,0.200
301,80.301441,-64.497705,-1.038383,0.200
302,80.448782,-64.892315,-1.037837,0.200
303,80.560800,-65.329402,-1.053164,0.200
304,80.636093,-65.785217,-1.097695,0.200
305,80.731372,-66.181826,-1.087919,0.200
306,80.848726,-66.578981,-1.078946,0.200
307,80.934495,-67.005339,-1.073392,0.200
308,81.032835,-67.410459,-1.056026,0.200
309,81.160151,-67.869445,-1.058547,0.200
310,81.239847,-68.316806,-1.058023,0.200
311,81.375890,-68.752360,-1.049583,0.200
312,81.521552,-69.199357,-1.035795,0.200
313,81.657618,-69.718836,-1.056683,0.200
314,81.769117,-70.155192,-1.063835,0.200
315,81.889765,-70.578735,-1.045791,0.200
316,82.026312,-71.024713,-1.045034,0.200
317,82.132413,-71.473268,-1.040451,0.200
318,82.277241,-71.931233,-1.034835,0.200
319,82.399988,-72.368190,-1.034095,0.200
320,82.530053,-72.809391,-1.031633,0.200
321,82.665608,-73.256488,-1.030049,0.200
322,82.757493,-73.722095,-1.039258,0.200
323,82.924371,-74.157464,-1.031209,0.200
324,83.051779,-74.594041,-1.042387,0.200
325,83.161562,-75.068550,-1.039957,0.200
326,83.314727,-75.485842,-0.978542,0.200
327,83.601431,-75.783811,-0.671537,0.200
328,83.877254,-76.090501,-0.636020,0.200
329,84.159132,-76.406836,-0.643807,0.200
330,84.448944,-76.725344,-0.642815,0.200
331,84.754314,-77.070905,-0.638294,0.200
332,85.070327,-77.372837,-0.588126,0.200
333,85.479409,-77.603270,-0.441770,0.200
334,85.899142,-77.834376,-0.376753,0.200
335,86.268269,-78.066604,-0.375093,0.200
336,86.656912,-78.252660,-0.340839,0.200
337,87.078174,-78.339189,-0.164943,0.200
338,87.467368,-78.457851,-0.162895,0.200
339,87.880198,-78.519330,-0.156642,0.200
340,88.292962,-78.620818,-0.161791,0.200
341,88.692471,-78.712050,-0.112085,0.200
342,89.181875,-78.693178,0.114563,0.200
343,89.658500,-78.633158,0.116986,0.200
344,90.126524,-78.598341,0.110881,0.200
345,90.537127,-78.553202,0.116017,0.200
346,90.941409,-78.482319,0.120999,0.200
347,91.342916,-78.466106,0.117221,0.200
348,91.747880,-78.384134,0.139662,0.200
349,92.205761,-78.311169,0.158561,0.200
350,92.639752,-78.163114,0.249866,0.200
351,93.064244,-78.045039,0.234678,0.200
352,93.459754,-77.956154,0.240811,0.200
353,93.871059,-77.816407,0.238137,0.200
354,94.324995,-77.692163,0.235103,0.200
355,94.757672,-77.577535,0.231932,0.200
356,95.150734,-77.457212,0.235170,0.200
357,95.581164,-77.315634,0.240895,0.200
