id,x,y,yaw,v
0,6.381321,-6.546055,0.213769,0.200
1,6.814762,-6.446880,0.194126,0.200
2,7.236316,-6.324186,0.237800,0.200
3,7.638607,-6.221772,0.235668,0.200
4,8.053403,-6.072483,0.227737,0.200
5,8.448957,-5.954990,0.242285,0.200
6,8.829915,-5.823626,0.250254,0.200
7,9.254557,-5.690139,0.270504,0.200
8,9.640727,-5.548488,0.251988,0.200
9,10.053663,-5.405435,0.204602,0.200
10,10.467119,-5.336759,0.130291,0.200
11,10.876488,-5.290524,0.104102,0.200
12,11.309548,-5.226923,0.107459,0.200
13,11.779860,-5.163263,0.106318,0.200
14,12.216689,-5.098057,0.129658,0.200
15,12.661253,-5.027159,0.140441,0.200
16,13.055893,-4.956828,0.130149,0.200
17,13.512145,-4.876609,0.130101,0.200
18,13.940266,-4.790350,0.120966,0.200
19,14.386004,-4.728033,0.125676,0.200
20,14.791455,-4.657549,0.134198,0.200
21,15.222099,-4.566134,0.145426,0.200
22,15.646098,-4.498743,0.172845,0.200
23,16.059107,-4.407224,0.180550,0.200
24,16.477968,-4.348538,0.182503,0.200
25,16.929239,-4.234764,0.169034,0.200
26,17.370162,-4.131200,0.161741,0.200
27,17.828725,-4.034883,0.176864,0.200
28,18.265792,-3.959977,0.175219,0.200
29,18.686549,-3.847426,0.206893,0.200
30,19.125089,-3.746044,0.203151,0.200
31,19.511382,-3.637312,0.219618,0.200
32,19.945998,-3.524004,0.215488,0.200
33,20.386204,-3.417570,0.217968,0.200
34,20.783826,-3.310946,0.227098,0.200
35,21.221595,-3.167265,0.243252,0.200
36,21.618181,-3.081081,0.240489,0.200
37,22.028550,-2.968008,0.250817,0.200
38,22.465759,-2.839920,0.268360,0.200
39,22.872109,-2.693153,0.274769,0.200
40,23.287203,-2.578749,0.275951,0.200
41,23.676688,-2.431583,0.263595,0.200
42,24.065171,-2.297799,0.273482,0.200
43,24.450579,-2.163921,0.270910,0.200
44,24.857921,-2.045585,0.162451,0.200
45,25.253345,-1.960096,0.166120,0.200
46,25.645611,-1.866577,0.170481,0.200
47,26.112562,-1.791238,0.177875,0.200
48,26.501948,-1.684569,0.180613,0.200
49,26.902992,-1.587028,0.171603,0.200
50,27.324283,-1.475453,0.179627,0.200
51,27.778304,-1.395741,0.205053,0.200
52,28.226131,-1.275483,0.196169,0.200
53,28.666003,-1.155632,0.201191,0.200
54,29.059555,-1.039880,0.197101,0.200
55,29.448293,-0.939448,0.211168,0.200
56,29.856284,-0.831337,0.204077,0.200
57,30.265913,-0.709491,0.205891,0.200
58,30.676259,-0.609704,0.216403,0.200
59,31.098280,-0.461897,0.214660,0.200
60,31.494944,-0.364640,0.233012,0.200
61,31.908108,-0.242893,0.231416,0.200
