id,x,y,yaw,v
0,6.718190,-6.439994,0.259059,0.200
1,7.146697,-6.321297,0.239416,0.200
2,7.562264,-6.179644,0.283090,0.200
3,7.959505,-6.059121,0.280958,0.200
4,8.367117,-5.891206,0.273027,0.200
5,8.756946,-5.755925,0.287575,0.200
6,9.131566,-5.607448,0.295544,0.200
7,9.549729,-5.454873,0.315794,0.200
8,9.929090,-5.295883,0.297278,0.200
9,10.335126,-5.134282,0.249892,0.200
10,10.745049,-5.046957,0.175581,0.200
11,11.151905,-4.982236,0.149392,0.200
12,11.581641,-4.899094,0.152749,0.200
13,12.048589,-4.814206,0.151608,0.200
14,12.482018,-4.729290,0.174948,0.200
15,12.922916,-4.638337,0.185731,0.200
16,13.313967,-4.550211,0.175439,0.200
17,13.766120,-4.449418,0.175391,0.200
18,14.189896,-4.343865,0.166256,0.200
19,14.632356,-4.261431,0.170966,0.200
20,15.034200,-4.172663,0.179488,0.200
21,15.460264,-4.061845,0.190716,0.200
22,15.880777,-3.975327,0.218135,0.200
23,16.289219,-3.865203,0.225840,0.200
24,16.704993,-3.787614,0.227793,0.200
25,17.150651,-3.653525,0.214324,0.200
26,17.586433,-3.530105,0.207031,0.200
27,18.040165,-3.413126,0.222154,0.200
28,18.473392,-3.318509,0.220509,0.200
29,18.888622,-3.187024,0.252183,0.200
30,19.322123,-3.065891,0.248441,0.200
31,19.703097,-2.939782,0.264908,0.200
32,20.132137,-2.806913,0.260778,0.200
33,20.567073,-2.680658,0.263258,0.200
34,20.959460,-2.556141,0.272388,0.200
35,21.390275,-2.392788,0.288542,0.200
36,21.782553,-2.288737,0.285779,0.200
37,22.187382,-2.157201,0.296107,0.200
38,22.618343,-2.009450,0.313650,0.200
39,23.017632,-1.844437,0.320059,0.200
40,23.427121,-1.711357,0.321241,0.200
41,23.809543,-1.546708,0.308885,0.200
42,24.191571,-1.395473,0.318772,0.200
43,24.570523,-1.244283,0.316200,0.200
44,24.972089,-1.107627,0.207741,0.200
45,25.363237,-1.004323,0.211410,0.200
46,25.750867,-0.893140,0.215771,0.200
47,26.213929,-0.796738,0.223165,0.200
48,26.598086,-0.672549,0.225903,0.200
49,26.994303,-0.556951,0.216893,0.200
50,27.410110,-0.426417,0.224917,0.200
51,27.860057,-0.326231,0.250343,0.200
52,28.301980,-0.185821,0.241459,0.200
53,28.735975,-0.046179,0.246481,0.200
54,29.123883,0.087273,0.242391,0.200
55,29.507675,0.205201,0.256458,0.200
56,29.910353,0.331673,0.249367,0.200
57,30.314045,0.471940,0.251181,0.200
58,30.719453,0.590202,0.261693,0.200
59,31.134349,0.756964,0.259950,0.200
60,31.526203,0.872080,0.278302,0.200
61,31.933432,1.012408,0.276706,0.200
62,32.335709,1.149838,0.274993,0.200
63,32.723399,1.275830,0.256626,0.200
