run,progress_start_m,progress_end_m,count,signed_median_m,signed_p5_m,signed_p95_m
08_raw_lio_yaw,0.0,5.0,110,0.053059773310414185,0.003182734854434315,0.08266367946994785
08_raw_lio_yaw,5.0,10.0,110,0.05254284750274272,0.03462941467576295,0.06881860329453536
08_raw_lio_yaw,10.0,15.0,111,0.04634189105883011,0.023597882160734225,0.08187892269239014
08_raw_lio_yaw,15.0,20.0,107,0.0587722736888611,0.022998274489140255,0.08331423974046363
08_raw_lio_yaw,20.0,25.0,107,0.058716725778112926,0.04412128822567403,0.07949820666529381
08_raw_lio_yaw,25.0,30.0,109,0.04583978237086055,0.02065524848944379,0.07786441263807617
08_raw_lio_yaw,30.0,35.0,106,0.039209262287446936,0.01836770687551155,0.05606756272142206
08_raw_lio_yaw,35.0,40.0,109,0.04691317182692307,0.016131336177178462,0.07307924790850291
08_raw_lio_yaw,40.0,45.0,110,0.05900456268312168,0.03650420938429824,0.08138922166113162
08_raw_lio_yaw,45.0,50.0,106,0.07444109799149254,0.055094680059811316,0.09648780579274024
08_raw_lio_yaw,50.0,55.0,110,0.05356826921560842,0.031326416979797204,0.07060154121889413
08_raw_lio_yaw,55.0,60.0,118,0.038656712729807,-0.13473552152983626,0.056162042544793456
08_raw_lio_yaw,60.0,65.0,102,-0.17018519567428403,-0.19264992707046186,-0.07737766197213196
08_raw_lio_yaw,65.0,70.0,100,-0.1604465238779838,-0.1811096441207138,-0.13420113003749867
08_raw_lio_yaw,70.0,75.0,102,-0.19049633028062676,-0.21526996644398805,-0.17144540153973645
08_raw_lio_yaw,75.0,80.0,102,-0.18886180757599097,-0.20469894538735497,-0.16369545692860588
08_raw_lio_yaw,80.0,85.0,101,-0.20233383965131632,-0.21421111731219586,-0.18409368866098252
08_raw_lio_yaw,85.0,90.0,100,-0.18735397456406977,-0.2111781594169623,-0.1723485276074201
08_raw_lio_yaw,90.0,95.0,99,-0.19184171841057424,-0.208445592151031,-0.16401958011359094
08_raw_lio_yaw,95.0,100.0,102,-0.19874448129841443,-0.20897026445729042,-0.18615241156188986
08_raw_lio_yaw,100.0,105.0,99,-0.1920662840499805,-0.20908180270879878,-0.18047871303693921
08_raw_lio_yaw,105.0,110.0,103,-0.19244426997923403,-0.21030330791142293,-0.1820124579030966
08_raw_lio_yaw,110.0,115.0,100,-0.18919074400024832,-0.20696204399983134,-0.16958218550869456
08_raw_lio_yaw,115.0,120.0,100,-0.19497061174209676,-0.2215240111492633,-0.17047932019842774
08_raw_lio_yaw,120.0,125.0,103,-0.21570228566756028,-0.23634865543681,-0.19000548641051837
08_raw_lio_yaw,125.0,130.0,103,-0.20011923235720802,-0.2239153784020961,-0.1729735552053408
08_raw_lio_yaw,130.0,135.0,101,-0.1957991018490594,-0.2288867145099736,-0.16313514905726145
08_raw_lio_yaw,135.0,140.0,100,-0.2026204664983154,-0.24022795140635722,-0.17083121712993907
08_raw_lio_yaw,140.0,145.0,102,-0.20290817478020562,-0.22588244194685497,-0.1854772467513806
08_raw_lio_yaw,145.0,150.0,108,-0.12920451449283707,-0.19045309505088742,-0.04518471816566793
08_raw_lio_yaw,150.0,155.0,108,-0.009650169680021217,-0.06331337049749228,0.028589049459260062
08_raw_lio_yaw,155.0,160.0,79,0.047526762719260776,0.023222120272150246,0.06674360350193803
10_body_yaw_first,0.0,5.0,109,0.07213120810546764,0.0036509550744264793,0.08705991453425879
10_body_yaw_first,5.0,10.0,107,0.08671799780614861,0.07183416355347025,0.10022238838792578
10_body_yaw_first,10.0,15.0,108,0.080870353436648,0.0672972459621478,0.09842797409164648
10_body_yaw_first,15.0,20.0,106,0.07784292686459487,0.06466068865823743,0.09460963534609773
10_body_yaw_first,20.0,25.0,107,0.08359404155288469,0.0628272300064941,0.10389683324757681
10_body_yaw_first,25.0,30.0,108,0.07845381653894845,0.060959601217473416,0.09791545494083523
10_body_yaw_first,30.0,35.0,107,0.07954753761529565,0.06352954884979563,0.09788050371519998
10_body_yaw_first,35.0,40.0,107,0.08784297333027608,0.07385024576709612,0.10349920896880872
10_body_yaw_first,40.0,45.0,104,0.08510638196749504,0.06619831874575571,0.10373734803371275
