id,x,y,yaw,v
0,6.695022,-6.403894,0.248875,0.200
1,7.124715,-6.289567,0.229232,0.200
2,7.541703,-6.152152,0.272906,0.200
3,7.940151,-6.035681,0.270774,0.200
4,8.349452,-5.871925,0.262843,0.200
5,8.740638,-5.740621,0.277391,0.200
6,9.116751,-5.595967,0.285360,0.200
7,9.536446,-5.447657,0.305610,0.200
8,9.917406,-5.292539,0.287094,0.200
9,10.325066,-5.135081,0.239708,0.200
10,10.735857,-5.051935,0.165397,0.200
11,11.143351,-4.991360,0.139208,0.200
12,11.573912,-4.912598,0.142565,0.200
13,12.041700,-4.832470,0.141424,0.200
14,12.475971,-4.751971,0.164764,0.200
15,12.917772,-4.665513,0.175547,0.200
16,13.309701,-4.581374,0.165255,0.200
17,13.762856,-4.485190,0.165207,0.200
18,14.187686,-4.383958,0.156072,0.200
19,14.630962,-4.306034,0.160782,0.200
20,15.033689,-4.221363,0.169304,0.200
21,15.460859,-4.114889,0.180532,0.200
22,15.882231,-4.032657,0.207951,0.200
23,16.291774,-3.926698,0.215656,0.200
24,16.708317,-3.853347,0.217609,0.200
25,17.155316,-3.723803,0.204140,0.200
26,17.592333,-3.604827,0.196847,0.200
27,18.047232,-3.492474,0.211970,0.200
28,18.481401,-3.402274,0.210325,0.200
29,18.897948,-3.275024,0.241999,0.200
30,19.332659,-3.158312,0.238257,0.200
31,19.714898,-3.036088,0.254724,0.200
32,20.145269,-2.907595,0.250594,0.200
33,20.581468,-2.785776,0.253074,0.200
34,20.975103,-2.665262,0.262204,0.200
35,21.407559,-2.506304,0.278358,0.200
36,21.800876,-2.406253,0.275595,0.200
37,22.207023,-2.278846,0.285923,0.200
38,22.639467,-2.135491,0.303466,0.200
39,23.040415,-1.974552,0.309875,0.200
40,23.451238,-1.845649,0.311057,0.200
41,23.835317,-1.684903,0.298701,0.200
42,24.218865,-1.537566,0.308588,0.200
43,24.599337,-1.390243,0.306016,0.200
44,25.002274,-1.257683,0.197557,0.200
45,25.394454,-1.158367,0.201226,0.200
46,25.783196,-1.051138,0.205587,0.200
47,26.247215,-0.959455,0.212981,0.200
48,26.632617,-0.839185,0.215719,0.200
49,27.029990,-0.727628,0.206709,0.200
50,27.447105,-0.601334,0.214733,0.200
51,27.898049,-0.505736,0.240159,0.200
52,28.341379,-0.369834,0.231275,0.200
53,28.776773,-0.234617,0.236297,0.200
54,29.166020,-0.105123,0.232207,0.200
55,29.550993,0.008891,0.246274,0.200
56,29.954938,0.131256,0.239183,0.200
57,30.360038,0.267405,0.240997,0.200
58,30.766629,0.381533,0.251509,0.200
59,31.183202,0.544061,0.249766,0.200
60,31.576208,0.655181,0.268118,0.200
61,31.984844,0.791355,0.266522,0.200
62,32.388500,0.924681,0.264809,0.200
63,32.777452,1.046719,0.246442,0.200
64,33.219844,1.120350,0.172299,0.200
65,33.677064,1.201589,0.128269,0.200
66,34.093069,1.267035,0.133709,0.200
67,34.548664,1.315591,0.133137,0.200
68,34.955380,1.376586,0.140362,0.200
69,35.380784,1.459680,0.140324,0.200
70,35.811445,1.528490,0.144168,0.200
71,36.266158,1.601308,0.146521,0.200
72,36.673751,1.659441,0.146581,0.200
73,37.082804,1.764890,0.159900,0.200
74,37.493658,1.830916,0.162042,0.200
75,37.900442,1.918842,0.172706,0.200
76,38.354962,2.001771,0.174970,0.200
77,38.802484,2.091603,0.175031,0.200
78,39.203121,2.174134,0.181891,0.200
79,39.661545,2.268293,0.193845,0.200
80,40.094390,2.380629,0.201479,0.200
81,40.496560,2.463322,0.209665,0.200
82,40.958424,2.576469,0.197906,0.200
83,41.414686,2.661566,0.209344,0.200
84,41.850244,2.765163,0.200250,0.200
85,42.297222,2.866173,0.193539,0.200
86,42.692944,2.952384,0.193376,0.200
87,43.135162,3.080575,0.210498,0.200
88,43.546947,3.195468,0.218787,0.200
89,43.945002,3.309485,0.224302,0.200
90,44.389469,3.421025,0.229923,0.200
91,44.916876,3.578339,0.256488,0.200
92,45.378483,3.730205,0.251033,0.200
93,45.784167,3.843127,0.268391,0.200
94,46.180696,3.990198,0.275851,0.200
95,46.574695,4.112799,0.278356,0.200
96,46.960639,4.253631,0.293696,0.200
97,47.340356,4.380563,0.289437,0.200
98,47.828739,4.547522,0.288113,0.200
99,48.220234,4.677503,0.295961,0.200
100,48.622679,4.800806,0.289130,0.200
101,49.008299,4.928978,0.293558,0.200
102,49.451981,5.078021,0.269843,0.200
103,49.853879,5.240719,0.276647,0.200
104,50.260572,5.378939,0.285544,0.200
105,50.693510,5.548806,0.300567,0.200
106,51.088042,5.707253,0.296144,0.200
107,51.479789,5.834002,0.294994,0.200
108,51.919863,5.988252,0.255282,0.200
109,52.380108,6.132090,0.258025,0.200
110,52.833576,6.269553,0.274664,0.200
111,53.243073,6.419314,0.291606,0.200
112,53.622383,6.547174,0.298661,0.200
113,54.051658,6.701159,0.309984,0.200
114,54.467012,6.859673,0.309501,0.200
115,54.906826,7.009424,0.296809,0.200
116,55.319677,7.183009,0.301243,0.200
117,55.731938,7.321192,0.266061,0.200
118,56.143682,7.427184,0.208960,0.200
119,56.572835,7.538182,0.218754,0.200
120,57.021440,7.653962,0.232995,0.200
121,57.467020,7.790989,0.231092,0.200
122,57.856596,7.898664,0.231837,0.200
123,58.282947,8.026887,0.244915,0.200
124,58.706931,8.141613,0.247593,0.200
125,59.141701,8.240595,0.217469,0.200
126,59.580719,8.334900,0.197146,0.200
127,60.037213,8.448631,0.198326,0.200
