1784969343.117470 [0]    python3: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784969343.752236837] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1784969343.756828378] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-11/route_runtime.csv
[INFO] [1784969343.761224196] [waypoint_follower]: route points: 358
[INFO] [1784969343.765398465] [waypoint_follower]: loop_mode: pingpong
[INFO] [1784969343.770173186] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1784969343.774605198] [waypoint_follower]: reach_distance: 0.4
[INFO] [1784969343.825210500] [waypoint_follower]: FOLLOWER_EXACT_TRACE_READY file=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-11/follower_control_trace.jsonl base_sha256=d205a596fc6118ad7fa191871c646173cb545ab4b136e46de360598e38261120
[INFO] [1784969343.830679311] [waypoint_follower]: FOLLOWER_MOTION_INTERLOCK_ACTIVE file=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-11/.motion_enabled
[INFO] [1784969343.834704354] [waypoint_follower]: FOLLOWER_BODY_YAW_ALIGNMENT_ACTIVE topic=/lf/sportmodestate samples=10 max_spread_deg=2.000 max_age_s=0.250
[INFO] [1784969343.852651552] [waypoint_follower]: init nearest_index=0, distance_to_start=0.003
[INFO] [1784969344.194254701] [waypoint_follower]: FOLLOWER_ODOM_READY callbacks=5 age_ms=266.600 source_gap_ms=99.479
[INFO] [1784969345.094571047] [waypoint_follower]: FOLLOWER_BODY_YAW_READY offset_deg=-28.587227 spread_deg=0.050438 samples=10
[INFO] [1784969369.944597659] [waypoint_follower]: FOLLOWER_MOTION_INTERLOCK_RELEASED file=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-11/.motion_enabled receive_age_ms=91.778 stamp_age_ms=283.159
[WARN] [1784969369.946232321] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [1784969369.947885095] [waypoint_follower]: nearest=0, target=2, dist=0.88, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1784969370.995190411] [waypoint_follower]: nearest=1, target=3, dist=0.98, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784969372.045181122] [waypoint_follower]: nearest=2, target=4, dist=0.91, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969373.045282694] [waypoint_follower]: nearest=3, target=5, dist=0.87, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969374.045859582] [waypoint_follower]: nearest=4, target=6, dist=0.88, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969375.095064416] [waypoint_follower]: nearest=5, target=7, dist=0.77, alpha=0.02, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969376.145122165] [waypoint_follower]: nearest=6, target=8, dist=0.74, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969377.145133023] [waypoint_follower]: nearest=7, target=9, dist=0.69, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969378.195237636] [waypoint_follower]: nearest=8, target=10, dist=0.66, alpha=-0.08, vx=0.50, yaw_rate=-0.07, dir=1
[INFO] [1784969379.196346731] [waypoint_follower]: nearest=10, target=12, dist=1.02, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784969380.246940485] [waypoint_follower]: nearest=11, target=13, dist=1.06, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969381.295108274] [waypoint_follower]: nearest=12, target=14, dist=1.06, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969382.296147239] [waypoint_follower]: nearest=13, target=15, dist=1.00, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969383.345335386] [waypoint_follower]: nearest=14, target=16, dist=0.97, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969384.345216009] [waypoint_follower]: nearest=15, target=17, dist=0.99, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969385.345969578] [waypoint_follower]: nearest=16, target=18, dist=0.97, alpha=0.02, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969386.395188241] [waypoint_follower]: nearest=17, target=19, dist=0.90, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969387.450392802] [waypoint_follower]: nearest=18, target=20, dist=0.89, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969388.445216745] [waypoint_follower]: nearest=19, target=21, dist=0.87, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969389.447161753] [waypoint_follower]: nearest=20, target=22, dist=0.81, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969390.496806113] [waypoint_follower]: nearest=21, target=23, dist=0.78, alpha=-0.01, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969391.555010277] [waypoint_follower]: nearest=22, target=24, dist=0.70, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969392.595452885] [waypoint_follower]: nearest=23, target=25, dist=0.69, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969393.595136792] [waypoint_follower]: nearest=24, target=26, dist=0.69, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969394.645254993] [waypoint_follower]: nearest=26, target=28, dist=1.11, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969395.646476387] [waypoint_follower]: nearest=26, target=28, dist=0.68, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969396.695144332] [waypoint_follower]: nearest=28, target=30, dist=1.10, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969397.695196498] [waypoint_follower]: nearest=29, target=31, dist=1.01, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969398.696182685] [waypoint_follower]: nearest=30, target=32, dist=1.03, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784969399.745068624] [waypoint_follower]: nearest=31, target=33, dist=1.03, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969400.745600028] [waypoint_follower]: nearest=32, target=34, dist=0.93, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969401.795288584] [waypoint_follower]: nearest=33, target=35, dist=0.97, alpha=0.07, vx=0.50, yaw_rate=0.06, dir=1
[INFO] [1784969402.845277992] [waypoint_follower]: nearest=34, target=36, dist=0.90, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969403.845356301] [waypoint_follower]: nearest=35, target=37, dist=0.91, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784969404.895780148] [waypoint_follower]: nearest=36, target=38, dist=0.82, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784969405.895582278] [waypoint_follower]: nearest=37, target=39, dist=0.80, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969406.945637714] [waypoint_follower]: nearest=38, target=40, dist=0.74, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969407.995375991] [waypoint_follower]: nearest=39, target=41, dist=0.68, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969409.045586842] [waypoint_follower]: nearest=40, target=42, dist=0.63, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784969410.045729365] [waypoint_follower]: nearest=42, target=44, dist=1.01, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969411.095136945] [waypoint_follower]: nearest=43, target=45, dist=0.93, alpha=-0.06, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784969412.096231586] [waypoint_follower]: nearest=44, target=46, dist=0.86, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969413.145137106] [waypoint_follower]: nearest=45, target=47, dist=0.93, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784969414.145334498] [waypoint_follower]: nearest=46, target=48, dist=0.83, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784969415.145598877] [waypoint_follower]: nearest=47, target=49, dist=0.77, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969416.147224957] [waypoint_follower]: nearest=48, target=50, dist=0.78, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969417.150733228] [waypoint_follower]: nearest=49, target=51, dist=0.79, alpha=-0.06, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784969418.198389988] [waypoint_follower]: nearest=50, target=52, dist=0.77, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784969419.245126587] [waypoint_follower]: nearest=51, target=53, dist=0.79, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784969420.245098727] [waypoint_follower]: nearest=52, target=54, dist=0.76, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784969421.245177907] [waypoint_follower]: nearest=53, target=55, dist=0.70, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
