id,x,y,yaw,v
0,0.001858,-0.023169,0.000890,0.200
1,0.438535,-0.020842,0.018154,0.200
2,0.878103,-0.008768,-0.026403,0.200
3,1.383852,-0.037746,-0.029280,0.200
4,1.870654,-0.053843,-0.029191,0.200
5,2.336048,-0.079864,-0.036470,0.200
6,2.744396,-0.096349,-0.019855,0.200
7,3.169003,-0.101709,-0.005415,0.200
8,3.656619,-0.132178,-0.046180,0.200
9,4.160594,-0.136017,-0.034739,0.200
10,4.616963,-0.172111,-0.040218,0.200
11,5.084936,-0.212210,-0.047651,0.200
12,5.557677,-0.256981,-0.095026,0.200
13,6.037497,-0.303858,-0.078834,0.200
14,6.468966,-0.342439,-0.080922,0.200
15,6.933870,-0.422407,-0.073644,0.200
16,7.449262,-0.455084,-0.074903,0.200
17,7.847486,-0.500098,-0.082298,0.200
18,8.263076,-0.532636,-0.095897,0.200
19,8.679559,-0.567907,-0.081115,0.200
20,9.214932,-0.587434,-0.060314,0.200
21,9.633026,-0.644471,-0.057460,0.200
22,10.140991,-0.693664,-0.066628,0.200
23,10.552315,-0.724057,-0.067060,0.200
24,10.968894,-0.769565,-0.055336,0.200
25,11.396946,-0.770320,-0.021794,0.200
26,11.864501,-0.785992,-0.032236,0.200
27,12.297041,-0.774152,0.014428,0.200
28,12.752448,-0.774830,0.016667,0.200
29,13.266404,-0.775189,0.018681,0.200
30,13.674749,-0.767523,0.033162,0.200
31,14.216149,-0.754053,0.028628,0.200
32,14.626835,-0.752834,0.037761,0.200
33,15.033059,-0.726157,0.026077,0.200
34,15.439532,-0.724770,0.013937,0.200
35,15.882270,-0.749483,0.045195,0.200
36,16.302029,-0.743053,0.006607,0.200
37,16.724260,-0.784792,-0.045190,0.200
38,17.200944,-0.782778,-0.029265,0.200
39,17.646583,-0.814687,-0.022128,0.200
40,18.177648,-0.844688,-0.020218,0.200
41,18.706274,-0.851313,-0.012155,0.200
42,19.113727,-0.838951,-0.032664,0.200
43,19.540631,-0.873667,-0.020060,0.200
44,19.958252,-0.903991,-0.014611,0.200
45,20.390952,-0.923120,-0.010487,0.200
46,20.801146,-0.934433,-0.024343,0.200
47,21.320054,-0.954761,-0.021281,0.200
48,21.731915,-0.968325,-0.013009,0.200
49,22.148221,-0.983483,0.003455,0.200
50,22.662806,-0.981701,0.002676,0.200
51,23.159288,-0.987881,0.013395,0.200
52,23.652707,-0.994472,0.009880,0.200
53,24.175916,-1.008851,0.011414,0.200
54,24.673707,-1.020040,0.004347,0.200
55,25.167751,-1.022358,0.005735,0.200
56,25.636649,-1.038098,0.005105,0.200
57,26.052354,-1.042101,-0.004004,0.200
58,26.459135,-1.039499,-0.016672,0.200
59,26.963696,-1.045856,-0.018598,0.200
60,27.472953,-1.040146,-0.014004,0.200
61,27.980388,-1.075555,-0.018212,0.200
62,28.497082,-1.095997,-0.010411,0.200
63,28.899862,-1.119770,0.008827,0.200
64,29.431858,-1.109045,0.000038,0.200
65,29.933345,-1.089933,0.005265,0.200
66,30.402062,-1.129480,0.013214,0.200
67,30.890388,-1.113466,0.019902,0.200
68,31.384008,-1.091529,0.018506,0.200
69,31.869173,-1.106192,0.027393,0.200
70,32.334244,-1.083552,0.022218,0.200
71,32.778672,-1.074384,0.013753,0.200
72,33.185925,-1.075948,0.007186,0.200
73,33.626985,-1.070490,0.011497,0.200
74,34.030327,-1.071206,0.012605,0.200
75,34.456589,-1.073393,0.017334,0.200
76,34.937013,-1.059752,0.030271,0.200
77,35.431211,-1.104627,-0.035839,0.200
78,35.960621,-1.113349,-0.035427,0.200
79,36.375646,-1.125245,-0.030179,0.200
80,36.918109,-1.151933,-0.025663,0.200
81,37.349827,-1.185076,-0.012728,0.200
82,37.778735,-1.220609,-0.039815,0.200
83,38.252214,-1.222706,-0.032170,0.200
84,38.714431,-1.240195,-0.021347,0.200
85,39.162046,-1.249626,0.000417,0.200
86,39.628381,-1.269428,0.004978,0.200
87,40.087575,-1.309396,-0.004251,0.200
88,40.554299,-1.309133,0.003839,0.200
89,44.937381,-0.840565,-1.477561,0.200
90,47.009117,1.326643,-1.438405,0.200
91,49.209180,3.095473,-1.420963,0.200
92,51.322338,4.924315,-1.412357,0.200
93,53.501251,6.766414,-1.388595,0.200
94,55.689546,8.597620,-1.370066,0.200
95,57.916037,10.512573,-1.387782,0.200
96,60.288370,12.361296,-1.410378,0.200
97,62.662626,14.319158,-1.361009,0.200
98,65.258587,16.312637,-1.401088,0.200
99,67.758165,18.309285,-1.395411,0.200
100,70.448993,20.394317,-1.401540,0.200
101,73.232075,22.612091,-1.470902,0.200
102,75.960113,24.826788,-1.488898,0.200
103,78.779900,27.153875,-1.492608,0.200
104,81.506151,29.457356,-1.473598,0.200
105,84.346073,31.830996,-1.443476,0.200
106,87.312040,34.242814,-1.459334,0.200
107,90.313122,36.708007,-1.471730,0.200
108,93.340964,39.246685,-1.475855,0.200
109,96.432900,41.807380,-1.480292,0.200
110,99.488835,44.379359,-1.497876,0.200
111,102.618804,47.009116,-1.500707,0.200
112,105.752837,49.684797,-1.509061,0.200
113,108.926588,52.299164,-1.526319,0.200
114,112.155617,55.029942,-1.541971,0.200
115,115.453507,57.831409,-1.548341,0.200
116,118.796178,60.619861,-1.563148,0.200
117,122.106076,63.495769,-1.565843,0.200
118,125.562775,66.283877,-1.581311,0.200
119,128.987915,69.161633,-1.599786,0.200
120,132.400901,72.061051,-1.603501,0.200
121,135.929409,74.946162,-1.619390,0.200
122,139.502712,77.834967,-1.620963,0.200
123,143.064848,80.758118,-1.620989,0.200
124,146.618901,83.728677,-1.631488,0.200
125,150.108035,86.595102,-1.652903,0.200
126,153.718011,89.447086,-1.678027,0.200
127,157.035665,92.131067,-1.671785,0.200
128,160.807843,95.253377,-1.714618,0.200
129,164.405975,98.154238,-1.711539,0.200
130,167.985625,101.052709,-1.686705,0.200
131,171.722052,103.989605,-1.652716,0.200
132,175.461262,106.916200,-1.626310,0.200
133,179.152047,109.858417,-1.558184,0.200
134,182.794569,112.824123,-1.574459,0.200
135,186.535987,115.854715,-1.552470,0.200
136,190.188556,118.900242,-1.519232,0.200
137,193.864392,121.988433,-1.514351,0.200
138,197.519703,125.168354,-1.491639,0.200
139,201.141627,128.226306,-1.461941,0.200
140,204.846734,131.364399,-1.475342,0.200
