id,x,y,yaw,v
0,-0.004002,0.002414,0.068052,0.200
1,0.195535,0.016014,0.068052,0.200
2,0.395072,0.029614,0.068052,0.200
3,0.494840,0.036414,0.068052,0.200
4,0.594609,0.043214,0.068052,0.200
5,0.661217,0.047754,-0.155813,0.200
6,0.760006,0.032235,-0.155813,0.200
7,0.858794,0.016717,-0.155813,0.200
8,0.957583,0.001198,-0.155813,0.200
9,0.981653,-0.002583,0.146007,0.200
10,1.080589,0.011966,0.146007,0.200
11,1.179525,0.026515,0.146007,0.200
12,1.278461,0.041064,0.146007,0.200
13,1.476333,0.070162,0.146007,0.200
14,1.575269,0.084711,0.146007,0.200
15,1.674205,0.099260,0.146007,0.200
16,1.745742,0.109780,0.050077,0.200
17,1.845616,0.114785,0.050077,0.200
18,1.945491,0.119791,0.050077,0.200
19,2.045366,0.124797,0.050077,0.200
20,2.245115,0.134808,0.050077,0.200
21,2.444864,0.144819,0.050077,0.200
22,2.623950,0.153795,0.126885,0.200
23,2.822342,0.179104,0.126885,0.200
24,3.020734,0.204413,0.126885,0.200
25,3.219126,0.229722,0.126885,0.200
26,3.318322,0.242376,0.126885,0.200
27,3.360347,0.247737,-0.160966,0.200
28,3.459055,0.231710,-0.160966,0.200
29,3.557762,0.215683,-0.160966,0.200
30,3.656469,0.199656,-0.160966,0.200
31,3.755177,0.183628,-0.160966,0.200
32,3.790510,0.177891,0.454375,0.200
33,3.880364,0.221781,0.454375,0.200
34,3.970217,0.265671,0.454375,0.200
35,3.975760,0.268379,-0.405626,0.200
36,4.067645,0.228919,-0.405626,0.200
37,4.159531,0.189460,-0.405626,0.200
38,4.237828,0.155836,0.031118,0.200
39,4.337780,0.158947,0.031118,0.200
40,4.437731,0.162058,0.031118,0.200
41,4.537683,0.165170,0.031118,0.200
42,4.637635,0.168281,0.031118,0.200
43,4.718855,0.170809,-0.243126,0.200
44,4.815914,0.146735,-0.243126,0.200
45,4.912973,0.122662,-0.243126,0.200
46,4.983437,0.105184,0.142306,0.200
47,5.082427,0.119367,0.142306,0.200
48,5.181416,0.133549,0.142306,0.200
49,5.259490,0.144736,-0.080644,0.200
50,5.359165,0.136680,-0.080644,0.200
51,5.458840,0.128624,-0.080644,0.200
52,5.558515,0.120569,-0.080644,0.200
53,5.658190,0.112513,-0.080644,0.200
54,5.679874,0.110761,0.189579,0.200
55,5.778082,0.129605,0.189579,0.200
56,5.876290,0.148450,0.189579,0.200
57,5.936426,0.159989,-0.171198,0.200
58,6.034964,0.142952,-0.171198,0.200
59,6.133502,0.125916,-0.171198,0.200
60,6.232040,0.108880,-0.171198,0.200
61,6.330579,0.091844,-0.171198,0.200
62,6.429117,0.074807,-0.171198,0.200
63,6.494970,0.063422,-0.000015,0.200
64,6.594970,0.063420,-0.000015,0.200
65,6.694970,0.063419,-0.000015,0.200
66,6.794970,0.063418,-0.000015,0.200
67,6.994970,0.063415,-0.000015,0.200
68,7.194970,0.063412,-0.000015,0.200
69,7.394970,0.063409,-0.000015,0.200
70,7.594970,0.063406,-0.000015,0.200
71,7.794970,0.063403,-0.000015,0.200
72,7.896551,0.063401,-0.050499,0.200
73,8.096296,0.053306,-0.050499,0.200
74,8.296041,0.043210,-0.050499,0.200
75,8.495786,0.033115,-0.050499,0.200
76,8.695531,0.023019,-0.050499,0.200
77,8.895276,0.012924,-0.050499,0.200
78,8.995148,0.007876,0.141890,0.200
79,9.095007,0.022141,0.143590,0.200
80,9.193978,0.036451,0.143590,0.200
81,9.292949,0.050760,0.143590,0.200
82,9.335426,0.056902,-0.055764,0.200
83,9.435271,0.051328,-0.055764,0.200
84,9.535116,0.045755,-0.055764,0.200
85,9.634960,0.040182,-0.055764,0.200
86,9.734805,0.034608,-0.055764,0.200
87,9.834649,0.029035,-0.055764,0.200
88,9.924329,0.024029,-0.243716,0.200
89,10.021373,-0.000103,-0.243716,0.200
90,10.118418,-0.024234,-0.243716,0.200
91,10.215463,-0.048365,-0.243716,0.200
92,10.248140,-0.056490,0.116990,0.200
93,10.347457,-0.044818,0.116990,0.200
94,10.446773,-0.033145,0.116990,0.200
95,10.546090,-0.021473,0.116990,0.200
96,10.645406,-0.009801,0.116990,0.200
97,10.744723,0.001872,0.116990,0.200
98,10.842317,0.013341,-0.055269,0.200
99,10.942164,0.007817,-0.055269,0.200
100,11.042012,0.002293,-0.055269,0.200
101,11.141859,-0.003231,-0.055269,0.200
102,11.341553,-0.014279,-0.055269,0.200
103,11.541248,-0.025327,-0.055269,0.200
104,11.641095,-0.030851,-0.055269,0.200
105,11.740049,-0.036326,0.124596,0.200
106,11.839274,-0.023898,0.124596,0.200
107,11.938499,-0.011471,0.124596,0.200
108,12.037724,0.000957,0.124596,0.200
109,12.236173,0.025811,0.124596,0.200
110,12.335398,0.038239,0.124596,0.200
111,12.380454,0.043882,-0.033124,0.200
112,12.480399,0.040570,-0.033124,0.200
113,12.580344,0.037258,-0.033124,0.200
114,12.680289,0.033946,-0.033124,0.200
115,12.880180,0.027323,-0.033124,0.200
116,13.080070,0.020699,-0.033124,0.200
117,13.279960,0.014076,-0.033124,0.200
118,13.330085,0.012415,0.038388,0.200
119,13.529937,0.020091,0.038388,0.200
120,13.729790,0.027766,0.038388,0.200
121,13.929643,0.035442,0.038388,0.200
122,14.129495,0.043118,0.038388,0.200
123,14.329348,0.050794,0.038388,0.200
124,14.529201,0.058469,0.038388,0.200
125,14.729053,0.066145,0.038388,0.200
126,14.928906,0.073821,0.038388,0.200
127,15.128759,0.081497,0.038388,0.200
128,15.328611,0.089172,0.038388,0.200
129,15.410047,0.092300,0.080451,0.200
130,15.609400,0.108373,0.080451,0.200
131,15.808753,0.124446,0.080451,0.200
132,16.008106,0.140518,0.080451,0.200
133,16.207459,0.156591,0.080451,0.200
134,16.406812,0.172664,0.080451,0.200
135,16.606165,0.188737,0.080451,0.200
136,16.805519,0.204810,0.080451,0.200
137,16.905195,0.212846,0.080451,0.200
138,17.004872,0.220883,0.080451,0.200
139,17.042681,0.223931,0.427837,0.200
140,17.133668,0.265421,0.427837,0.200
141,17.224654,0.306912,0.427837,0.200
142,17.255814,0.321121,0.001500,0.200
143,17.355814,0.321271,0.001500,0.200
144,17.455814,0.321421,0.001500,0.200
145,17.555813,0.321571,0.001500,0.200
146,17.755813,0.321871,0.001500,0.200
147,17.955813,0.322171,0.001500,0.200
148,18.055813,0.322321,0.001500,0.200
149,18.123901,0.322423,0.191018,0.200
150,18.222082,0.341409,0.191018,0.200
151,18.320264,0.360395,0.191018,0.200
152,18.418445,0.379380,0.191018,0.200
153,18.506408,0.396390,-0.009663,0.200
154,18.606404,0.395424,-0.009663,0.200
155,18.706399,0.394458,-0.009663,0.200
156,18.806394,0.393492,-0.009663,0.200
157,18.906390,0.392525,-0.009663,0.200
158,19.006385,0.391559,-0.009663,0.200
159,19.093723,0.390715,0.130363,0.200
160,19.192874,0.403715,0.130363,0.200
161,19.292026,0.416714,0.130363,0.200
162,19.391177,0.429714,0.130363,0.200
163,19.490329,0.442713,0.130363,0.200
164,19.499296,0.443889,0.307434,0.200
165,19.594608,0.474150,0.307434,0.200
166,19.689919,0.504412,0.307434,0.200
167,19.785230,0.534673,0.022576,0.200
168,19.888477,0.537004,0.012980,0.200
169,19.988468,0.538302,0.012980,0.200
170,20.088460,0.539600,0.012980,0.200
171,20.288443,0.542196,0.012980,0.200
172,20.388435,0.543494,0.012980,0.200
173,20.440867,0.544175,0.363613,0.200
174,20.534329,0.579740,0.363613,0.200
175,20.627791,0.615305,0.363613,0.200
176,20.721253,0.650871,0.363613,0.200
177,20.728244,0.653531,0.083419,0.200
178,20.827896,0.661863,0.083419,0.200
179,20.927549,0.670196,0.083419,0.200
180,21.027201,0.678528,0.083419,0.200
181,21.226506,0.695192,0.083419,0.200
182,21.425810,0.711857,0.083419,0.200
183,21.625115,0.728521,0.083419,0.200
184,21.724767,0.736854,0.083419,0.200
185,21.779943,0.741467,0.283659,0.200
186,21.875946,0.769454,0.283659,0.200
187,21.971950,0.797441,0.283659,0.200
188,22.067954,0.825428,0.283659,0.200
189,22.110052,0.837701,0.120278,0.200
190,22.209329,0.849699,0.120278,0.200
191,22.308607,0.861698,0.120278,0.200
192,22.407885,0.873697,0.120278,0.200
193,22.606440,0.897694,0.120278,0.200
194,22.804995,0.921692,0.120278,0.200
195,22.904272,0.933691,0.120278,0.200
196,23.003550,0.945690,0.120278,0.200
197,23.092099,0.956392,0.786226,0.200
198,23.162751,1.027161,0.786226,0.200
199,23.222408,1.086917,0.025706,0.200
200,23.322375,1.089487,0.025706,0.200
201,23.422342,1.092057,0.025706,0.200
202,23.522309,1.094628,0.025706,0.200
203,23.722243,1.099769,0.025706,0.200
204,23.922176,1.104909,0.025706,0.200
205,24.122110,1.110050,0.025706,0.200
206,24.222077,1.112620,0.025706,0.200
207,24.264300,1.113706,0.336015,0.200
208,24.358707,1.146679,0.336015,0.200
209,24.453115,1.179651,0.336015,0.200
210,24.547523,1.212624,0.336015,0.200
211,24.618889,1.237550,0.132842,0.200
212,24.718008,1.250795,0.132842,0.200
213,24.817127,1.264040,0.132842,0.200
214,24.916246,1.277285,0.132842,0.200
215,25.114483,1.303776,0.132842,0.200
216,25.312721,1.330266,0.132842,0.200
217,25.510959,1.356756,0.132842,0.200
218,25.709197,1.383247,0.132842,0.200
219,25.907435,1.409737,0.132842,0.200
220,26.006554,1.422982,0.132842,0.200
221,26.088885,1.433984,0.274628,0.200
222,26.185138,1.461103,0.274628,0.200
223,26.281390,1.488222,0.274628,0.200
224,26.377643,1.515341,0.274628,0.200
225,26.570148,1.569579,0.274628,0.200
226,26.666401,1.596698,0.274628,0.200
227,26.762654,1.623816,0.274628,0.200
228,26.787043,1.630688,-0.243556,0.200
229,26.884092,1.606573,-0.243556,0.200
230,26.981140,1.582457,-0.243556,0.200
231,27.078189,1.558342,-0.243556,0.200
232,27.090305,1.555331,0.436271,0.200
233,27.180938,1.597587,0.436271,0.200
234,27.271572,1.639843,0.436271,0.200
235,27.362205,1.682100,0.436271,0.200
236,27.452839,1.724356,0.436271,0.200
237,27.460482,1.727920,-0.291689,0.200
238,27.556258,1.699163,-0.291689,0.200
239,27.652034,1.670406,-0.291689,0.200
240,27.747810,1.641649,0.024416,0.200
241,27.850217,1.644149,0.032399,0.200
242,27.950165,1.647389,0.032399,0.200
243,28.050112,1.650628,0.032399,0.200
244,28.072437,1.651352,-0.164771,0.200
245,28.171083,1.634949,-0.164771,0.200
