id,x,y,yaw,v
0,-0.019053,-0.018981,-0.000282,0.200
1,-0.020542,-0.017860,0.000762,0.200
2,-0.021141,-0.017802,-0.000770,0.200
3,-0.018939,-0.020277,0.000536,0.200
4,-0.018875,-0.023712,-0.000471,0.200
5,-0.016593,-0.022723,-0.000190,0.200
6,-0.015744,-0.019338,-0.000991,0.200
7,-0.016587,-0.021043,-0.000182,0.200
8,-0.014929,-0.019127,0.000623,0.200
9,-0.015848,-0.025175,0.000124,0.200
10,-0.015367,-0.027415,-0.000715,0.200
11,-0.008581,-0.021507,-0.000127,0.200
12,-0.013914,-0.024291,-0.000410,0.200
13,-0.011913,-0.025170,0.000214,0.200
14,-0.014260,-0.024477,-0.000873,0.200
15,-0.011701,-0.024063,-0.000066,0.200
16,-0.009490,-0.024807,0.000683,0.200
17,-0.011473,-0.024065,-0.000987,0.200
18,-0.015670,-0.016855,0.000334,0.200
19,-0.012750,-0.024091,-0.000527,0.200
20,-0.018868,-0.026599,-0.000146,0.200
21,-0.015193,-0.018569,0.000363,0.200
22,-0.010575,-0.018491,0.000743,0.200
23,-0.013878,-0.022173,-0.000411,0.200
24,-0.008114,-0.025705,0.001015,0.200
25,-0.015728,-0.016172,0.001031,0.200
26,-0.019111,-0.019116,0.000904,0.200
27,-0.023026,-0.024291,-0.000973,0.200
28,-0.011899,-0.022353,0.000994,0.200
29,-0.009843,-0.012420,-0.000313,0.200
30,-0.011629,-0.024912,-0.000178,0.200
31,-0.014952,-0.030830,0.000213,0.200
32,-0.018100,-0.025133,0.000594,0.200
33,-0.022325,-0.020592,-0.000603,0.200
34,-0.016031,-0.011817,0.001095,0.200
35,-0.011871,-0.015528,-0.000061,0.200
36,-0.011790,-0.018516,0.001883,0.200
37,-0.010101,-0.022748,-0.000302,0.200
38,-0.010390,-0.021369,0.000148,0.200
39,-0.011743,-0.021325,-0.000892,0.200
40,-0.011233,-0.021790,-0.000050,0.200
41,-0.010572,-0.019485,0.000111,0.200
42,-0.012398,-0.017988,0.000787,0.200
43,-0.013131,-0.016788,-0.000203,0.200
44,-0.012378,-0.015428,0.000127,0.200
45,-0.012179,-0.018929,-0.000163,0.200
46,-0.012022,-0.019641,0.000423,0.200
47,-0.013422,-0.018598,0.000078,0.200
48,-0.011598,-0.020765,0.000267,0.200
49,-0.011005,-0.021607,-0.000103,0.200
50,-0.015502,-0.021599,-0.000207,0.200
51,-0.019090,-0.019266,-0.000512,0.200
52,-0.013841,-0.019328,-0.000379,0.200
53,-0.013526,-0.019902,-0.001117,0.200
54,-0.009560,-0.022079,-0.000308,0.200
55,-0.017233,-0.023510,-0.001086,0.200
56,-0.014911,-0.022746,-0.000094,0.200
57,-0.014277,-0.019735,-0.000072,0.200
58,-0.012688,-0.018270,0.000123,0.200
59,-0.009739,-0.018665,0.000242,0.200
60,-0.011209,-0.020290,-0.000614,0.200
61,-0.012131,-0.020532,-0.000071,0.200
62,-0.015172,-0.022971,-0.000450,0.200
63,-0.011020,-0.021576,0.001085,0.200
64,-0.008269,-0.023126,0.000300,0.200
65,-0.006126,-0.023570,0.000262,0.200
66,-0.008243,-0.024201,-0.000014,0.200
67,-0.013673,-0.022387,0.000151,0.200
68,-0.016611,-0.020264,0.000924,0.200
69,-0.015102,-0.022833,-0.000254,0.200
70,-0.014269,-0.022095,0.000714,0.200
71,-0.016525,-0.022453,-0.001093,0.200
72,-0.014805,-0.019296,0.001286,0.200
73,-0.015883,-0.013681,-0.000334,0.200
74,-0.009829,-0.016575,0.000426,0.200
75,-0.009998,-0.017613,-0.000075,0.200
76,-0.007794,-0.019413,0.001252,0.200
77,-0.009541,-0.019140,0.000308,0.200
78,-0.013182,-0.021518,-0.000579,0.200
79,-0.015448,-0.018301,0.000581,0.200
80,-0.011790,-0.020859,0.000134,0.200
81,-0.013165,-0.020548,-0.000319,0.200
82,-0.012309,-0.020298,0.000633,0.200
83,-0.015438,-0.016942,-0.000079,0.200
84,-0.017396,-0.018100,0.000298,0.200
