id,x,y,yaw,v
0,0.015386,-0.035405,0.000981,0.200
1,0.456476,-0.042765,-0.004530,0.200
2,0.891697,-0.042332,0.023392,0.200
3,1.331375,-0.021084,0.015870,0.200
4,1.739001,-0.018645,0.027661,0.200
5,2.156005,0.009987,0.027058,0.200
6,2.611108,0.042806,0.030622,0.200
7,3.032346,0.072761,0.050096,0.200
8,3.490181,0.100006,0.053546,0.200
9,3.952365,0.119680,0.071624,0.200
10,4.364957,0.167711,0.071816,0.200
11,4.804940,0.188334,0.041330,0.200
12,5.248090,0.220100,0.017669,0.200
13,5.650644,0.206843,0.025930,0.200
14,6.083494,0.200496,-0.011706,0.200
15,6.491188,0.247562,-0.005579,0.200
16,6.938490,0.173218,-0.009599,0.200
17,7.399661,0.166138,-0.012192,0.200
18,7.819809,0.161485,-0.009572,0.200
19,8.281931,0.165928,-0.001677,0.200
20,8.689801,0.168524,0.006957,0.200
21,9.149602,0.171797,0.012072,0.200
22,9.583219,0.195762,0.037336,0.200
23,10.024421,0.183507,0.040673,0.200
24,10.494292,0.203625,0.010894,0.200
25,10.970606,0.184349,-0.015459,0.200
26,11.394538,0.202114,-0.021041,0.200
27,11.868893,0.172800,-0.014809,0.200
28,12.325708,0.177812,-0.008987,0.200
29,12.791464,0.170606,0.012266,0.200
30,13.207754,0.143245,0.009476,0.200
31,13.611897,0.112643,0.013312,0.200
32,14.052324,0.116637,0.016444,0.200
33,14.532513,0.135726,0.005505,0.200
34,14.948094,0.104614,0.015548,0.200
35,15.375375,0.126882,0.016494,0.200
36,15.793789,0.137421,0.026712,0.200
37,16.242824,0.141454,0.020525,0.200
38,16.657415,0.192113,0.050199,0.200
39,17.117189,0.182461,0.061897,0.200
40,17.584933,0.228135,0.059021,0.200
41,18.032783,0.260841,0.061364,0.200
42,18.478031,0.309455,0.072859,0.200
43,18.898143,0.355560,0.072946,0.200
44,19.304015,0.355794,0.066236,0.200
45,19.771744,0.386626,0.032942,0.200
46,20.178204,0.294392,-0.132330,0.200
47,20.610703,0.191786,-0.110934,0.200
48,21.068973,0.158853,-0.069084,0.200
49,21.531857,0.088095,-0.071011,0.200
50,21.969903,0.075603,-0.063490,0.200
51,22.435939,0.017827,-0.066008,0.200
52,22.918554,-0.010251,-0.059405,0.200
53,23.371106,-0.043197,-0.037072,0.200
54,23.815408,-0.085464,-0.043496,0.200
55,24.254906,-0.127654,-0.040019,0.200
56,24.673607,-0.131153,-0.029976,0.200
57,25.144022,-0.177543,-0.038867,0.200
58,25.592779,-0.206287,-0.045550,0.200
59,26.046787,-0.186021,-0.042413,0.200
60,26.457186,-0.196506,-0.041102,0.200
61,26.858670,-0.222688,-0.036864,0.200
62,27.303296,-0.221067,-0.027385,0.200
63,27.781239,-0.229715,-0.013510,0.200
64,28.230969,-0.283520,0.000497,0.200
65,28.694622,-0.238740,0.003410,0.200
66,29.170087,-0.313552,0.005128,0.200
67,29.638440,-0.252062,-0.002443,0.200
68,30.084664,-0.230415,0.011333,0.200
69,30.550846,-0.255645,-0.019447,0.200
70,30.968371,-0.271224,-0.026264,0.200
71,31.426008,-0.312316,-0.018242,0.200
72,31.862553,-0.307913,-0.008861,0.200
73,32.312097,-0.310447,-0.006670,0.200
74,32.783424,-0.412452,-0.006022,0.200
75,33.259295,-0.346979,-0.012917,0.200
76,33.679424,-0.314260,-0.006253,0.200
77,34.098001,-0.309082,0.007929,0.200
78,34.529766,-0.309722,0.001538,0.200
79,34.987321,-0.306338,0.013214,0.200
80,35.439725,-0.318569,0.000813,0.200
81,35.877470,-0.276557,0.035958,0.200
82,36.328238,-0.258359,0.034918,0.200
83,36.763591,-0.328066,-0.070340,0.200
84,37.201124,-0.377464,-0.095161,0.200
85,37.634726,-0.457406,-0.089120,0.200
86,38.094712,-0.460243,-0.098962,0.200
87,38.494569,-0.490517,-0.089689,0.200
88,38.942786,-0.541982,-0.071253,0.200
89,39.407342,-0.569768,-0.063720,0.200
90,39.839671,-0.607092,-0.053966,0.200
91,40.316805,-0.666308,-0.069531,0.200
92,40.716668,-0.690946,-0.052451,0.200
93,41.159692,-0.733100,-0.048829,0.200
94,41.611981,-0.738401,-0.037785,0.200
95,42.056724,-0.752379,-0.047682,0.200
96,42.458350,-0.774241,-0.041884,0.200
97,42.910469,-0.776292,-0.037956,0.200
98,43.345607,-0.777247,-0.022632,0.200
99,43.810455,-0.770290,-0.005462,0.200
100,44.255920,-0.777761,0.008942,0.200
101,44.717524,-0.769294,0.011125,0.200
102,45.190759,-0.759507,0.005952,0.200
103,45.597549,-0.745064,0.014431,0.200
104,46.022893,-0.737141,0.007695,0.200
105,46.425408,-0.725404,0.016674,0.200
106,46.867639,-0.680506,0.029970,0.200
107,47.325892,-0.688036,0.019955,0.200
108,47.737347,-0.656947,0.033489,0.200
109,48.157931,-0.633248,0.031204,0.200
110,48.615059,-0.600544,0.045823,0.200
111,49.062429,-0.575760,0.044568,0.200
112,49.489615,-0.551832,0.055722,0.200
113,49.939046,-0.603722,0.055090,0.200
114,50.326781,-0.474435,0.063803,0.200
115,50.748947,-0.448866,0.067561,0.200
116,51.185609,-0.402194,0.099306,0.200
117,51.602756,-0.347281,0.108385,0.200
118,52.027767,-0.294554,0.058533,0.200
119,52.501800,-0.288721,0.027658,0.200
120,52.947377,-0.281730,0.026692,0.200
121,53.402968,-0.277614,0.035425,0.200
122,53.818556,-0.259802,0.036218,0.200
123,54.284993,-0.247977,0.034705,0.200
124,54.691202,-0.260344,0.032994,0.200
125,55.118179,-0.217211,0.045594,0.200
126,55.528920,-0.205294,0.066638,0.200
127,55.933661,-0.157040,0.064780,0.200
128,56.374933,-0.127683,0.061820,0.200
129,56.821793,-0.110585,0.059906,0.200
130,57.284108,-0.066198,0.053019,0.200
131,57.696288,-0.018689,0.062561,0.200
132,58.094600,0.021075,0.063505,0.200
133,58.520657,-0.015633,-0.038765,0.200
134,58.925307,-0.059950,-0.055200,0.200
135,59.353432,-0.054674,-0.048041,0.200
136,59.753979,-0.090164,-0.036166,0.200
137,60.198293,-0.139528,-0.010001,0.200
138,60.666929,-0.124918,-0.010123,0.200
139,61.117549,-0.110882,-0.016816,0.200
140,61.573492,-0.103711,-0.011076,0.200
141,62.007134,-0.120138,-0.012720,0.200
142,62.440729,-0.068758,-0.012942,0.200
143,62.885957,-0.113143,0.003253,0.200
144,63.355918,-0.116331,0.018217,0.200
145,63.811113,-0.136386,0.021310,0.200
146,64.260704,-0.084251,0.034646,0.200
147,64.692019,-0.091403,0.031209,0.200
148,65.167661,-0.089592,0.025841,0.200
149,65.568972,-0.044565,0.035263,0.200
150,66.009970,-0.044484,0.022594,0.200
151,66.458917,-0.034057,0.007347,0.200
152,66.910599,-0.067235,-0.063708,0.200
153,67.324935,-0.132056,-0.081084,0.200
154,67.767436,-0.152944,-0.076256,0.200
155,68.210372,-0.183120,-0.048125,0.200
156,68.676524,-0.239738,-0.045396,0.200
157,69.146183,-0.238120,-0.038763,0.200
158,69.610237,-0.280812,-0.036416,0.200
159,70.023153,-0.287783,-0.037472,0.200
160,70.433865,-0.310564,-0.034047,0.200
161,70.918863,-0.311633,-0.027174,0.200
162,71.354975,-0.314288,-0.016346,0.200
163,71.757882,-0.321880,-0.001470,0.200
164,72.176708,-0.399767,-0.007015,0.200
165,72.590999,-0.345666,0.008607,0.200
166,73.009560,-0.334838,0.024925,0.200
167,73.422141,-0.308794,0.037900,0.200
168,73.898455,-0.324608,0.024803,0.200
169,74.342486,-0.261963,0.025198,0.200
170,74.779016,-0.286629,0.021331,0.200
171,75.234687,-0.257367,0.033556,0.200
172,75.661905,-0.247499,0.037369,0.200
173,76.109011,-0.205910,0.047927,0.200
174,76.545790,-0.168707,0.064112,0.200
175,76.948328,-0.138850,0.053186,0.200
176,77.366505,-0.133771,0.069967,0.200
177,77.818749,-0.040490,0.071338,0.200
178,78.259293,-0.057725,0.087936,0.200
179,78.750608,-0.060186,-0.003018,0.200
180,79.160191,-0.063897,-0.016467,0.200
181,79.577501,-0.079259,-0.030066,0.200
182,80.022136,-0.141360,0.005688,0.200
183,80.427078,-0.122514,-0.013819,0.200
184,80.831010,-0.113331,-0.009344,0.200
185,81.265801,-0.095945,-0.008426,0.200
186,81.726555,-0.081256,0.010920,0.200
187,82.197325,-0.063973,0.030755,0.200
188,82.599839,-0.070526,0.028604,0.200
189,83.094778,-0.083827,0.033903,0.200
190,83.554866,-0.057284,0.040523,0.200
191,83.985412,-0.041676,0.037175,0.200
192,84.438592,-0.025463,0.034314,0.200
193,84.872654,-0.013210,0.046419,0.200
194,85.296448,0.009932,0.044764,0.200
