id,x,y,yaw,v
0,-0.024273,-0.023031,0.002780,0.200
1,0.400860,-0.055953,0.009842,0.200
2,0.825420,-0.007355,0.022459,0.200
3,1.260682,-0.038627,-0.069657,0.200
4,1.329797,-0.484977,-1.105765,0.200
5,1.392457,-0.915607,-1.106265,0.200
6,1.481803,-1.325810,-1.098718,0.200
7,1.509783,-1.742097,-1.263054,0.200
8,1.524057,-2.160346,-1.237050,0.200
9,1.942059,-2.064914,-0.010388,0.200
10,2.364160,-2.084180,-0.017193,0.200
11,2.467761,-1.630072,1.323937,0.200
12,2.448929,-1.185552,1.329467,0.200
13,2.446585,-0.763083,1.295475,0.200
14,2.445808,-0.324125,1.282543,0.200
15,2.442254,0.096538,1.319817,0.200
16,2.023325,0.138153,-3.033487,0.200
17,1.534029,0.103008,-3.094049,0.200
18,1.052685,0.062676,-3.110946,0.200
19,0.626381,0.055991,-3.104221,0.200
20,0.198738,0.040021,-3.064557,0.200
