id,x,y,yaw,v
0,145026.820227,-144830.063671,0.006665,0.200
1,146017.050875,-145557.926624,0.353886,0.200
2,148287.652179,-147227.836631,1.074850,0.200
3,148287.308753,-147227.604185,1.074806,0.200
4,149574.679817,-148173.384419,1.448944,0.200
5,151594.601761,-149648.615363,2.020707,0.200
6,152619.429282,-150389.083160,2.307004,0.200
7,153350.850177,-150913.898344,2.510274,0.200
8,154234.960183,-151544.913077,2.753809,0.200
9,154530.006699,-151754.583864,2.833859,0.200
10,155415.660608,-152382.373456,3.076671,0.200
11,155711.286348,-152591.046961,-3.125051,0.200
12,156153.121174,-152902.472358,-3.003206,0.200
13,156597.484071,-153215.118653,-2.881162,0.200
14,157042.635514,-153527.767127,-2.757675,0.200
15,158673.546402,-154670.359397,-2.295455,0.200
16,162089.578219,-157062.451521,-1.211090,0.200
17,163575.372865,-158107.907509,-0.683210,0.200
18,165065.240085,-159160.081727,-0.149647,0.200
19,166559.837024,-160218.242289,0.356531,0.200
20,168212.184312,-161389.077364,0.860048,0.200
21,168817.047283,-161817.009859,1.033632,0.200
22,170332.679752,-162887.849314,1.449162,0.200
23,171860.152974,-163961.373112,1.854541,0.200
24,172475.620190,-164390.873334,2.015815,0.200
25,173556.059552,-165142.241904,2.299162,0.200
26,173709.897646,-165248.576688,2.339296,0.200
27,173865.196164,-165355.818846,2.379251,0.200
28,174176.158287,-165570.339477,2.459516,0.200
29,174331.684169,-165677.434920,2.500230,0.200
30,174797.874784,-165997.869922,2.622361,0.200
31,176374.384728,-167075.531537,3.034696,0.200
32,177478.749292,-167825.656378,-2.960759,0.200
33,179174.409781,-168972.185940,-2.509851,0.200
34,181055.693878,-170240.268378,-1.986281,0.200
35,182623.520817,-171296.844962,-1.517288,0.200
36,183251.207196,-171720.372750,-1.317301,0.200
37,184819.702329,-172780.494842,-0.797264,0.200
38,186545.636062,-173951.509503,-0.213478,0.200
39,187647.297143,-174702.012258,0.145630,0.200
40,188120.204905,-175024.929641,0.293704,0.200
41,188436.682662,-175241.029239,0.390197,0.200
42,188595.149050,-175349.240698,0.437438,0.200
43,188753.152285,-175457.116879,0.751214,0.200
44,189232.521244,-175784.312193,0.888107,0.200
45,190182.054863,-176431.672340,1.154116,0.200
46,191625.339321,-177412.440976,1.545280,0.200
47,193066.898616,-178386.503730,1.929748,0.200
48,194044.453530,-179043.355548,2.191066,0.200
49,195823.974058,-180231.533523,2.663261,0.200
50,197779.697668,-181526.003680,-3.103465,0.200
51,199214.027865,-182473.137112,-1.226889,0.200
52,200026.140554,-183014.512000,-0.722861,0.200
53,201170.948849,-183779.643478,-0.121289,0.200
54,203581.356063,-185396.747912,0.675159,0.200
55,205212.155525,-186499.001738,1.086047,0.200
56,205871.226107,-186944.729008,1.249365,0.200
57,206363.573971,-187277.404915,1.374228,0.200
58,206528.735079,-187388.863626,1.416913,0.200
59,206688.399656,-187496.609812,1.226907,0.200
60,206850.058921,-187605.849519,0.708157,0.200
61,207014.246371,-187716.637353,0.741434,0.200
62,207338.083844,-187935.130767,0.805362,0.200
63,207842.896063,-188275.726478,0.906709,0.200
64,208007.334670,-188386.639423,0.939993,0.200
65,208172.515433,-188498.033649,0.972538,0.200
66,208353.280086,-188619.911883,1.008621,0.200
