id,x,y,yaw,v
0,2.773,-9.46,-0.219,0.2
1,3.256,-9.538,-0.2192,0.2
2,3.892,-9.783,-0.2215,0.2
3,4.429,-9.939,-0.2262,0.2
4,5.061,-10.078,-0.2034,0.2
5,6.012,-10.166,-0.2378,0.2
6,6.743,-10.221,-0.2225,0.2
7,9.211,-9.868,-0.4079,0.2
8,9.669,-10.07,-0.3832,0.2
9,9.961,-10.535,-0.3694,0.2
10,10.42,-10.606,-0.3673,0.2
11,10.938,-10.799,-0.3629,0.2
12,11.311,-10.959,-0.3579,0.2
13,11.702,-11.081,-0.3314,0.2
14,12.109,-11.245,-0.3463,0.2
15,12.528,-11.382,-0.3225,0.2
16,13.081,-11.492,-0.3329,0.2
17,13.555,-11.629,-0.31,0.2
18,14.024,-11.888,-0.3186,0.2
19,14.416,-11.981,-0.2798,0.2
20,14.819,-12.108,-0.314,0.2
21,15.409,-12.264,-0.2998,0.2
22,15.873,-12.378,-0.2862,0.2
23,16.252,-12.558,-0.2976,0.2
24,16.646,-12.683,-0.2906,0.2
25,17.218,-12.792,-0.2781,0.2
26,17.626,-12.901,-0.2732,0.2
27,18.085,-12.924,-0.2475,0.2
28,18.313,-13.428,-0.2651,0.2
29,18.785,-13.439,-0.2525,0.2
30,19.14,-13.253,-0.2439,0.2
31,19.542,-13.383,-0.2397,0.2
32,19.977,-13.512,-0.2433,0.2
33,20.388,-13.685,-0.2367,0.2
34,20.796,-13.799,-0.2243,0.2
35,21.214,-13.916,-0.2376,0.2
36,21.651,-13.954,-0.2208,0.2
37,22.095,-14.133,-0.1992,0.2
38,22.5,-14.265,-0.21,0.2
39,22.929,-14.253,-0.2178,0.2
40,23.382,-14.377,-0.199,0.2
41,23.973,-14.56,-0.2153,0.2
42,24.37,-14.624,-0.2076,0.2
43,24.796,-14.49,-0.204,0.2
44,25.139,-14.744,-0.1899,0.2
45,25.612,-14.868,-0.1847,0.2
46,26.059,-14.944,-0.1758,0.2
47,26.473,-14.995,-0.2839,0.2
48,26.908,-15.257,-0.2941,0.2
49,27.394,-15.231,-0.2587,0.2
50,27.792,-15.363,-0.2742,0.2
51,28.164,-15.647,-0.2621,0.2
52,28.57,-15.626,-0.2265,0.2
53,28.972,-15.726,-0.2297,0.2
54,29.551,-15.851,-0.2366,0.2
55,29.938,-15.981,-0.2413,0.2
56,30.404,-16.077,-0.238,0.2
57,30.843,-16.133,-0.2365,0.2
58,31.264,-16.279,-0.2369,0.2
59,31.793,-16.38,-0.2364,0.2
60,32.449,-16.515,-0.2116,0.2
61,32.863,-16.677,-0.212,0.2
62,33.272,-16.77,-0.2192,0.2
63,33.809,-16.861,-0.2044,0.2
64,34.208,-16.94,-0.2027,0.2
65,34.643,-17.063,-0.218,0.2
66,35.098,-17.126,-0.2016,0.2
67,35.854,-17.351,-0.1812,0.2
68,36.438,-17.426,-0.1806,0.2
69,36.945,-16.89,-0.2541,0.2
70,37.423,-16.604,-0.2231,0.2
71,37.856,-16.754,-0.2094,0.2
72,38.15,-17.16,-0.3512,0.2
73,38.574,-17.346,-0.3247,0.2
74,39.206,-17.526,-0.312,0.2
75,39.859,-17.691,-0.3031,0.2
76,40.479,-17.922,-0.2842,0.2
77,40.926,-18.026,-0.2634,0.2
78,41.567,-18.082,-0.2794,0.2
79,42.164,-17.996,-0.3161,0.2
80,41.765,-17.842,-0.1572,0.2
81,42.014,-18.25,-0.1705,0.2
82,42.59,-18.842,-0.253,0.2
83,42.696,-19.288,-0.2605,0.2
84,42.762,-19.738,-0.2154,0.2
85,43.01,-20.113,-0.2127,0.2
86,43.531,-20.202,-0.239,0.2
87,44.046,-20.38,-0.2315,0.2
88,44.499,-20.548,-0.2524,0.2
