id,x,y,yaw,v
0,-0.007381,-0.015780,-0.000437,0.200
1,0.453547,-0.013982,-0.005013,0.200
2,0.862466,-0.018314,-0.015222,0.200
3,1.326009,-0.017417,-0.014481,0.200
4,1.729366,-0.033492,-0.014564,0.200
5,2.185615,-0.041104,-0.007372,0.200
6,2.630937,-0.044808,-0.012845,0.200
7,3.077560,-0.008363,-0.004470,0.200
8,3.499807,-0.041063,0.012322,0.200
9,3.918656,-0.033692,0.024049,0.200
10,4.386646,-0.018890,0.011066,0.200
11,4.841330,0.011836,0.008870,0.200
12,5.278229,0.021772,0.007753,0.200
13,5.848774,0.047484,0.025102,0.200
14,6.336053,0.076123,0.047102,0.200
15,6.748699,0.111090,0.028922,0.200
16,7.183130,0.148314,0.018875,0.200
17,7.626170,0.203584,0.036493,0.200
18,8.084141,0.213198,0.041141,0.200
19,8.523026,0.246753,0.049757,0.200
20,8.964316,0.302853,0.010360,0.200
21,9.393304,0.255380,-0.019378,0.200
22,9.842123,0.248164,-0.017922,0.200
23,10.260999,0.237792,-0.024345,0.200
24,10.709821,0.276065,-0.015173,0.200
25,11.143994,0.284319,0.001881,0.200
26,11.609935,0.294036,0.015519,0.200
27,12.027613,0.308808,0.025788,0.200
28,12.487217,0.317555,0.032968,0.200
29,12.936490,0.347640,0.025570,0.200
30,13.374636,0.364764,0.020015,0.200
31,13.812453,0.405620,0.034605,0.200
32,14.279939,0.417469,0.046102,0.200
33,14.698629,0.419049,0.058154,0.200
34,15.134351,0.475856,0.050110,0.200
35,15.610858,0.472334,0.047534,0.200
36,16.029962,0.546018,0.051313,0.200
37,16.478456,0.577532,0.050463,0.200
38,16.931880,0.606087,0.063554,0.200
39,17.374008,0.653481,0.060039,0.200
40,17.797302,0.671133,0.023051,0.200
41,18.259792,0.616173,-0.053638,0.200
42,18.694230,0.558343,-0.130736,0.200
43,19.103408,0.495854,-0.142498,0.200
44,19.545384,0.441328,-0.134834,0.200
45,19.976065,0.358924,-0.122679,0.200
46,20.403530,0.297167,-0.113048,0.200
47,20.854494,0.244195,-0.096689,0.200
48,21.288527,0.191713,-0.100834,0.200
49,21.734399,0.120454,-0.101485,0.200
50,22.176279,0.113530,-0.109316,0.200
51,22.595182,0.060398,-0.095588,0.200
52,23.044096,-0.010986,-0.085604,0.200
53,23.503016,-0.044890,-0.077721,0.200
54,23.928042,-0.102800,-0.087306,0.200
55,24.373202,-0.148009,-0.081905,0.200
56,24.826736,-0.204696,-0.081600,0.200
57,25.268929,-0.230421,-0.081579,0.200
58,25.716757,-0.274645,-0.075650,0.200
59,26.155078,-0.325045,-0.069526,0.200
60,26.579409,-0.351426,-0.041584,0.200
61,27.055273,-0.372668,-0.042350,0.200
62,27.484975,-0.410103,-0.045222,0.200
63,27.928875,-0.423255,-0.048361,0.200
64,28.387345,-0.441778,-0.035910,0.200
65,28.792277,-0.416067,-0.037272,0.200
66,29.211656,-0.451666,-0.037999,0.200
67,29.659286,-0.466467,-0.005011,0.200
68,30.114206,-0.496866,-0.013192,0.200
69,30.583961,-0.470401,-0.011375,0.200
70,31.020494,-0.478141,-0.020968,0.200
71,31.421933,-0.472005,-0.015539,0.200
72,31.895519,-0.457387,-0.016324,0.200
73,32.309672,-0.435202,-0.007981,0.200
74,32.761079,-0.456093,0.020621,0.200
75,33.165356,-0.409106,0.010838,0.200
76,33.574306,-0.391201,0.003992,0.200
77,34.023787,-0.400216,-0.002908,0.200
78,34.441933,-0.364346,0.004557,0.200
79,34.847242,-0.342672,0.019755,0.200
80,35.311472,-0.330256,0.032093,0.200
81,35.733090,-0.306339,0.044135,0.200
82,36.133589,-0.270138,0.046711,0.200
83,36.533663,-0.246349,0.056842,0.200
84,36.940155,-0.203937,0.045675,0.200
85,37.341452,-0.167694,0.050877,0.200
86,37.745096,-0.129329,0.059645,0.200
87,38.191770,-0.084336,0.082177,0.200
88,38.607200,-0.038956,0.079046,0.200
89,39.065542,0.016050,0.086114,0.200
90,39.473014,0.050234,0.081030,0.200
91,39.929027,0.125022,0.074605,0.200
92,40.400867,0.154543,0.065836,0.200
93,40.837503,0.161550,0.007054,0.200
94,41.238695,0.194490,0.005308,0.200
95,41.703114,0.156428,0.007232,0.200
96,42.165786,0.180204,-0.000989,0.200
97,42.629158,0.189742,0.013006,0.200
98,43.095656,0.212423,0.028659,0.200
99,43.506284,0.265252,0.040346,0.200
100,43.911058,0.260012,0.042979,0.200
101,44.364997,0.287610,0.041691,0.200
102,44.771606,0.323584,0.061791,0.200
103,45.222282,0.356879,0.081289,0.200
104,45.624290,0.411081,0.088868,0.200
105,46.045740,0.473713,0.082200,0.200
106,46.445037,0.505279,0.084973,0.200
107,46.861045,0.564914,0.079860,0.200
108,47.272376,0.640901,0.083303,0.200
109,47.671015,0.697376,0.098023,0.200
110,48.070815,0.765280,0.097134,0.200
111,48.487946,0.813446,0.123973,0.200
112,48.901291,0.896110,0.118375,0.200
113,49.299191,0.976283,0.149858,0.200
114,49.762119,1.057264,0.143116,0.200
