id,x,y,yaw,v
0,3.388500,-9.017294,-0.167747,0.200
1,3.782886,-9.084079,-0.167747,0.200
2,4.177271,-9.150864,-0.167747,0.200
3,4.571657,-9.217648,-0.167747,0.200
4,4.966042,-9.284433,-0.167747,0.200
5,5.360427,-9.351217,-0.167747,0.200
6,5.754813,-9.418002,-0.167747,0.200
7,6.149198,-9.484787,-0.167747,0.200
8,6.543583,-9.551571,-0.167747,0.200
9,6.937969,-9.618356,-0.167747,0.200
10,7.332354,-9.685140,-0.167747,0.200
11,7.601902,-9.730785,-0.982389,0.200
12,7.638539,-9.785693,-0.054513,0.200
13,7.938094,-9.802039,-0.054513,0.200
14,8.237648,-9.818384,-0.054513,0.200
15,8.637054,-9.840179,-0.054513,0.200
16,9.036460,-9.861973,-0.054513,0.200
17,9.435866,-9.883767,-0.054513,0.200
18,9.835271,-9.905562,-0.054513,0.200
19,10.234677,-9.927356,-0.054513,0.200
20,10.634083,-9.949151,-0.054513,0.200
21,11.033489,-9.970945,-0.054513,0.200
22,11.432895,-9.992739,-0.054513,0.200
23,11.832300,-10.014534,-0.054513,0.200
24,12.231706,-10.036328,-0.054513,0.200
25,12.631112,-10.058122,-0.054513,0.200
26,13.030518,-10.079917,-0.054513,0.200
27,13.429924,-10.101711,-0.054513,0.200
28,13.829330,-10.123505,-0.054513,0.200
29,14.228735,-10.145300,-0.054513,0.200
30,14.628141,-10.167094,-0.054513,0.200
31,15.027547,-10.188889,-0.054513,0.200
32,15.426953,-10.210683,-0.054513,0.200
33,15.826359,-10.232477,-0.054513,0.200
34,16.225764,-10.254272,-0.054513,0.200
35,16.625170,-10.276066,-0.054513,0.200
36,16.844453,-10.288032,-1.128051,0.200
37,16.906416,-10.418718,-0.183994,0.200
38,17.201352,-10.473605,-0.183994,0.200
39,17.496288,-10.528492,-0.183994,0.200
40,17.889537,-10.601675,-0.183994,0.200
41,18.282785,-10.674858,-0.183994,0.200
42,18.676034,-10.748041,-0.183994,0.200
43,19.069282,-10.821224,-0.183994,0.200
44,19.462530,-10.894407,-0.183994,0.200
45,19.855779,-10.967589,-0.183994,0.200
46,20.249027,-11.040772,-0.183994,0.200
47,20.642275,-11.113955,-0.183994,0.200
48,21.035524,-11.187138,-0.183994,0.200
49,21.428772,-11.260321,-0.183994,0.200
50,21.822020,-11.333504,-0.183994,0.200
51,22.215269,-11.406687,-0.183994,0.200
52,22.608517,-11.479870,-0.183994,0.200
53,23.001765,-11.553052,-0.183994,0.200
54,23.226602,-11.594894,-1.602744,0.200
55,23.217019,-11.894741,-1.602744,0.200
56,23.216422,-11.913428,-0.103371,0.200
57,23.514821,-11.944384,-0.103371,0.200
58,23.813219,-11.975340,-0.103371,0.200
59,24.211084,-12.016615,-0.103371,0.200
60,24.608949,-12.057890,-0.103371,0.200
61,25.006814,-12.099165,-0.103371,0.200
62,25.404678,-12.140440,-0.103371,0.200
63,25.802543,-12.181715,-0.103371,0.200
64,26.200408,-12.222990,-0.103371,0.200
65,26.598273,-12.264265,-0.103371,0.200
66,26.713772,-12.276247,-1.217531,0.200
67,26.759111,-12.399205,-0.193021,0.200
68,27.053540,-12.456752,-0.193021,0.200
69,27.347968,-12.514299,-0.193021,0.200
70,27.642397,-12.571847,-0.193021,0.200
71,27.778572,-12.598463,-1.348023,0.200
72,27.807271,-12.725150,-0.451882,0.200
73,28.077159,-12.856147,-0.451882,0.200
74,28.113562,-12.873817,-0.349862,0.200
75,28.395388,-12.976647,-0.349862,0.200
76,28.677214,-13.079478,-0.349862,0.200
77,29.052982,-13.216585,-0.349862,0.200
78,29.428750,-13.353692,-0.349862,0.200
79,29.804518,-13.490799,-0.349862,0.200
80,30.180286,-13.627906,-0.349862,0.200
81,30.556055,-13.765014,-0.349862,0.200
82,30.931823,-13.902121,-0.349862,0.200
83,31.307591,-14.039228,-0.349862,0.200
84,31.325539,-14.045777,-0.321260,0.200
85,31.705074,-14.172082,-0.321260,0.200
86,32.084610,-14.298387,-0.321260,0.200
87,32.464145,-14.424692,-0.321260,0.200
88,32.843680,-14.550997,-0.321260,0.200
89,33.223216,-14.677302,-0.321260,0.200
90,33.602751,-14.803607,-0.321260,0.200
91,33.911702,-14.906422,-0.256413,0.200
92,34.298624,-15.007867,-0.256413,0.200
93,34.685546,-15.109312,-0.256413,0.200
94,35.072469,-15.210757,-0.256413,0.200
95,35.459391,-15.312202,-0.256413,0.200
96,35.846313,-15.413647,-0.256413,0.200
97,36.233236,-15.515092,-0.256413,0.200
98,36.620158,-15.616537,-0.256413,0.200
99,37.007080,-15.717982,-0.256413,0.200
100,37.394003,-15.819427,-0.256413,0.200
101,37.620555,-15.878825,-0.097698,0.200
102,37.896367,-15.905858,-0.226902,0.200
103,38.188677,-15.973346,-0.226902,0.200
104,38.480988,-16.040834,-0.226902,0.200
105,38.870735,-16.130817,-0.226902,0.200
106,39.260482,-16.220801,-0.226902,0.200
107,39.650229,-16.310785,-0.226902,0.200
108,39.994045,-16.390164,-0.166255,0.200
109,40.388529,-16.456360,-0.166255,0.200
110,40.783014,-16.522556,-0.166255,0.200
111,41.177498,-16.588752,-0.166255,0.200
112,41.571983,-16.654948,-0.166255,0.200
113,41.867846,-16.704595,-0.166255,0.200
114,42.053168,-16.735693,-0.315096,0.200
115,42.338398,-16.828665,-0.315096,0.200
116,42.623628,-16.921637,-0.315096,0.200
117,43.003935,-17.045600,-0.315096,0.200
118,43.283460,-17.136713,-0.275098,0.200
119,43.668420,-17.245370,-0.275098,0.200
120,44.053379,-17.354026,-0.275098,0.200
121,44.438339,-17.462682,-0.275098,0.200
122,44.823298,-17.571339,-0.275098,0.200
123,45.208258,-17.679995,-0.275098,0.200
124,45.593217,-17.788651,-0.275098,0.200
125,45.700271,-17.818868,-0.353481,0.200
126,46.075540,-17.957334,-0.353481,0.200
127,46.450809,-18.095800,-0.353481,0.200
128,46.732262,-18.199649,-0.193570,0.200
129,47.028510,-18.257721,-0.192556,0.200
130,47.322966,-18.315132,-0.192556,0.200
131,47.355577,-18.321490,-0.387166,0.200
132,47.633371,-18.434760,-0.387166,0.200
133,47.911166,-18.548030,-0.387166,0.200
134,47.934698,-18.557624,-0.273636,0.200
135,48.223536,-18.638694,-0.273636,0.200
136,48.512374,-18.719765,-0.273636,0.200
137,48.897492,-18.827858,-0.273636,0.200
138,49.282610,-18.935951,-0.273636,0.200
139,49.667728,-19.044045,-0.273636,0.200
140,50.052846,-19.152138,-0.273636,0.200
141,50.437964,-19.260232,-0.273636,0.200
142,50.726802,-19.341302,-0.273636,0.200
143,50.756660,-19.349682,-0.396596,0.200
144,51.033374,-19.465567,-0.396596,0.200
145,51.310089,-19.581451,-0.396596,0.200
146,51.679041,-19.735963,-0.396596,0.200
147,52.047994,-19.890476,-0.396596,0.200
148,52.416946,-20.044988,-0.396596,0.200
149,52.785899,-20.199500,-0.396596,0.200
150,53.154851,-20.354013,-0.396596,0.200
151,53.311381,-20.419565,-0.362571,0.200
152,53.685376,-20.561437,-0.362571,0.200
153,54.059372,-20.703309,-0.362571,0.200
154,54.433367,-20.845181,-0.362571,0.200
155,54.713863,-20.951585,-0.362571,0.200
156,54.820104,-20.991886,-0.487492,0.200
157,55.085157,-21.132410,-0.487492,0.200
158,55.273456,-21.232241,-0.361688,0.200
159,55.554047,-21.338397,-0.361688,0.200
160,55.834637,-21.444553,-0.361688,0.200
161,56.008182,-21.510210,-0.442077,0.200
162,56.369728,-21.681337,-0.442077,0.200
