id,x,y,yaw,v
0,0.007,-0.012,0.002,0.2
1,0.546,0.033,0.0646,0.2
2,0.847,-0.269,0.0375,0.2
3,1.064,0.111,0.0303,0.2
4,1.49,0.06,0.0295,0.2
5,1.961,0.074,0.0428,0.2
6,2.395,0.17,0.044,0.2
7,2.815,0.16,0.0494,0.2
8,3.272,0.207,0.0628,0.2
9,3.751,0.186,0.0548,0.2
10,4.143,0.285,0.0544,0.2
11,4.677,0.303,0.0419,0.2
12,5.14,0.345,0.0592,0.2
13,5.593,0.394,0.063,0.2
14,6.06,0.472,0.0658,0.2
15,6.518,0.501,0.0781,0.2
16,6.931,0.544,0.088,0.2
17,7.327,0.622,0.0834,0.2
18,7.769,0.636,0.0892,0.2
19,8.211,0.663,0.1074,0.2
20,8.628,0.745,0.0877,0.2
21,9.194,0.85,0.0729,0.2
22,9.809,0.995,0.114,0.2
23,10.299,0.998,0.113,0.2
24,10.732,0.988,0.0268,0.2
25,11.149,1.026,0.0342,0.2
26,11.564,0.98,0.0254,0.2
27,12.011,1.018,0.0143,0.2
28,12.434,1.054,0.0217,0.2
29,12.946,1.086,0.0281,0.2
30,13.398,1.114,0.0334,0.2
31,13.805,1.101,0.0474,0.2
32,14.319,1.128,0.0387,0.2
33,14.734,1.16,0.0548,0.2
34,15.335,1.224,0.0537,0.2
35,15.853,1.261,0.0595,0.2
36,16.294,1.273,0.067,0.2
37,16.724,1.291,0.0256,0.2
38,17.135,1.344,0.0146,0.2
39,17.563,1.364,0.0261,0.2
40,18.015,1.332,0.0227,0.2
41,18.452,1.344,0.0163,0.2
42,18.96,1.368,0.0159,0.2
43,19.504,1.375,0.0216,0.2
44,20.049,1.448,0.0193,0.2
45,20.477,1.474,0.0399,0.2
46,20.937,1.48,0.0366,0.2
47,21.444,1.51,0.0245,0.2
48,21.877,1.566,0.0351,0.2
49,22.554,1.58,0.0517,0.2
50,22.974,1.603,0.0486,0.2
51,23.435,1.621,0.0532,0.2
52,23.949,1.644,0.0499,0.2
53,24.388,1.757,0.0495,0.2
54,24.799,1.738,0.0521,0.2
55,25.229,1.749,0.0388,0.2
56,25.655,1.821,0.0458,0.2
57,26.082,1.85,0.0381,0.2
58,26.572,1.835,0.0395,0.2
59,27.031,1.897,0.0353,0.2
60,27.511,1.933,0.0251,0.2
61,27.948,1.973,0.0484,0.2
62,28.381,1.977,0.0399,0.2
63,28.869,2.036,0.0547,0.2
64,29.479,1.988,0.0584,0.2
65,29.926,2.105,0.0554,0.2
66,30.348,2.149,0.0633,0.2
67,30.934,1.997,0.043,0.2
68,32.199,2.501,0.0351,0.2
69,33.633,2.899,0.0648,0.2
70,34.242,2.871,0.0459,0.2
71,35.361,3.011,0.0767,0.2
72,35.849,3.103,0.0923,0.2
73,36.386,3.205,0.0834,0.2
74,36.808,3.296,0.0791,0.2
75,37.311,3.271,0.0682,0.2
76,38.114,3.331,0.1036,0.2
77,38.666,3.591,0.1026,0.2
78,39.221,3.64,0.0958,0.2
79,39.82,3.786,0.1114,0.2
80,40.224,3.876,0.1094,0.2
81,40.78,3.939,0.1366,0.2
82,41.286,3.987,0.131,0.2
83,41.686,4.1,0.1057,0.2
84,42.177,4.188,0.1233,0.2
85,42.614,4.247,0.1091,0.2
86,43.287,4.394,0.1197,0.2
87,43.744,4.435,0.1182,0.2
88,43.628,4.912,0.0241,0.2
89,43.877,5.235,0.0584,0.2
90,44.202,5.507,0.046,0.2
91,44.547,5.75,0.0643,0.2
92,45.003,6.038,0.008,0.2
93,45.629,6.325,0.0025,0.2
94,46.087,6.376,0.0221,0.2
95,46.543,6.412,0.0431,0.2
96,46.983,6.425,0.0197,0.2
97,47.538,6.423,0.0407,0.2
98,48.346,6.112,0.1343,0.2
99,48.732,5.904,0.1234,0.2
100,49.21,6.088,0.092,0.2
101,49.449,6.455,0.083,0.2
102,50.03,6.602,0.1028,0.2
103,50.562,6.553,0.1012,0.2
104,51.067,6.592,0.101,0.2
105,51.721,6.656,0.1136,0.2
106,52.185,6.803,0.1334,0.2
107,52.872,6.867,0.1159,0.2
108,53.317,6.896,0.1188,0.2
109,53.725,6.843,0.1324,0.2
110,54.085,7.023,0.1293,0.2
111,54.486,7.06,0.1309,0.2
112,54.936,7.188,0.1156,0.2
113,55.351,7.253,0.1276,0.2
114,55.777,7.281,0.0866,0.2
115,56.212,7.34,0.0892,0.2
116,56.659,7.345,0.0862,0.2
117,57.186,7.477,0.0846,0.2
118,57.657,7.542,0.0855,0.2
119,58.145,7.577,0.0827,0.2
120,58.63,7.627,0.0853,0.2
121,59.023,7.711,0.1078,0.2
122,59.702,7.724,0.1024,0.2
123,60.35,7.858,0.0907,0.2
124,60.788,8.025,0.1123,0.2
125,61.196,8.033,0.1184,0.2
126,61.678,8.101,0.1177,0.2
127,62.115,8.12,0.095,0.2
