id,x,y,yaw,v
0,-0.023279,0.002452,-0.001056,0.200
1,0.454073,0.020313,0.017519,0.200
2,0.872884,0.036401,0.018458,0.200
3,1.285822,0.046478,0.052834,0.200
4,1.756360,0.049855,0.041431,0.200
5,2.197220,0.087183,0.046008,0.200
6,2.641944,0.100919,0.045425,0.200
7,3.075395,0.109313,0.039864,0.200
8,3.503540,0.101309,0.039907,0.200
9,4.010780,0.156735,0.051145,0.200
10,4.489744,0.159441,0.058968,0.200
11,4.946266,0.182698,0.051045,0.200
12,5.409112,0.217534,0.049390,0.200
13,5.884171,0.218087,0.057367,0.200
14,6.375547,0.243575,0.061140,0.200
15,6.831590,0.253845,0.060562,0.200
16,7.288600,0.285675,0.058688,0.200
17,7.697140,0.299116,0.050675,0.200
18,8.176653,0.315439,0.056665,0.200
19,8.623328,0.370719,0.055857,0.200
20,9.081871,0.372572,0.055558,0.200
21,9.561830,0.395188,0.060032,0.200
22,10.048621,0.432413,0.058360,0.200
23,10.373180,0.700876,0.957998,0.200
24,10.498393,1.089145,1.154200,0.200
25,10.673546,1.495288,1.124478,0.200
26,10.850050,1.893492,1.111401,0.200
27,11.297326,1.945535,0.086901,0.200
28,11.786973,1.945649,0.045613,0.200
29,12.224244,1.958735,0.033658,0.200
30,12.630467,1.989778,0.086652,0.200
31,13.120044,2.003331,0.092229,0.200
32,13.515846,2.066085,0.085785,0.200
33,13.954442,2.093639,0.088848,0.200
34,14.410272,2.123344,0.084218,0.200
35,14.844846,2.153142,0.070541,0.200
36,15.257334,2.186211,0.060376,0.200
37,15.676794,2.215467,0.054582,0.200
38,16.083459,2.261150,0.072762,0.200
39,16.500628,2.270800,0.083359,0.200
40,16.983361,2.314450,0.086649,0.200
41,17.391275,2.348199,0.090724,0.200
42,17.820632,2.370830,0.089466,0.200
43,18.299496,2.423560,0.089000,0.200
44,18.793216,2.455939,0.089261,0.200
45,19.221282,2.485455,0.081059,0.200
46,19.631681,2.538391,0.074194,0.200
47,20.085355,2.562358,0.078015,0.200
48,20.526599,2.617165,0.078800,0.200
49,20.951024,2.642172,0.068794,0.200
50,21.428449,2.677053,0.082877,0.200
51,21.901344,2.719392,0.079360,0.200
52,22.363035,2.763795,0.070539,0.200
53,22.803179,2.807698,0.089756,0.200
54,23.241598,2.851002,0.093466,0.200
55,23.709482,2.921802,0.098545,0.200
56,24.160729,2.960906,0.103871,0.200
57,24.559510,3.048821,0.364303,0.200
58,24.954585,3.199879,0.410338,0.200
59,25.358831,3.353024,0.282623,0.200
60,25.802080,3.459361,0.290089,0.200
61,26.244183,3.602561,0.293901,0.200
62,26.622977,3.761707,0.284594,0.200
63,27.059410,3.867430,0.290687,0.200
64,27.510998,4.031374,0.290132,0.200
65,27.940104,4.153198,0.295244,0.200
66,28.389357,4.297905,0.291778,0.200
67,28.848968,4.356743,0.100369,0.200
68,29.285309,4.369614,-0.001401,0.200
69,29.730935,4.382980,0.001203,0.200
70,30.136700,4.364982,0.013318,0.200
71,30.605440,4.360029,0.013519,0.200
72,31.029464,4.369030,0.019072,0.200
73,31.465487,4.357665,0.006119,0.200
74,31.889836,4.349903,0.001642,0.200
75,32.322213,4.372075,0.002520,0.200
76,32.761283,4.367330,-0.004905,0.200
77,33.216154,4.344961,0.001149,0.200
78,33.667992,4.361765,0.017638,0.200
79,34.088834,4.375793,0.019307,0.200
80,34.574119,4.375712,0.026020,0.200
81,35.023121,4.351610,0.030062,0.200
82,35.533673,4.408913,0.038230,0.200
83,35.993884,4.411199,0.028486,0.200
84,36.460028,4.400080,0.024527,0.200
85,36.939158,4.407302,0.007826,0.200
86,37.412618,4.426460,0.007149,0.200
87,37.895573,4.428485,0.009687,0.200
88,38.361442,4.439626,0.001490,0.200
89,38.830717,4.430455,0.004203,0.200
90,39.320533,4.443687,0.011453,0.200
91,39.804503,4.440804,0.008606,0.200
92,40.258997,4.454484,0.017740,0.200
93,40.749747,4.448586,0.017731,0.200
94,41.214537,4.450619,0.020353,0.200
95,41.674868,4.429569,0.029153,0.200
96,42.154664,4.457666,0.031812,0.200
97,42.630529,4.450548,0.036734,0.200
98,43.105399,4.458333,0.039309,0.200
99,43.599610,4.484093,0.034976,0.200
100,44.067417,4.485313,0.025980,0.200
101,44.523718,4.493458,0.024642,0.200
102,44.965865,4.504654,0.022080,0.200
103,45.458870,4.514423,0.026935,0.200
