[rosmaster.main][INFO] 1970-01-01 12:32:19,896: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 1970-01-01 12:32:19,896: Starting ROS Master Node
[xmlrpc][INFO] 1970-01-01 12:32:19,897: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 1970-01-01 12:32:19,898: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 1970-01-01 12:32:19,898: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 1970-01-01 12:32:19,898: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 1970-01-01 12:32:20,004: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:32:20,006: +PARAM [/roslaunch/uris/host_ubuntu__43815] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:32:20,127: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:32:20,128: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:32:20,178: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:38801/
[rosmaster.master][INFO] 1970-01-01 12:32:20,179: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:38801/
[rosmaster.master][INFO] 1970-01-01 12:32:20,181: +PUB [/rosout_agg] /rosout http://ubuntu:38801/
[rosmaster.master][INFO] 1970-01-01 12:32:20,186: +SUB [/rosout] /rosout http://ubuntu:38801/
[rosmaster.master][INFO] 1970-01-01 12:33:06,805: +PARAM [/roslaunch/uris/host_ubuntu__34865] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,813: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,813: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,813: +PARAM [/camera/realsense2_camera/serial_no] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,813: +PARAM [/camera/realsense2_camera/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,813: +PARAM [/camera/realsense2_camera/device_type] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,813: +PARAM [/camera/realsense2_camera/json_file_path] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,813: +PARAM [/camera/realsense2_camera/rosbag_filename] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,813: +PARAM [/camera/realsense2_camera/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,814: +PARAM [/camera/realsense2_camera/pointcloud_texture_stream] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 12:33:06,814: +PARAM [/camera/realsense2_camera/pointcloud_texture_index] by /roslaunch
