[rosmaster.main][INFO] 2023-11-01 20:44:35,426: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2023-11-01 20:44:35,426: Starting ROS Master Node
[xmlrpc][INFO] 2023-11-01 20:44:35,427: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2023-11-01 20:44:35,428: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 2023-11-01 20:44:35,428: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 2023-11-01 20:44:35,428: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2023-11-01 20:44:35,536: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:35,537: +PARAM [/roslaunch/uris/host_ubuntu__36269] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:35,660: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:35,661: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:35,706: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:42563/
[rosmaster.master][INFO] 2023-11-01 20:44:35,706: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:42563/
[rosmaster.master][INFO] 2023-11-01 20:44:35,707: +PUB [/rosout_agg] /rosout http://ubuntu:42563/
[rosmaster.master][INFO] 2023-11-01 20:44:35,710: +SUB [/rosout] /rosout http://ubuntu:42563/
[rosmaster.master][INFO] 2023-11-01 20:44:52,660: +PARAM [/roslaunch/uris/host_ubuntu__37689] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,668: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,668: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,668: +PARAM [/camera/realsense2_camera/serial_no] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,668: +PARAM [/camera/realsense2_camera/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,669: +PARAM [/camera/realsense2_camera/device_type] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,669: +PARAM [/camera/realsense2_camera/json_file_path] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,669: +PARAM [/camera/realsense2_camera/rosbag_filename] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,669: +PARAM [/camera/realsense2_camera/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,669: +PARAM [/camera/realsense2_camera/pointcloud_texture_stream] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,669: +PARAM [/camera/realsense2_camera/pointcloud_texture_index] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,669: +PARAM [/camera/realsense2_camera/allow_no_texture_points] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,670: +PARAM [/camera/realsense2_camera/ordered_pc] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,670: +PARAM [/camera/realsense2_camera/enable_sync] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,670: +PARAM [/camera/realsense2_camera/align_depth] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,670: +PARAM [/camera/realsense2_camera/fisheye_width] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,670: +PARAM [/camera/realsense2_camera/fisheye_height] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,670: +PARAM [/camera/realsense2_camera/enable_fisheye] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,670: +PARAM [/camera/realsense2_camera/enable_fisheye1] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,670: +PARAM [/camera/realsense2_camera/enable_fisheye2] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,671: +PARAM [/camera/realsense2_camera/depth_width] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,671: +PARAM [/camera/realsense2_camera/depth_height] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,671: +PARAM [/camera/realsense2_camera/enable_depth] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,671: +PARAM [/camera/realsense2_camera/confidence_width] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,671: +PARAM [/camera/realsense2_camera/confidence_height] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,671: +PARAM [/camera/realsense2_camera/enable_confidence] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,672: +PARAM [/camera/realsense2_camera/confidence_fps] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,672: +PARAM [/camera/realsense2_camera/color_width] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,672: +PARAM [/camera/realsense2_camera/color_height] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,672: +PARAM [/camera/realsense2_camera/enable_color] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,672: +PARAM [/camera/realsense2_camera/infra_width] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,672: +PARAM [/camera/realsense2_camera/infra_height] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,672: +PARAM [/camera/realsense2_camera/enable_infra] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,672: +PARAM [/camera/realsense2_camera/enable_infra1] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,673: +PARAM [/camera/realsense2_camera/enable_infra2] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,673: +PARAM [/camera/realsense2_camera/infra_rgb] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,673: +PARAM [/camera/realsense2_camera/fisheye_fps] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,673: +PARAM [/camera/realsense2_camera/depth_fps] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,673: +PARAM [/camera/realsense2_camera/infra_fps] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,673: +PARAM [/camera/realsense2_camera/color_fps] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,674: +PARAM [/camera/realsense2_camera/gyro_fps] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,674: +PARAM [/camera/realsense2_camera/accel_fps] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,674: +PARAM [/camera/realsense2_camera/enable_gyro] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,674: +PARAM [/camera/realsense2_camera/enable_accel] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,674: +PARAM [/camera/realsense2_camera/enable_pose] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,674: +PARAM [/camera/realsense2_camera/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,674: +PARAM [/camera/realsense2_camera/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,674: +PARAM [/camera/realsense2_camera/infra1_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,675: +PARAM [/camera/realsense2_camera/infra2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,675: +PARAM [/camera/realsense2_camera/color_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,675: +PARAM [/camera/realsense2_camera/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,675: +PARAM [/camera/realsense2_camera/fisheye1_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,675: +PARAM [/camera/realsense2_camera/fisheye2_frame_id] by /roslaunch
[rosmaster.master][INFO] 2023-11-01 20:44:52,675: +PARAM [/camera/realsense2_camera/accel_frame_id] by /roslaunch
