[rosmaster.main][INFO] 1970-01-01 13:25:04,273: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 1970-01-01 13:25:04,273: Starting ROS Master Node
[xmlrpc][INFO] 1970-01-01 13:25:04,274: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 1970-01-01 13:25:04,275: Started XML-RPC server [http://ubuntu:11311/]
[rosmaster.master][INFO] 1970-01-01 13:25:04,275: Master initialized: port[11311], uri[http://ubuntu:11311/]
[xmlrpc][INFO] 1970-01-01 13:25:04,275: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 1970-01-01 13:25:04,387: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:04,389: +PARAM [/roslaunch/uris/host_ubuntu__39149] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:04,498: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:04,498: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:04,527: +SERVICE [/rosout/get_loggers] /rosout http://ubuntu:34541/
[rosmaster.master][INFO] 1970-01-01 13:25:04,528: +SERVICE [/rosout/set_logger_level] /rosout http://ubuntu:34541/
[rosmaster.master][INFO] 1970-01-01 13:25:04,530: +PUB [/rosout_agg] /rosout http://ubuntu:34541/
[rosmaster.master][INFO] 1970-01-01 13:25:04,534: +SUB [/rosout] /rosout http://ubuntu:34541/
[rosmaster.master][INFO] 1970-01-01 13:25:30,388: +PARAM [/roslaunch/uris/host_ubuntu__45097] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,395: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,396: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,396: +PARAM [/camera/realsense2_camera/serial_no] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,396: +PARAM [/camera/realsense2_camera/usb_port_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,396: +PARAM [/camera/realsense2_camera/device_type] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,396: +PARAM [/camera/realsense2_camera/json_file_path] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,396: +PARAM [/camera/realsense2_camera/rosbag_filename] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,396: +PARAM [/camera/realsense2_camera/enable_pointcloud] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,396: +PARAM [/camera/realsense2_camera/pointcloud_texture_stream] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/pointcloud_texture_index] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/allow_no_texture_points] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/ordered_pc] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/enable_sync] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/align_depth] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/fisheye_width] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/fisheye_height] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/enable_fisheye] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/enable_fisheye1] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/enable_fisheye2] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/depth_width] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,397: +PARAM [/camera/realsense2_camera/depth_height] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/enable_depth] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/confidence_width] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/confidence_height] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/enable_confidence] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/confidence_fps] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/color_width] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/color_height] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/enable_color] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/infra_width] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/infra_height] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/enable_infra] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,398: +PARAM [/camera/realsense2_camera/enable_infra1] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/enable_infra2] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/infra_rgb] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/fisheye_fps] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/depth_fps] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/infra_fps] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/color_fps] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/gyro_fps] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/accel_fps] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/enable_gyro] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/enable_accel] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/enable_pose] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,399: +PARAM [/camera/realsense2_camera/base_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/depth_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/infra1_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/infra2_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/color_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/fisheye1_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/fisheye2_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/accel_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/gyro_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/pose_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/depth_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,400: +PARAM [/camera/realsense2_camera/infra1_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/infra2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/color_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/fisheye_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/fisheye1_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/fisheye2_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/accel_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/gyro_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/imu_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/pose_optical_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/aligned_depth_to_color_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/aligned_depth_to_infra1_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,401: +PARAM [/camera/realsense2_camera/aligned_depth_to_infra2_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/aligned_depth_to_fisheye_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/aligned_depth_to_fisheye1_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/aligned_depth_to_fisheye2_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/publish_tf] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/tf_publish_rate] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/odom_frame_id] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/topic_odom_in] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/calib_odom_file] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/publish_odom_tf] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/stereo_module/exposure/1] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/stereo_module/gain/1] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,402: +PARAM [/camera/realsense2_camera/stereo_module/exposure/2] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,403: +PARAM [/camera/realsense2_camera/stereo_module/gain/2] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,403: +PARAM [/camera/realsense2_camera/filters] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,403: +PARAM [/camera/realsense2_camera/clip_distance] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,403: +PARAM [/camera/realsense2_camera/linear_accel_cov] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,403: +PARAM [/camera/realsense2_camera/initial_reset] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,403: +PARAM [/camera/realsense2_camera/reconnect_timeout] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,403: +PARAM [/camera/realsense2_camera/wait_for_device_timeout] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,403: +PARAM [/camera/realsense2_camera/unite_imu_method] by /roslaunch
[rosmaster.master][INFO] 1970-01-01 13:25:30,486: +PUB [/rosout] /camera/realsense2_camera http://ubuntu:38995/
[rosmaster.master][INFO] 1970-01-01 13:25:30,487: +SERVICE [/camera/realsense2_camera/get_loggers] /camera/realsense2_camera http://ubuntu:38995/
[rosmaster.master][INFO] 1970-01-01 13:25:30,488: +SERVICE [/camera/realsense2_camera/set_logger_level] /camera/realsense2_camera http://ubuntu:38995/
[rosmaster.master][INFO] 1970-01-01 13:25:30,489: +CACHEDPARAM [/rosout_disable_topics_generation] by /camera/realsense2_camera
[rosmaster.master][INFO] 1970-01-01 13:25:30,492: +PARAM [/camera/realsense2_camera] by /camera/realsense2_camera
[rosmaster.master][INFO] 1970-01-01 13:25:30,504: +PUB [/rosout] /camera/realsense2_camera_manager http://ubuntu:44025/
[rosmaster.master][INFO] 1970-01-01 13:25:30,504: +SERVICE [/camera/realsense2_camera_manager/get_loggers] /camera/realsense2_camera_manager http://ubuntu:44025/
[rosmaster.master][INFO] 1970-01-01 13:25:30,505: +SERVICE [/camera/realsense2_camera_manager/set_logger_level] /camera/realsense2_camera_manager http://ubuntu:44025/
[rosmaster.master][INFO] 1970-01-01 13:25:30,507: +CACHEDPARAM [/rosout_disable_topics_generation] by /camera/realsense2_camera_manager
[rosmaster.master][INFO] 1970-01-01 13:25:30,508: +SERVICE [/camera/realsense2_camera_manager/load_nodelet] /camera/realsense2_camera_manager http://ubuntu:44025/
[rosmaster.master][INFO] 1970-01-01 13:25:30,508: +SERVICE [/camera/realsense2_camera_manager/unload_nodelet] /camera/realsense2_camera_manager http://ubuntu:44025/
