[INFO] [1783596786.551919407] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1783596786.566037932] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1783596787.099956925] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=3, nearest_x=0.43, clear_frames=2
[WARN] [1783596787.649169171] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=3, nearest_x=0.40, clear_frames=6
[WARN] [1783596788.149305235] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=3, nearest_x=0.43, clear_frames=8
[WARN] [1783596788.649760292] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=2, nearest_x=0.42, clear_frames=10
[WARN] [1783596789.150164631] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=1, nearest_x=0.46, clear_frames=11
[WARN] [1783596789.700723693] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=5, nearest_x=0.41, clear_frames=15
[WARN] [1783596790.249399069] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=2, nearest_x=0.42, clear_frames=17
[WARN] [1783596790.750326839] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=1, nearest_x=0.45, clear_frames=19
[WARN] [1783596791.299369525] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=1, nearest_x=0.42, clear_frames=21
[WARN] [1783596791.799890722] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=23
[WARN] [1783596792.349397994] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=2, nearest_x=0.43, clear_frames=25
[WARN] [1783596792.849852507] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=2, nearest_x=0.43, clear_frames=27
[WARN] [1783596793.399657461] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=1, nearest_x=0.44, clear_frames=30
[WARN] [1783596793.949300982] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=4, nearest_x=0.41, clear_frames=34
[WARN] [1783596794.499712147] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=2, nearest_x=0.45, clear_frames=40
[WARN] [1783596795.049112833] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=46
[WARN] [1783596795.549494165] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=2, nearest_x=0.42, clear_frames=50
[WARN] [1783596796.049725136] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=1, nearest_x=0.43, clear_frames=55
[WARN] [1783596796.604442719] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=3, nearest_x=0.43, clear_frames=60
[WARN] [1783596797.150688963] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=2, nearest_x=0.43, clear_frames=65
[WARN] [1783596797.653277390] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=71
[WARN] [1783596798.199363449] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=74
[INFO] [1783596798.749130581] [unitree_safe_cmd_node]: Move x=0.000, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=76
[INFO] [1783596799.302471782] [unitree_safe_cmd_node]: Move x=0.200, z=0.174, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=80
[INFO] [1783596799.849758168] [unitree_safe_cmd_node]: Move x=0.200, z=0.168, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=82
[INFO] [1783596800.398998349] [unitree_safe_cmd_node]: Move x=0.200, z=0.159, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=84
[INFO] [1783596800.899715665] [unitree_safe_cmd_node]: Move x=0.200, z=0.143, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=86
[INFO] [1783596801.449049473] [unitree_safe_cmd_node]: Move x=0.200, z=0.150, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=89
[INFO] [1783596801.949306747] [unitree_safe_cmd_node]: Move x=0.200, z=0.162, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=91
[INFO] [1783596802.499099126] [unitree_safe_cmd_node]: Move x=0.200, z=0.167, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=93
[INFO] [1783596803.000095245] [unitree_safe_cmd_node]: Move x=0.200, z=0.143, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=95
[INFO] [1783596803.549470555] [unitree_safe_cmd_node]: Move x=0.200, z=-0.174, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=100
[INFO] [1783596804.099218392] [unitree_safe_cmd_node]: Move x=0.200, z=-0.213, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=103
[INFO] [1783596804.649253478] [unitree_safe_cmd_node]: Move x=0.200, z=-0.288, stop_count=0, roi_count=1, nearest_x=0.50, clear_frames=105
[INFO] [1783596805.199003811] [unitree_safe_cmd_node]: Move x=0.200, z=-0.414, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=108
[INFO] [1783596805.710473861] [unitree_safe_cmd_node]: Move x=0.100, z=-0.450, stop_count=1, roi_count=13, nearest_x=0.39, clear_frames=111
[INFO] [1783596806.249021145] [unitree_safe_cmd_node]: Move x=0.100, z=-0.450, stop_count=0, roi_count=2, nearest_x=0.45, clear_frames=113
[INFO] [1783596806.749386606] [unitree_safe_cmd_node]: Move x=0.100, z=-0.450, stop_count=2, roi_count=18, nearest_x=0.38, clear_frames=116
[INFO] [1783596807.304020737] [unitree_safe_cmd_node]: Move x=0.100, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=123
[INFO] [1783596807.851481451] [unitree_safe_cmd_node]: Move x=0.200, z=-0.136, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=128
[INFO] [1783596808.399327938] [unitree_safe_cmd_node]: Move x=0.200, z=0.288, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=135
[INFO] [1783596808.949321331] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=140
[INFO] [1783596809.515094610] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=147
[INFO] [1783596810.049363730] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=152
[INFO] [1783596810.607355557] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=157
[INFO] [1783596811.149129215] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=163
[INFO] [1783596811.649185506] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=168
[INFO] [1783596812.149480378] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=172
[INFO] [1783596812.699195737] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=177
[INFO] [1783596813.199251580] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=181
[INFO] [1783596813.750215583] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=187
[INFO] [1783596814.303736327] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=193
[INFO] [1783596814.849620796] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=198
[INFO] [1783596815.350428028] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=203
[INFO] [1783596815.922147806] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=208
[INFO] [1783596816.449801659] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=214
[INFO] [1783596816.999356705] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=219
[INFO] [1783596817.551815932] [unitree_safe_cmd_node]: Move x=0.100, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=225
[INFO] [1783596818.099237000] [unitree_safe_cmd_node]: Move x=0.100, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=232
