[INFO] [1782635779.295660269] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1782635779.305089107] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1782635779.832022594] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[WARN] [1782635780.333403645] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[WARN] [1782635780.832610177] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[WARN] [1782635781.382371334] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[WARN] [1782635781.884558057] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[WARN] [1782635782.432437626] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[WARN] [1782635782.933006668] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[WARN] [1782635783.482655600] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[WARN] [1782635784.032638935] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=20
[WARN] [1782635784.532665219] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[WARN] [1782635785.084065498] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=27
[WARN] [1782635785.633036886] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=30
[WARN] [1782635786.182091411] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=34
[WARN] [1782635786.682106399] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=37
[WARN] [1782635787.183379865] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=42
[WARN] [1782635787.683651689] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=47
[WARN] [1782635788.232359586] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=50
[WARN] [1782635788.782565515] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=52
[INFO] [1782635789.282590840] [unitree_safe_cmd_node]: Move x=0.000, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=54
[INFO] [1782635789.832350812] [unitree_safe_cmd_node]: Move x=0.500, z=0.039, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=58
[INFO] [1782635790.382357444] [unitree_safe_cmd_node]: Move x=0.500, z=0.040, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=60
[INFO] [1782635790.933358326] [unitree_safe_cmd_node]: Move x=0.500, z=0.040, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=62
[INFO] [1782635791.482617429] [unitree_safe_cmd_node]: Move x=0.500, z=0.036, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=64
[INFO] [1782635792.032106998] [unitree_safe_cmd_node]: Move x=0.500, z=0.038, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=67
[INFO] [1782635792.532252964] [unitree_safe_cmd_node]: Move x=0.500, z=0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=69
[INFO] [1782635793.033019545] [unitree_safe_cmd_node]: Move x=0.500, z=0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=73
[INFO] [1782635793.582771837] [unitree_safe_cmd_node]: Move x=0.500, z=0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=76
[INFO] [1782635794.132471969] [unitree_safe_cmd_node]: Move x=0.500, z=0.035, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=79
[INFO] [1782635794.632623375] [unitree_safe_cmd_node]: Move x=0.500, z=0.035, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=82
[INFO] [1782635795.183106523] [unitree_safe_cmd_node]: Move x=0.500, z=0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=86
[INFO] [1782635795.733573928] [unitree_safe_cmd_node]: Move x=0.500, z=0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=89
[INFO] [1782635796.281894685] [unitree_safe_cmd_node]: Move x=0.500, z=0.042, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=92
[INFO] [1782635796.831974628] [unitree_safe_cmd_node]: Move x=0.500, z=0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=97
[INFO] [1782635797.332388437] [unitree_safe_cmd_node]: Move x=0.500, z=0.037, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=102
[INFO] [1782635797.832504579] [unitree_safe_cmd_node]: Move x=0.500, z=0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=107
[INFO] [1782635798.336149526] [unitree_safe_cmd_node]: Move x=0.500, z=0.041, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=113
[INFO] [1782635798.884465099] [unitree_safe_cmd_node]: Move x=0.500, z=0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=118
[INFO] [1782635799.431995800] [unitree_safe_cmd_node]: Move x=0.500, z=0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=124
[INFO] [1782635799.932798541] [unitree_safe_cmd_node]: Move x=0.500, z=0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=129
[INFO] [1782635800.482387375] [unitree_safe_cmd_node]: Move x=0.500, z=0.042, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=134
[INFO] [1782635801.031996946] [unitree_safe_cmd_node]: Move x=0.500, z=0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=140
[INFO] [1782635801.531993598] [unitree_safe_cmd_node]: Move x=0.500, z=0.038, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=145
[INFO] [1782635802.032098348] [unitree_safe_cmd_node]: Move x=0.500, z=-0.012, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=150
[INFO] [1782635802.532290490] [unitree_safe_cmd_node]: Move x=0.500, z=-0.012, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=155
[INFO] [1782635803.083648464] [unitree_safe_cmd_node]: Move x=0.500, z=-0.027, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=160
[INFO] [1782635803.632005893] [unitree_safe_cmd_node]: Move x=0.500, z=-0.105, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=166
[INFO] [1782635804.132073714] [unitree_safe_cmd_node]: Move x=0.500, z=-0.097, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=171
[INFO] [1782635804.681923831] [unitree_safe_cmd_node]: Move x=0.500, z=-0.136, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=177
[INFO] [1782635805.183120784] [unitree_safe_cmd_node]: Move x=0.500, z=-0.128, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=181
[INFO] [1782635805.682771097] [unitree_safe_cmd_node]: Move x=0.500, z=-0.116, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=187
[INFO] [1782635806.232003960] [unitree_safe_cmd_node]: Move x=0.500, z=-0.018, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=192
[INFO] [1782635806.736552085] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=197
[INFO] [1782635807.282191149] [unitree_safe_cmd_node]: Move x=0.500, z=0.159, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=203
[INFO] [1782635807.785428892] [unitree_safe_cmd_node]: Move x=0.500, z=0.238, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=209
[INFO] [1782635808.333329548] [unitree_safe_cmd_node]: Move x=0.500, z=0.288, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=214
[INFO] [1782635808.888222856] [unitree_safe_cmd_node]: Move x=0.500, z=0.246, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=220
[INFO] [1782635809.432057325] [unitree_safe_cmd_node]: Move x=0.500, z=0.110, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=226
[INFO] [1782635809.932447645] [unitree_safe_cmd_node]: Move x=0.500, z=-0.009, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=231
[INFO] [1782635810.482356899] [unitree_safe_cmd_node]: Move x=0.500, z=-0.206, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=237
[INFO] [1782635810.982612946] [unitree_safe_cmd_node]: Move x=0.500, z=-0.398, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=242
