[INFO] [1782635789.220790782] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1782635789.228773908] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/route_test_0517.csv
[INFO] [1782635789.229414587] [waypoint_follower]: route points: 1329
[INFO] [1782635789.230013313] [waypoint_follower]: loop_mode: pingpong
[INFO] [1782635789.230627400] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1782635789.237740789] [waypoint_follower]: reach_distance: 0.4
[INFO] [1782635789.246007214] [waypoint_follower]: init nearest_index=0, distance_to_start=0.025
[INFO] [1782635789.289248928] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1782635790.302174596] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.04, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1782635791.303640812] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.04, vx=0.50, yaw_rate=0.04, dir=1
[WARN] [1782635792.253169573] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [1782635792.304556782] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1782635793.352548620] [waypoint_follower]: nearest=0, target=2, dist=0.87, alpha=0.05, vx=0.50, yaw_rate=0.05, dir=1
[INFO] [1782635794.402781346] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[WARN] [1782635795.303002023] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [1782635795.404524269] [waypoint_follower]: nearest=0, target=2, dist=0.87, alpha=0.06, vx=0.50, yaw_rate=0.05, dir=1
[INFO] [1782635796.455139207] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1782635797.502372669] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[WARN] [1782635798.302973425] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [1782635798.552222799] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1782635799.552550091] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.04, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1782635800.552488611] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.04, vx=0.50, yaw_rate=0.04, dir=1
[WARN] [1782635801.353204920] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [1782635801.602613303] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=0.04, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1782635802.652375400] [waypoint_follower]: nearest=1, target=3, dist=0.81, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1782635803.652751204] [waypoint_follower]: nearest=2, target=4, dist=0.77, alpha=-0.12, vx=0.50, yaw_rate=-0.11, dir=1
[INFO] [1782635804.703195549] [waypoint_follower]: nearest=3, target=5, dist=0.68, alpha=-0.17, vx=0.50, yaw_rate=-0.15, dir=1
[INFO] [1782635805.703124468] [waypoint_follower]: nearest=5, target=7, dist=1.08, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1782635806.752445440] [waypoint_follower]: nearest=6, target=8, dist=1.00, alpha=0.10, vx=0.50, yaw_rate=0.09, dir=1
[INFO] [1782635807.752481593] [waypoint_follower]: nearest=7, target=9, dist=0.96, alpha=0.26, vx=0.50, yaw_rate=0.24, dir=1
[INFO] [1782635808.802593421] [waypoint_follower]: nearest=8, target=10, dist=0.87, alpha=0.27, vx=0.50, yaw_rate=0.24, dir=1
[INFO] [1782635809.852242429] [waypoint_follower]: nearest=9, target=11, dist=0.71, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782635810.852335894] [waypoint_follower]: nearest=10, target=12, dist=0.73, alpha=-0.40, vx=0.50, yaw_rate=-0.36, dir=1
[INFO] [1782635811.902957456] [waypoint_follower]: nearest=12, target=14, dist=1.12, alpha=-0.43, vx=0.50, yaw_rate=-0.38, dir=1
[INFO] [1782635812.902787814] [waypoint_follower]: nearest=13, target=15, dist=1.04, alpha=-0.17, vx=0.50, yaw_rate=-0.15, dir=1
[INFO] [1782635813.910507474] [waypoint_follower]: nearest=13, target=15, dist=0.67, alpha=0.21, vx=0.50, yaw_rate=0.19, dir=1
[INFO] [1782635814.952434734] [waypoint_follower]: nearest=15, target=17, dist=0.94, alpha=0.21, vx=0.50, yaw_rate=0.19, dir=1
[INFO] [1782635815.952518919] [waypoint_follower]: nearest=16, target=18, dist=0.89, alpha=-0.08, vx=0.50, yaw_rate=-0.07, dir=1
[INFO] [1782635817.002492538] [waypoint_follower]: nearest=17, target=19, dist=0.82, alpha=-0.42, vx=0.50, yaw_rate=-0.37, dir=1
[INFO] [1782635818.002534099] [waypoint_follower]: nearest=18, target=20, dist=0.73, alpha=-0.36, vx=0.50, yaw_rate=-0.32, dir=1
[INFO] [1782635819.003408372] [waypoint_follower]: nearest=19, target=21, dist=0.68, alpha=0.18, vx=0.50, yaw_rate=0.16, dir=1
[INFO] [1782635820.052929090] [waypoint_follower]: nearest=21, target=23, dist=1.06, alpha=0.34, vx=0.50, yaw_rate=0.31, dir=1
[INFO] [1782635821.102233646] [waypoint_follower]: nearest=22, target=24, dist=1.01, alpha=0.08, vx=0.50, yaw_rate=0.07, dir=1
[INFO] [1782635822.102470728] [waypoint_follower]: nearest=23, target=25, dist=1.01, alpha=-0.18, vx=0.50, yaw_rate=-0.16, dir=1
[INFO] [1782635823.152153368] [waypoint_follower]: nearest=24, target=26, dist=0.87, alpha=-0.14, vx=0.50, yaw_rate=-0.12, dir=1
[INFO] [1782635824.152552948] [waypoint_follower]: nearest=25, target=27, dist=0.80, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1782635825.202603336] [waypoint_follower]: nearest=26, target=28, dist=0.69, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1782635826.252529978] [waypoint_follower]: nearest=28, target=30, dist=1.06, alpha=0.03, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1782635827.302249194] [waypoint_follower]: nearest=29, target=31, dist=0.90, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782635828.302549477] [waypoint_follower]: nearest=30, target=32, dist=0.84, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1782635829.352582425] [waypoint_follower]: nearest=31, target=33, dist=0.76, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1782635830.402210919] [waypoint_follower]: nearest=32, target=34, dist=0.68, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782635831.402292768] [waypoint_follower]: nearest=33, target=35, dist=0.65, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1782635832.402466746] [waypoint_follower]: nearest=35, target=37, dist=1.05, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1782635833.455176010] [waypoint_follower]: nearest=36, target=38, dist=0.98, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1782635834.503033990] [waypoint_follower]: nearest=37, target=39, dist=0.95, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1782635835.552304081] [waypoint_follower]: nearest=38, target=40, dist=0.83, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782635836.552355754] [waypoint_follower]: nearest=39, target=41, dist=0.80, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1782635837.553288972] [waypoint_follower]: nearest=40, target=42, dist=0.77, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782635838.602265140] [waypoint_follower]: nearest=41, target=43, dist=0.77, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782635839.652286023] [waypoint_follower]: nearest=43, target=45, dist=1.05, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1782635840.652436544] [waypoint_follower]: nearest=43, target=45, dist=0.65, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1782635841.652496217] [waypoint_follower]: nearest=45, target=47, dist=1.02, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1782635842.702188008] [waypoint_follower]: nearest=46, target=48, dist=0.92, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1782635843.702201184] [waypoint_follower]: nearest=47, target=49, dist=0.89, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782635844.702235000] [waypoint_follower]: nearest=48, target=50, dist=0.91, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782635845.702261937] [waypoint_follower]: nearest=49, target=51, dist=0.83, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1782635846.752170210] [waypoint_follower]: nearest=50, target=52, dist=0.72, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1782635847.752531966] [waypoint_follower]: nearest=51, target=53, dist=0.70, alpha=-0.02, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782635848.802238958] [waypoint_follower]: nearest=53, target=55, dist=1.07, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
