[INFO] [1784459021.245059136] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[INFO] [1784459021.245890752] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784459021.255564928] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784459021.794498528] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [1784459022.294864384] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=1, nearest_x=1.48, clear_frames=4
[WARN] [1784459022.845408832] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=1, nearest_x=1.50, clear_frames=6
[WARN] [1784459023.394551456] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[INFO] [1784459023.944094304] [unitree_safe_cmd_node]: Move x=0.110, z=-0.075, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[INFO] [1784459024.444222816] [unitree_safe_cmd_node]: Move x=0.411, z=-0.076, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[INFO] [1784459024.944283776] [unitree_safe_cmd_node]: Move x=0.500, z=-0.075, stop_count=0, roi_count=2, nearest_x=1.49, clear_frames=10
[INFO] [1784459025.494130432] [unitree_safe_cmd_node]: Move x=0.500, z=-0.074, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=13
[INFO] [1784459026.044004224] [unitree_safe_cmd_node]: Move x=0.500, z=-0.074, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[INFO] [1784459026.544253856] [unitree_safe_cmd_node]: Move x=0.500, z=-0.076, stop_count=0, roi_count=2, nearest_x=1.49, clear_frames=15
[INFO] [1784459027.095129344] [unitree_safe_cmd_node]: Move x=0.500, z=-0.076, stop_count=0, roi_count=2, nearest_x=1.49, clear_frames=15
[INFO] [1784459027.644082080] [unitree_safe_cmd_node]: Move x=0.500, z=-0.077, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[INFO] [1784459028.144119936] [unitree_safe_cmd_node]: Move x=0.500, z=-0.077, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[INFO] [1784459028.648859616] [unitree_safe_cmd_node]: Move x=0.500, z=-0.078, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=17
[INFO] [1784459029.145361088] [unitree_safe_cmd_node]: Move x=0.500, z=-0.077, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[INFO] [1784459029.694404512] [unitree_safe_cmd_node]: Move x=0.500, z=-0.077, stop_count=0, roi_count=1, nearest_x=1.50, clear_frames=20
[INFO] [1784459030.244126112] [unitree_safe_cmd_node]: Move x=0.500, z=-0.073, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=22
[INFO] [1784459030.744389792] [unitree_safe_cmd_node]: Move x=0.500, z=-0.074, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[INFO] [1784459031.294080672] [unitree_safe_cmd_node]: Move x=0.500, z=0.007, stop_count=0, roi_count=11, nearest_x=1.35, clear_frames=29
[INFO] [1784459031.794615776] [unitree_safe_cmd_node]: Move x=0.000, z=0.000, stop_count=0, roi_count=8, nearest_x=1.41, clear_frames=34
