[INFO] [0001189120.705248000] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [0001189120.710863232] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [0001189121.245208384] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [0001189121.747750624] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[WARN] [0001189122.245450080] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[WARN] [0001189122.750548864] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[WARN] [0001189123.296190208] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[WARN] [0001189123.845470816] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[WARN] [0001189124.399858240] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[WARN] [0001189124.895430848] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=23
[WARN] [0001189125.448001728] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=25
[WARN] [0001189125.946157536] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=28
[WARN] [0001189126.495591904] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=30
[WARN] [0001189127.048125792] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=33
[WARN] [0001189127.598614336] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=35
[WARN] [0001189128.148930112] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=37
[WARN] [0001189128.646501440] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=41
[WARN] [0001189129.204075840] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=48
[WARN] [0001189129.745242912] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=50
[INFO] [0001189130.294856160] [unitree_safe_cmd_node]: Move x=0.250, z=-0.162, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=52
[INFO] [0001189130.795109216] [unitree_safe_cmd_node]: Move x=0.250, z=-0.161, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=54
[INFO] [0001189131.295423232] [unitree_safe_cmd_node]: Move x=0.250, z=-0.160, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=56
[INFO] [0001189131.795406752] [unitree_safe_cmd_node]: Move x=0.250, z=-0.160, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=58
[INFO] [0001189132.345068192] [unitree_safe_cmd_node]: Move x=0.250, z=-0.157, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=61
[INFO] [0001189132.845036064] [unitree_safe_cmd_node]: Move x=0.250, z=-0.157, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=64
[INFO] [0001189133.394923008] [unitree_safe_cmd_node]: Move x=0.250, z=-0.166, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=67
[INFO] [0001189133.898481184] [unitree_safe_cmd_node]: Move x=0.250, z=-0.159, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=70
[INFO] [0001189134.444865024] [unitree_safe_cmd_node]: Move x=0.250, z=-0.061, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=72
[INFO] [0001189134.945694496] [unitree_safe_cmd_node]: Move x=0.250, z=-0.003, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=74
[INFO] [0001189135.445738272] [unitree_safe_cmd_node]: Move x=0.250, z=0.106, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=76
[INFO] [0001189135.996825248] [unitree_safe_cmd_node]: Move x=0.250, z=0.179, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=79
[INFO] [0001189136.544996416] [unitree_safe_cmd_node]: Move x=0.250, z=-0.233, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=81
[INFO] [0001189137.094941312] [unitree_safe_cmd_node]: Move x=0.250, z=-0.209, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=83
[INFO] [0001189137.645160800] [unitree_safe_cmd_node]: Move x=0.250, z=-0.158, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=85
[INFO] [0001189138.194983104] [unitree_safe_cmd_node]: Move x=0.250, z=-0.022, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=91
[INFO] [0001189138.695094336] [unitree_safe_cmd_node]: Move x=0.125, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=97
[INFO] [0001189139.195405120] [unitree_safe_cmd_node]: Move x=0.125, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=102
[INFO] [0001189139.745023616] [unitree_safe_cmd_node]: Move x=0.125, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=108
[INFO] [0001189140.245068736] [unitree_safe_cmd_node]: Move x=0.125, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=113
[INFO] [0001189140.797682176] [unitree_safe_cmd_node]: Move x=0.125, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=119
[INFO] [0001189141.347025696] [unitree_safe_cmd_node]: Move x=0.250, z=-0.438, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=125
[INFO] [0001189141.895166624] [unitree_safe_cmd_node]: Move x=0.250, z=-0.231, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=131
[INFO] [0001189142.445206112] [unitree_safe_cmd_node]: Move x=0.250, z=0.025, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=137
[INFO] [0001189142.945631520] [unitree_safe_cmd_node]: Move x=0.250, z=0.256, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=143
[INFO] [0001189143.494946976] [unitree_safe_cmd_node]: Move x=0.250, z=0.427, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=148
[INFO] [0001189143.995650464] [unitree_safe_cmd_node]: Move x=0.250, z=0.333, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=153
[INFO] [0001189144.544966336] [unitree_safe_cmd_node]: Move x=0.250, z=0.249, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=160
[INFO] [0001189145.045131104] [unitree_safe_cmd_node]: Move x=0.250, z=0.065, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=165
[INFO] [0001189145.596215168] [unitree_safe_cmd_node]: Move x=0.250, z=-0.135, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=172
[INFO] [0001189146.145045920] [unitree_safe_cmd_node]: Move x=0.250, z=-0.179, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=178
[INFO] [0001189146.645661312] [unitree_safe_cmd_node]: Move x=0.250, z=-0.169, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=183
[INFO] [0001189147.197697568] [unitree_safe_cmd_node]: Move x=0.250, z=-0.050, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=190
[INFO] [0001189147.745292800] [unitree_safe_cmd_node]: Move x=0.250, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=196
[INFO] [0001189148.245512064] [unitree_safe_cmd_node]: Move x=0.250, z=0.026, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=201
[INFO] [0001189148.745801184] [unitree_safe_cmd_node]: Move x=0.250, z=0.069, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=205
[INFO] [0001189149.294954304] [unitree_safe_cmd_node]: Move x=0.250, z=0.137, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=212
[INFO] [0001189149.797954752] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=217
[INFO] [0001189150.295263296] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=223
[INFO] [0001189150.845009280] [unitree_safe_cmd_node]: Move x=0.250, z=0.433, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=229
[INFO] [0001189151.345397408] [unitree_safe_cmd_node]: Move x=0.250, z=0.244, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=235
[INFO] [0001189151.848586272] [unitree_safe_cmd_node]: Move x=0.250, z=0.103, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=241
[INFO] [0001189152.396902720] [unitree_safe_cmd_node]: Move x=0.250, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=247
[INFO] [0001189152.895154272] [unitree_safe_cmd_node]: Move x=0.250, z=0.060, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=252
[INFO] [0001189153.395465280] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=257
[INFO] [0001189153.895335904] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=262
[INFO] [0001189154.444927744] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=268
[INFO] [0001189154.945730592] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=273
[INFO] [0001189155.495356544] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=278
[INFO] [0001189155.995481088] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=283
[INFO] [0001189156.545300864] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=289
[INFO] [0001189157.045595360] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=294
[INFO] [0001189157.594968864] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=299
[INFO] [0001189158.095140800] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=304
[INFO] [0001189158.645225696] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=310
[INFO] [0001189159.195112256] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=315
[INFO] [0001189159.745038336] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=321
[INFO] [0001189160.245024384] [unitree_safe_cmd_node]: Move x=0.250, z=0.335, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=326
[INFO] [0001189160.745224224] [unitree_safe_cmd_node]: Move x=0.250, z=0.165, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=330
[INFO] [0001189161.295161760] [unitree_safe_cmd_node]: Move x=0.250, z=0.156, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=335
[INFO] [0001189161.845002688] [unitree_safe_cmd_node]: Move x=0.250, z=0.080, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=341
[INFO] [0001189162.345096096] [unitree_safe_cmd_node]: Move x=0.250, z=0.032, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=346
[INFO] [0001189162.845188224] [unitree_safe_cmd_node]: Move x=0.250, z=0.110, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=351
[INFO] [0001189163.345163136] [unitree_safe_cmd_node]: Move x=0.250, z=0.061, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=356
[INFO] [0001189163.897647584] [unitree_safe_cmd_node]: Move x=0.250, z=0.008, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=361
[INFO] [0001189164.395329856] [unitree_safe_cmd_node]: Move x=0.250, z=0.008, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=366
[INFO] [0001189164.948910848] [unitree_safe_cmd_node]: Move x=0.250, z=-0.003, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=372
[INFO] [0001189165.495073920] [unitree_safe_cmd_node]: Move x=0.250, z=0.040, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=377
[INFO] [0001189165.995350528] [unitree_safe_cmd_node]: Move x=0.250, z=0.020, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=382
[INFO] [0001189166.545041312] [unitree_safe_cmd_node]: Move x=0.250, z=0.023, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=388
[INFO] [0001189167.045313056] [unitree_safe_cmd_node]: Move x=0.250, z=0.002, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=393
[INFO] [0001189167.560171520] [unitree_safe_cmd_node]: Move x=0.250, z=0.008, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=398
[INFO] [0001189168.095320928] [unitree_safe_cmd_node]: Move x=0.250, z=-0.033, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=402
[INFO] [0001189168.645184768] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=408
[INFO] [0001189169.145289696] [unitree_safe_cmd_node]: Move x=0.250, z=0.335, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=413
[INFO] [0001189169.695142304] [unitree_safe_cmd_node]: Move x=0.250, z=0.114, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=418
[INFO] [0001189170.195141600] [unitree_safe_cmd_node]: Move x=0.250, z=0.064, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=423
[INFO] [0001189170.745089440] [unitree_safe_cmd_node]: Move x=0.250, z=-0.009, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=429
[INFO] [0001189171.245589792] [unitree_safe_cmd_node]: Move x=0.000, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=434
[INFO] [0001189171.795008032] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=438
[INFO] [0001189172.295226432] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=443
[INFO] [0001189172.845081856] [unitree_safe_cmd_node]: Move x=0.125, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=449
[INFO] [0001189173.394992544] [unitree_safe_cmd_node]: Move x=0.250, z=0.213, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=454
[INFO] [0001189173.895156384] [unitree_safe_cmd_node]: Move x=0.250, z=0.163, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=459
[INFO] [0001189174.445188736] [unitree_safe_cmd_node]: Move x=0.250, z=0.023, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=465
[INFO] [0001189174.946356736] [unitree_safe_cmd_node]: Move x=0.250, z=-0.004, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=469
[INFO] [0001189175.495127584] [unitree_safe_cmd_node]: Move x=0.250, z=0.009, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=474
[INFO] [0001189175.995153536] [unitree_safe_cmd_node]: Move x=0.250, z=0.029, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=479
[INFO] [0001189176.545191104] [unitree_safe_cmd_node]: Move x=0.250, z=0.058, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=485
[INFO] [0001189177.045026176] [unitree_safe_cmd_node]: Move x=0.250, z=0.033, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=490
[INFO] [0001189177.546655264] [unitree_safe_cmd_node]: Move x=0.250, z=0.024, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=495
[INFO] [0001189178.118571392] [unitree_safe_cmd_node]: Move x=0.250, z=0.008, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=500
[INFO] [0001189178.648036288] [unitree_safe_cmd_node]: Move x=0.250, z=0.001, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=504
[INFO] [0001189179.196262848] [unitree_safe_cmd_node]: Move x=0.250, z=-0.003, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=509
[INFO] [0001189179.745288864] [unitree_safe_cmd_node]: Move x=0.250, z=-0.024, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=515
[INFO] [0001189180.295088704] [unitree_safe_cmd_node]: Move x=0.250, z=0.032, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=521
