[INFO] [1783770876.623161544] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1783770876.636156042] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1783770877.133043511] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[INFO] [1783770877.683308960] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[INFO] [1783770878.183020357] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[INFO] [1783770878.683239475] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[INFO] [1783770879.232850081] [unitree_safe_cmd_node]: Move x=0.500, z=0.088, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[INFO] [1783770879.733053564] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[INFO] [1783770880.282890843] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[INFO] [1783770880.784142574] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[INFO] [1783770881.333814767] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[INFO] [1783770881.882962913] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[INFO] [1783770882.383116081] [unitree_safe_cmd_node]: Move x=0.500, z=0.089, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[INFO] [1783770882.932887694] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[INFO] [1783770883.487918757] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=19
