[INFO] [0000923528.413548832] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [0000923528.420687872] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [0000923528.960428608] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [0000923529.510434656] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[WARN] [0000923530.010436032] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[WARN] [0000923530.510681056] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[WARN] [0000923531.060538848] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[WARN] [0000923531.610381056] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[WARN] [0000923532.110460096] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[WARN] [0000923532.660496224] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[WARN] [0000923533.210383328] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[WARN] [0000923533.710520832] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=23
[WARN] [0000923534.210598400] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=25
[WARN] [0000923534.760485760] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=28
[WARN] [0000923535.260558784] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=30
[WARN] [0000923535.810392224] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=32
[WARN] [0000923536.312606720] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=34
[WARN] [0000923536.860968032] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=40
[WARN] [0000923537.360669792] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=45
[WARN] [0000923537.868910080] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=50
[WARN] [0000923538.410785952] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=54
[WARN] [0000923538.964839232] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=58
[WARN] [0000923539.510531648] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=59
[INFO] [0000923540.060377920] [unitree_safe_cmd_node]: Move x=0.500, z=-0.057, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=62
[INFO] [0000923540.610212000] [unitree_safe_cmd_node]: Move x=0.500, z=-0.052, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=65
[INFO] [0000923541.113558272] [unitree_safe_cmd_node]: Move x=0.500, z=-0.052, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=67
[INFO] [0000923541.660544800] [unitree_safe_cmd_node]: Move x=0.500, z=-0.053, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=69
[INFO] [0000923542.210611328] [unitree_safe_cmd_node]: Move x=0.500, z=-0.059, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=71
[INFO] [0000923542.760464576] [unitree_safe_cmd_node]: Move x=0.500, z=-0.057, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=73
[INFO] [0000923543.310448736] [unitree_safe_cmd_node]: Move x=0.500, z=-0.059, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=76
[INFO] [0000923543.810539616] [unitree_safe_cmd_node]: Move x=0.500, z=-0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=79
[INFO] [0000923544.360445440] [unitree_safe_cmd_node]: Move x=0.500, z=-0.023, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=81
[INFO] [0000923544.910312928] [unitree_safe_cmd_node]: Move x=0.500, z=0.013, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=84
[INFO] [0000923545.410363488] [unitree_safe_cmd_node]: Move x=0.500, z=0.060, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=87
[INFO] [0000923545.960334624] [unitree_safe_cmd_node]: Move x=0.500, z=0.167, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=89
[INFO] [0000923546.460378752] [unitree_safe_cmd_node]: Move x=0.500, z=0.178, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=91
[INFO] [0000923546.960883200] [unitree_safe_cmd_node]: Move x=0.500, z=0.215, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=93
[INFO] [0000923547.510333280] [unitree_safe_cmd_node]: Move x=0.500, z=0.258, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=95
[INFO] [0000923548.010493536] [unitree_safe_cmd_node]: Move x=0.500, z=-0.225, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=101
[INFO] [0000923548.510411040] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=123, nearest_x=0.55, clear_frames=107
[INFO] [0000923549.010615008] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=5, roi_count=73, nearest_x=0.37, clear_frames=111
[INFO] [0000923549.562167648] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=12, roi_count=44, nearest_x=0.35, clear_frames=117
[INFO] [0000923550.110256160] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=1, roi_count=119, nearest_x=0.40, clear_frames=124
[INFO] [0000923550.610546592] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=118, nearest_x=0.48, clear_frames=129
[INFO] [0000923551.164121632] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=84, nearest_x=0.45, clear_frames=136
[INFO] [0000923551.710374784] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=37, nearest_x=0.74, clear_frames=142
[INFO] [0000923552.210455904] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=21, nearest_x=0.73, clear_frames=147
[INFO] [0000923552.710414336] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=2, nearest_x=0.87, clear_frames=153
[INFO] [0000923553.260255104] [unitree_safe_cmd_node]: Move x=0.250, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=159
[INFO] [0000923553.760409152] [unitree_safe_cmd_node]: Move x=0.250, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=164
[INFO] [0000923554.310054304] [unitree_safe_cmd_node]: Move x=0.250, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=171
[INFO] [0000923554.810552288] [unitree_safe_cmd_node]: Move x=0.500, z=-0.343, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=176
[INFO] [0000923555.366414880] [unitree_safe_cmd_node]: Move x=0.500, z=-0.140, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=182
[INFO] [0000923555.910386336] [unitree_safe_cmd_node]: Move x=0.500, z=0.151, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=188
[INFO] [0000923556.411032800] [unitree_safe_cmd_node]: Move x=0.500, z=0.292, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=193
[INFO] [0000923556.960609568] [unitree_safe_cmd_node]: Move x=0.500, z=0.245, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=198
[INFO] [0000923557.510288864] [unitree_safe_cmd_node]: Move x=0.500, z=0.242, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=205
[INFO] [0000923558.010654496] [unitree_safe_cmd_node]: Move x=0.500, z=0.275, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=210
