[INFO] [1784293795.580350464] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[INFO] [1784293795.581224740] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784293795.621199731] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784293796.097150943] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=1
[WARN] [1784293796.597294373] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[WARN] [1784293797.147068873] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[INFO] [1784293797.698083150] [unitree_safe_cmd_node]: Move x=0.075, z=0.173, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[INFO] [1784293798.197715488] [unitree_safe_cmd_node]: Move x=0.200, z=0.173, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[INFO] [1784293798.760352598] [unitree_safe_cmd_node]: Move x=0.200, z=0.168, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[INFO] [1784293799.297478590] [unitree_safe_cmd_node]: Move x=0.200, z=0.172, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[INFO] [1784293799.849162449] [unitree_safe_cmd_node]: Move x=0.200, z=0.174, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[INFO] [1784293800.396880917] [unitree_safe_cmd_node]: Move x=0.200, z=0.172, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[INFO] [1784293800.946882049] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[INFO] [1784293801.446816962] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[INFO] [1784293801.997118868] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[INFO] [1784293802.497244042] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[INFO] [1784293803.046807498] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[INFO] [1784293803.547209114] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[INFO] [1784293804.047618928] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=26
[INFO] [1784293804.549623895] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=31
[INFO] [1784293805.106826276] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=37
[INFO] [1784293805.647073728] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=42
[INFO] [1784293806.197365585] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=48
[INFO] [1784293806.746894278] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=54
[INFO] [1784293807.247181552] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=59
[INFO] [1784293807.747127645] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=64
[INFO] [1784293808.247197822] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=69
[INFO] [1784293808.752243751] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=75
[INFO] [1784293809.296797849] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=80
[INFO] [1784293809.800784720] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=84
[INFO] [1784293810.347220892] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=90
[INFO] [1784293810.897633929] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=96
[INFO] [1784293811.408459927] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=102
[INFO] [1784293811.946782399] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=108
[INFO] [1784293812.446848777] [unitree_safe_cmd_node]: Move x=0.200, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=113
