[INFO] [1783348872.913261157] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1783348872.916158955] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1783348873.444739221] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [1783348873.994677374] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[WARN] [1783348874.544501289] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[WARN] [1783348875.044705170] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[WARN] [1783348875.594657659] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=13
[WARN] [1783348876.098246982] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[WARN] [1783348876.645365513] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[WARN] [1783348877.195485201] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[WARN] [1783348877.695112095] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=20
[INFO] [1783348878.244647308] [unitree_safe_cmd_node]: Move x=0.500, z=-0.057, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=22
[INFO] [1783348878.744689463] [unitree_safe_cmd_node]: Move x=0.500, z=-0.061, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=23
[INFO] [1783348879.294361795] [unitree_safe_cmd_node]: Move x=0.500, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[INFO] [1783348879.794592939] [unitree_safe_cmd_node]: Move x=0.500, z=-0.055, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=25
[INFO] [1783348880.344298231] [unitree_safe_cmd_node]: Move x=0.500, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=27
[INFO] [1783348880.847321735] [unitree_safe_cmd_node]: Move x=0.500, z=-0.051, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=29
[INFO] [1783348881.394838054] [unitree_safe_cmd_node]: Move x=0.500, z=-0.051, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=32
[INFO] [1783348881.944850511] [unitree_safe_cmd_node]: Move x=0.500, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=36
[INFO] [1783348882.494342364] [unitree_safe_cmd_node]: Move x=0.500, z=-0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=39
[INFO] [1783348882.994625349] [unitree_safe_cmd_node]: Move x=0.500, z=0.021, stop_count=0, roi_count=38, nearest_x=0.57, clear_frames=41
[INFO] [1783348883.494769070] [unitree_safe_cmd_node]: Move x=0.500, z=0.052, stop_count=1, roi_count=16, nearest_x=0.37, clear_frames=43
[INFO] [1783348884.044488378] [unitree_safe_cmd_node]: Move x=0.500, z=0.065, stop_count=3, roi_count=12, nearest_x=0.37, clear_frames=46
[INFO] [1783348884.544536100] [unitree_safe_cmd_node]: Move x=0.500, z=0.068, stop_count=2, roi_count=11, nearest_x=0.38, clear_frames=51
[INFO] [1783348885.102804291] [unitree_safe_cmd_node]: Move x=0.500, z=0.061, stop_count=2, roi_count=13, nearest_x=0.35, clear_frames=58
[INFO] [1783348885.644467895] [unitree_safe_cmd_node]: Move x=0.500, z=0.038, stop_count=0, roi_count=14, nearest_x=0.42, clear_frames=64
[INFO] [1783348886.144793471] [unitree_safe_cmd_node]: Move x=0.500, z=0.008, stop_count=0, roi_count=12, nearest_x=0.51, clear_frames=69
[INFO] [1783348886.694733448] [unitree_safe_cmd_node]: Move x=0.500, z=0.032, stop_count=0, roi_count=9, nearest_x=0.46, clear_frames=76
