[INFO] [1783259086.398182227] [unitree_cmd_node]: unitree_cmd_node ACTIVE
[INFO] [1783259086.400112130] [unitree_cmd_node]: /patrol_cmd -> /api/sport/request
[INFO] [1783259086.403847648] [unitree_cmd_node]: Move api_id=1008, StopMove api_id=1003
[INFO] [1783259086.405661936] [unitree_cmd_node]: max_vx=0.1
[INFO] [1783259086.406319498] [unitree_cmd_node]: max_yaw_rate=0.45
[INFO] [1783259086.409881259] [unitree_cmd_node]: publish_rate=20.0 Hz
[INFO] [1783259086.411981560] [unitree_cmd_node]: cmd_timeout=0.5 s
[WARN] [1783259086.418095074] [unitree_cmd_node]: StopMove because /patrol_cmd timeout
[WARN] [1783259087.420858978] [unitree_cmd_node]: StopMove because /patrol_cmd timeout
[WARN] [1783259088.420922250] [unitree_cmd_node]: StopMove because /patrol_cmd timeout
[WARN] [1783259089.421101249] [unitree_cmd_node]: StopMove because /patrol_cmd timeout
[INFO] [1783259089.970646682] [unitree_cmd_node]: Move x=0.000, y=0.000, z=0.000
[INFO] [1783259090.521342018] [unitree_cmd_node]: Move x=0.100, y=0.000, z=-0.029
[INFO] [1783259091.070654330] [unitree_cmd_node]: Move x=0.100, y=0.000, z=-0.031
[INFO] [1783259091.620810722] [unitree_cmd_node]: Move x=0.100, y=0.000, z=-0.027
[INFO] [1783259092.170624693] [unitree_cmd_node]: Move x=0.100, y=0.000, z=-0.029
[INFO] [1783259092.670794372] [unitree_cmd_node]: Move x=0.100, y=0.000, z=-0.029
[INFO] [1783259093.224554961] [unitree_cmd_node]: Move x=0.100, y=0.000, z=-0.027
[INFO] [1783259093.772081155] [unitree_cmd_node]: Move x=0.100, y=0.000, z=-0.025
[INFO] [1783259094.320846872] [unitree_cmd_node]: Move x=0.100, y=0.000, z=-0.031
[INFO] [1783259094.821218132] [unitree_cmd_node]: Move x=0.100, y=0.000, z=-0.040
[INFO] [1783259095.370810750] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.011
[INFO] [1783259095.871294000] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.027
[INFO] [1783259096.380890822] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.032
[INFO] [1783259096.920900034] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.063
[INFO] [1783259097.481289448] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.073
[INFO] [1783259098.020834913] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.063
[INFO] [1783259098.570708955] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.063
[INFO] [1783259099.071217619] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.060
[INFO] [1783259099.620929383] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.066
[INFO] [1783259100.172097558] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.045
[INFO] [1783259100.721004137] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.040
[INFO] [1783259101.270714144] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.044
[INFO] [1783259101.772175408] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.044
[INFO] [1783259102.321005865] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.049
[INFO] [1783259102.821001146] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.037
[INFO] [1783259103.370683973] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.039
[INFO] [1783259103.871716099] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.043
[INFO] [1783259104.371157406] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.035
[INFO] [1783259104.921269734] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.047
[INFO] [1783259105.470987332] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.044
[INFO] [1783259105.970961429] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.039
[INFO] [1783259106.520689164] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.044
[INFO] [1783259107.020950289] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.043
[INFO] [1783259107.570878239] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.042
[INFO] [1783259108.120888881] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.041
[INFO] [1783259108.620963040] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.046
[INFO] [1783259109.172544638] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.038
[INFO] [1783259109.673220349] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.045
[INFO] [1783259110.220808307] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.044
[INFO] [1783259110.721868451] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.046
[INFO] [1783259111.271166788] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.047
[INFO] [1783259111.820963981] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.048
[INFO] [1783259112.321377315] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.039
[INFO] [1783259112.870570886] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.038
[INFO] [1783259113.370596981] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.041
[INFO] [1783259113.870740295] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.041
[INFO] [1783259114.370866249] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.051
[INFO] [1783259114.921211919] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.050
[INFO] [1783259115.470874764] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.051
[INFO] [1783259116.020769036] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.051
[INFO] [1783259116.520948953] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.051
[INFO] [1783259117.021226758] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.049
[INFO] [1783259117.583795664] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.056
[INFO] [1783259118.121015357] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.046
[INFO] [1783259118.621119473] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.054
[INFO] [1783259119.170568441] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.050
[INFO] [1783259119.670580225] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.051
[INFO] [1783259120.170990028] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.052
[INFO] [1783259120.721190833] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.042
[INFO] [1783259121.221742992] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.041
[INFO] [1783259121.770562036] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.041
[INFO] [1783259122.270580843] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.052
[INFO] [1783259122.770594795] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.042
[INFO] [1783259123.271043633] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.046
[INFO] [1783259123.821003253] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.051
[INFO] [1783259124.321149522] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.053
[INFO] [1783259124.821066998] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.044
[INFO] [1783259125.370538239] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.046
[INFO] [1783259125.870534838] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.057
[INFO] [1783259126.371612977] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.048
[INFO] [1783259126.920906710] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.049
[INFO] [1783259127.421207499] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.049
[INFO] [1783259127.976435704] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.054
[INFO] [1783259128.520876773] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.044
[INFO] [1783259129.020917585] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.044
[INFO] [1783259129.520999406] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.054
[INFO] [1783259130.070997546] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.055
[INFO] [1783259130.571210711] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.048
[INFO] [1783259131.071185000] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.048
[INFO] [1783259131.620930985] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.044
[INFO] [1783259132.171480011] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.048
[INFO] [1783259132.722199064] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.059
[INFO] [1783259133.271057244] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.049
[INFO] [1783259133.820854498] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.053
[INFO] [1783259134.370533590] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.048
[INFO] [1783259134.873200790] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.047
[INFO] [1783259135.420973195] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.050
[INFO] [1783259135.921007630] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.056
[INFO] [1783259136.470594762] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.048
[INFO] [1783259137.020743622] [unitree_cmd_node]: Move x=0.100, y=0.000, z=0.049
[INFO] [1783259137.521528420] 
