[INFO] [1783751294.248846574] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1783751294.252343962] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1783751294.783157249] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [1783751295.333129510] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[WARN] [1783751295.883115250] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[WARN] [1783751296.432960015] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[WARN] [1783751296.933253434] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[WARN] [1783751297.434083795] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[WARN] [1783751297.983164028] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[INFO] [1783751298.534261152] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[INFO] [1783751299.083118726] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=17
[INFO] [1783751299.632769514] [unitree_safe_cmd_node]: Move x=0.500, z=0.091, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[INFO] [1783751300.132748187] [unitree_safe_cmd_node]: Move x=0.500, z=0.093, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=22
[INFO] [1783751300.682747613] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[INFO] [1783751301.182727744] [unitree_safe_cmd_node]: Move x=0.500, z=0.092, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=25
[INFO] [1783751301.682797990] [unitree_safe_cmd_node]: Move x=0.500, z=0.089, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=27
[INFO] [1783751302.182917432] [unitree_safe_cmd_node]: Move x=0.500, z=0.089, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=28
[INFO] [1783751302.689094139] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=31
[INFO] [1783751303.233779895] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=33
[INFO] [1783751303.784424539] [unitree_safe_cmd_node]: Move x=0.500, z=0.093, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=36
[INFO] [1783751304.333227525] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=39
[INFO] [1783751304.832884511] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=41
[INFO] [1783751305.333040565] [unitree_safe_cmd_node]: Move x=0.500, z=0.090, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=46
[INFO] [1783751305.882819591] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=53
[INFO] [1783751306.383254142] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=58
[INFO] [1783751306.933268170] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=64
[INFO] [1783751307.482758301] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=71
[INFO] [1783751307.982985553] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=76
[INFO] [1783751308.482947640] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=82
[INFO] [1783751308.983526802] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=87
[INFO] [1783751309.532927497] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=94
[INFO] [1783751310.033398685] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=99
[INFO] [1783751310.582830107] [unitree_safe_cmd_node]: Move x=0.500, z=0.090, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=105
[INFO] [1783751311.082989849] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=111
[INFO] [1783751311.632830885] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=117
[INFO] [1783751312.132844782] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=123
[INFO] [1783751312.682808427] [unitree_safe_cmd_node]: Move x=0.500, z=0.088, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=129
[INFO] [1783751313.183184060] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=133
[INFO] [1783751313.738953136] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=139
[INFO] [1783751314.286836593] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=145
[INFO] [1783751314.832995048] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=151
[INFO] [1783751315.333142890] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=156
[INFO] [1783751315.882813982] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=163
[INFO] [1783751316.383307305] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=168
[INFO] [1783751316.933116287] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=174
[INFO] [1783751317.484500350] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=181
[INFO] [1783751318.032841145] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=187
[INFO] [1783751318.583014747] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=192
[INFO] [1783751319.083014072] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=197
[INFO] [1783751319.583001048] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=202
[INFO] [1783751320.083157826] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=207
[INFO] [1783751320.638439175] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=213
[INFO] [1783751321.182805854] [unitree_safe_cmd_node]: Move x=0.500, z=0.080, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=218
[INFO] [1783751321.682950840] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=223
[INFO] [1783751322.183119711] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=228
[INFO] [1783751322.732843758] [unitree_safe_cmd_node]: Move x=0.500, z=0.079, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=234
[INFO] [1783751323.232947241] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=239
[INFO] [1783751323.733045837] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=244
[INFO] [1783751324.282887837] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=249
[INFO] [1783751324.783117673] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=254
[INFO] [1783751325.285096786] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=259
[INFO] [1783751325.783979466] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=264
[INFO] [1783751326.332900375] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=270
[INFO] [1783751326.833605556] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=274
[INFO] [1783751327.388576366] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=278
[INFO] [1783751327.885669694] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=283
[INFO] [1783751328.433288826] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=290
[INFO] [1783751328.983631066] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=296
[INFO] [1783751329.532933030] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=302
[INFO] [1783751330.032948548] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=307
[INFO] [1783751330.533500454] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=312
[INFO] [1783751331.083093645] [unitree_safe_cmd_node]: Move x=0.500, z=0.087, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=317
[INFO] [1783751331.583139610] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=322
[INFO] [1783751332.083021553] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=327
[INFO] [1783751332.632858928] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=333
[INFO] [1783751333.132854105] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=338
[INFO] [1783751333.632887740] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=343
[INFO] [1783751334.133261512] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=348
[INFO] [1783751334.682979890] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=353
[INFO] [1783751335.182995583] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=358
[INFO] [1783751335.683150491] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=363
[INFO] [1783751336.233042464] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=369
[INFO] [1783751336.733432030] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=374
[INFO] [1783751337.234297829] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=379
[INFO] [1783751337.783155179] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=384
[INFO] [1783751338.283231371] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=389
[INFO] [1783751338.832873343] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=395
[INFO] [1783751339.332862672] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=400
[INFO] [1783751339.832864104] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=405
[INFO] [1783751340.332904247] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=410
[INFO] [1783751340.833089933] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=414
[INFO] [1783751341.382988615] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=419
[INFO] [1783751341.883133013] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=424
[INFO] [1783751342.433164204] [unitree_safe_cmd_node]: Move x=0.500, z=0.079, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=430
[INFO] [1783751342.982978424] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=435
[INFO] [1783751343.482974800] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=440
[INFO] [1783751343.987914088] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=445
[INFO] [1783751344.532846194] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=451
[INFO] [1783751345.032970835] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=456
[INFO] [1783751345.532880427] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=461
[INFO] [1783751346.083276381] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=466
[INFO] [1783751346.582995280] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=471
[INFO] [1783751347.132865462] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=477
[INFO] [1783751347.633609884] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=482
[INFO] [1783751348.183529587] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=487
[INFO] [1783751348.683210328] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=492
[INFO] [1783751349.232853466] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=498
[INFO] [1783751349.732857868] [unitree_safe_cmd_node]: Move x=0.500, z=0.085, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=503
[INFO] [1783751350.282933713] [unitree_safe_cmd_node]: Move x=0.500, z=0.080, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=508
[INFO] [1783751350.783710473] [unitree_safe_cmd_node]: Move x=0.500, z=0.084, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=513
[INFO] [1783751351.332855372] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=519
[INFO] [1783751351.882980501] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=524
[INFO] [1783751352.432864079] [unitree_safe_cmd_node]: Move x=0.500, z=0.079, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=530
[INFO] [1783751352.932896029] [unitree_safe_cmd_node]: Move x=0.500, z=0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=535
[INFO] [1783751353.432931134] [unitree_safe_cmd_node]: Move x=0.500, z=0.080, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=540
[INFO] [1783751353.987221390] [unitree_safe_cmd_node]: Move x=0.500, z=0.079, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=545
[INFO] [1783751354.532832612] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=550
[INFO] [1783751355.032869427] [unitree_safe_cmd_node]: Move x=0.500, z=0.079, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=555
[INFO] [1783751355.532854893] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=560
[INFO] [1783751356.082885077] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=565
[INFO] [1783751356.583129508] [unitree_safe_cmd_node]: Move x=0.500, z=0.080, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=570
[INFO] [1783751357.132852910] [unitree_safe_cmd_node]: Move x=0.500, z=0.081, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=576
[INFO] [1783751357.633729530] [unitree_safe_cmd_node]: Move x=0.500, z=0.082, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=581
