[INFO] [1784784758.159340128] [waypoint_follower]: simple csv waypoint_follower started: sequential line-lock controller
[INFO] [1784784758.162460544] [waypoint_follower]: route_file=/home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/test/line_corner_route.csv, points=17, length=4.00m, loop_mode=once
[INFO] [1784784758.166013568] [waypoint_follower]: line_lock: body-heading rejoin, vy=0, corridor=0.028m, exit=0.015m, lookahead=0.35m, prediction=0.35s, max_intercept=22.0deg, rejoin=0.028/0.015m
[INFO] [1784784758.166659872] [waypoint_follower]: corner: angle=30.0deg, slowdown=0.90m, reach=0.20m, turn_exit=7.0deg
[INFO] [1784784758.171797120] [waypoint_follower]: progress policy: ordered CSV waypoint gates only; nearest-route projection disabled
[INFO] [1784784759.492862528] [waypoint_follower]: route start aligned: distance=0.000m, yaw_error=0.0deg, first_segment=0->1
[INFO] [1784784759.507005024] [waypoint_follower]: mode=TRACK, reason=csv_straight_corridor, dir=1, segment=0->1, s=0.00/4.00, pose=(0.000,0.000,0.000), route_yaw=0.000, line_error=0.000m, cross_velocity=0.000m/s, predicted_line_error=0.000m, rejoin_angle=0.0deg, target_heading=0.000, heading_error=0.0deg, remaining=0.250m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.030,0.000,0.000)
[INFO] [1784784760.507757440] [waypoint_follower]: mode=TRACK, reason=csv_straight_corridor, dir=1, segment=0->1, s=0.12/4.00, pose=(0.120,0.012,0.000), route_yaw=0.000, line_error=0.012m, cross_velocity=0.036m/s, predicted_line_error=0.025m, rejoin_angle=0.0deg, target_heading=0.000, heading_error=0.0deg, remaining=0.130m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,0.000)
[WARN] [1784784760.807099616] [waypoint_follower]: line rejoin active: error=0.030m
[INFO] [1784784761.557099072] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=2->3, s=0.60/4.00, pose=(0.600,0.060,0.000), route_yaw=0.000, line_error=0.060m, cross_velocity=0.001m/s, predicted_line_error=0.060m, rejoin_angle=-9.8deg, target_heading=-0.171, heading_error=-9.8deg, remaining=0.150m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,-0.205)
[INFO] [1784784762.607247008] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=2->3, s=0.60/4.00, pose=(0.600,0.060,0.000), route_yaw=0.000, line_error=0.060m, cross_velocity=0.000m/s, predicted_line_error=0.060m, rejoin_angle=-9.7deg, target_heading=-0.170, heading_error=-9.7deg, remaining=0.150m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,-0.204)
[INFO] [1784784763.607577888] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=5->6, s=1.32/4.00, pose=(1.320,0.060,0.000), route_yaw=0.000, line_error=0.060m, cross_velocity=0.000m/s, predicted_line_error=0.060m, rejoin_angle=-9.7deg, target_heading=-0.170, heading_error=-9.7deg, remaining=0.180m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,-0.204)
[INFO] [1784784764.657215008] [waypoint_follower]: mode=REJOIN, reason=body_heading_line_rejoin, dir=1, segment=8->9, s=2.08/4.00, pose=(2.080,0.060,0.000), route_yaw=0.000, line_error=0.060m, cross_velocity=0.000m/s, predicted_line_error=0.060m, rejoin_angle=-9.7deg, target_heading=-0.170, heading_error=-9.7deg, remaining=0.170m, corner_remaining=-1.000m, next_turn=0.0deg, cmd=(0.200,0.000,-0.204)
[INFO] [1784784764.709342496] [waypoint_follower]: enter CORNER_APPROACH: corner_index=12, remaining=0.880m; stop chasing incoming line
[INFO] [1784784765.707156064] [waypoint_follower]: mode=CORNER_APPROACH, reason=aim_ordered_corner, dir=1, segment=9->10, s=2.25/4.00, pose=(2.200,0.060,0.000), route_yaw=0.000, line_error=0.060m, cross_velocity=0.000m/s, predicted_line_error=0.060m, rejoin_angle=-4.3deg, target_heading=-0.075, heading_error=-4.3deg, remaining=0.300m, corner_remaining=0.800m, next_turn=90.0deg, cmd=(0.189,0.000,-0.150)
[INFO] [1784784766.707234080] [waypoint_follower]: mode=CORNER_APPROACH, reason=aim_ordered_corner, dir=1, segment=10->11, s=2.58/4.00, pose=(2.575,0.070,0.000), route_yaw=0.000, line_error=0.070m, cross_velocity=0.015m/s, predicted_line_error=0.070m, rejoin_angle=-9.4deg, target_heading=-0.163, heading_error=-9.4deg, remaining=0.175m, corner_remaining=0.425m, next_turn=90.0deg, cmd=(0.147,0.000,-0.196)
[INFO] [1784784767.057374976] [waypoint_follower]: enter TURN: csv_sharp_corner, angle=90.0deg, outgoing_segment=12->13
