[INFO] [1783340182.255321924] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1783340182.275915889] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1783340182.792093211] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[WARN] [1783340183.342027382] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[WARN] [1783340183.892054118] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[WARN] [1783340184.392289491] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[WARN] [1783340184.942344360] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=13
[WARN] [1783340185.491676609] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[WARN] [1783340186.041994575] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=19
[WARN] [1783340186.591756357] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=22
[WARN] [1783340187.091847955] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[WARN] [1783340187.594242516] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=26
[WARN] [1783340188.143559017] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=28
[WARN] [1783340188.645655081] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=31
[WARN] [1783340189.191846713] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=34
[WARN] [1783340189.693829089] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=36
[WARN] [1783340190.192055227] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=39
[WARN] [1783340190.692233563] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=43
[WARN] [1783340191.242394696] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=49
[WARN] [1783340191.791990618] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=54
[WARN] [1783340192.292027260] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=58
[WARN] [1783340192.792085762] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=64
[WARN] [1783340193.341922344] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=69
[WARN] [1783340193.891897004] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=71
[INFO] [1783340194.391820694] [unitree_safe_cmd_node]: Move x=0.400, z=-0.117, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=73
[INFO] [1783340194.891862777] [unitree_safe_cmd_node]: Move x=0.400, z=-0.113, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=75
[INFO] [1783340195.391879190] [unitree_safe_cmd_node]: Move x=0.400, z=-0.111, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=76
[INFO] [1783340195.941705754] [unitree_safe_cmd_node]: Move x=0.400, z=-0.110, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=79
[INFO] [1783340196.441711285] [unitree_safe_cmd_node]: Move x=0.400, z=-0.110, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=81
[INFO] [1783340196.991555261] [unitree_safe_cmd_node]: Move x=0.400, z=-0.114, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=84
[INFO] [1783340197.491619461] [unitree_safe_cmd_node]: Move x=0.400, z=-0.114, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=86
[INFO] [1783340197.991764286] [unitree_safe_cmd_node]: Move x=0.400, z=-0.110, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=89
[INFO] [1783340198.541921226] [unitree_safe_cmd_node]: Move x=0.400, z=-0.086, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=92
[INFO] [1783340199.041945385] [unitree_safe_cmd_node]: Move x=0.400, z=0.003, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=94
[INFO] [1783340199.591871715] [unitree_safe_cmd_node]: Move x=0.400, z=0.050, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=96
[INFO] [1783340200.141615348] [unitree_safe_cmd_node]: Move x=0.400, z=0.158, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=100
[INFO] [1783340200.641624881] [unitree_safe_cmd_node]: Move x=0.400, z=0.294, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=103
[INFO] [1783340201.141999452] [unitree_safe_cmd_node]: Move x=0.400, z=0.373, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=105
[INFO] [1783340201.691846244] [unitree_safe_cmd_node]: Move x=0.200, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=108
[INFO] [1783340202.192108663] [unitree_safe_cmd_node]: Move x=0.200, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=114
[INFO] [1783340202.691888545] [unitree_safe_cmd_node]: Move x=0.200, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=118
[INFO] [1783340203.191967084] [unitree_safe_cmd_node]: Move x=0.400, z=0.439, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=123
[INFO] [1783340203.742252948] [unitree_safe_cmd_node]: Move x=0.400, z=0.185, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=130
[INFO] [1783340204.242304601] [unitree_safe_cmd_node]: Move x=0.400, z=-0.126, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=135
[INFO] [1783340204.791580645] [unitree_safe_cmd_node]: Move x=0.400, z=-0.442, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=142
[INFO] [1783340205.292046212] [unitree_safe_cmd_node]: Move x=0.200, z=-0.450, stop_count=0, roi_count=6, nearest_x=0.83, clear_frames=147
[INFO] [1783340205.795640905] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=153
[INFO] [1783340206.342300767] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=159
[INFO] [1783340206.892675321] [unitree_safe_cmd_node]: Move x=0.200, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=165
[INFO] [1783340207.442131021] [unitree_safe_cmd_node]: Move x=0.200, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=171
[INFO] [1783340207.991730048] [unitree_safe_cmd_node]: Move x=0.400, z=-0.350, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=178
[INFO] [1783340208.492146996] [unitree_safe_cmd_node]: Move x=0.400, z=-0.140, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=183
[INFO] [1783340208.992180917] [unitree_safe_cmd_node]: Move x=0.400, z=0.073, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=189
[INFO] [1783340209.542059332] [unitree_safe_cmd_node]: Move x=0.400, z=0.215, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=194
[INFO] [1783340210.091927345] [unitree_safe_cmd_node]: Move x=0.400, z=0.293, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=200
[INFO] [1783340210.643701755] [unitree_safe_cmd_node]: Move x=0.400, z=0.223, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=207
[INFO] [1783340211.191600829] [unitree_safe_cmd_node]: Move x=0.400, z=0.119, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=213
[INFO] [1783340211.741578146] [unitree_safe_cmd_node]: Move x=0.400, z=-0.023, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=219
[INFO] [1783340212.292378841] [unitree_safe_cmd_node]: Move x=0.400, z=-0.029, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=225
[INFO] [1783340212.842533220] [unitree_safe_cmd_node]: Move x=0.400, z=-0.016, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=232
[INFO] [1783340213.341818819] [unitree_safe_cmd_node]: Move x=0.400, z=-0.006, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=237
