[INFO] [1783340194.081942397] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1783340194.093177215] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/shang8_2.csv
[INFO] [1783340194.097573944] [waypoint_follower]: route points: 140
[INFO] [1783340194.098299925] [waypoint_follower]: loop_mode: pingpong
[INFO] [1783340194.098943392] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1783340194.099550180] [waypoint_follower]: reach_distance: 0.4
[INFO] [1783340194.111719792] [waypoint_follower]: init nearest_index=0, distance_to_start=0.037
[INFO] [1783340194.149279096] [waypoint_follower]: nearest=0, target=2, dist=0.90, alpha=-0.13, vx=0.40, yaw_rate=-0.12, dir=1
[INFO] [1783340195.149543110] [waypoint_follower]: nearest=0, target=2, dist=0.90, alpha=-0.13, vx=0.40, yaw_rate=-0.11, dir=1
[INFO] [1783340196.199445588] [waypoint_follower]: nearest=0, target=2, dist=0.91, alpha=-0.12, vx=0.40, yaw_rate=-0.11, dir=1
[WARN] [1783340197.149657959] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [1783340197.249330366] [waypoint_follower]: nearest=0, target=2, dist=0.90, alpha=-0.12, vx=0.40, yaw_rate=-0.11, dir=1
[INFO] [1783340198.256369511] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=-0.10, vx=0.40, yaw_rate=-0.09, dir=1
[INFO] [1783340199.299612083] [waypoint_follower]: nearest=1, target=3, dist=0.85, alpha=0.02, vx=0.40, yaw_rate=0.02, dir=1
[INFO] [1783340200.349444178] [waypoint_follower]: nearest=2, target=4, dist=0.92, alpha=0.22, vx=0.40, yaw_rate=0.19, dir=1
[INFO] [1783340201.349526968] [waypoint_follower]: nearest=3, target=5, dist=1.09, alpha=0.38, vx=0.40, yaw_rate=0.34, dir=1
[INFO] [1783340202.349571670] [waypoint_follower]: nearest=4, target=6, dist=1.08, alpha=0.68, vx=0.20, yaw_rate=0.45, dir=1
[INFO] [1783340203.349862953] [waypoint_follower]: nearest=5, target=7, dist=0.85, alpha=0.37, vx=0.40, yaw_rate=0.33, dir=1
[INFO] [1783340204.399520834] [waypoint_follower]: nearest=5, target=7, dist=0.71, alpha=-0.25, vx=0.40, yaw_rate=-0.23, dir=1
[INFO] [1783340205.400229136] [waypoint_follower]: nearest=6, target=8, dist=0.97, alpha=-0.95, vx=0.20, yaw_rate=-0.45, dir=1
