[INFO] [1784295112.464411518] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[INFO] [1784295112.465202268] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784295112.488477379] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784295113.021796351] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[INFO] [1784295113.569124539] [unitree_safe_cmd_node]: Move x=0.162, z=-0.053, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[INFO] [1784295114.119067920] [unitree_safe_cmd_node]: Move x=0.200, z=-0.053, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[INFO] [1784295114.669026988] [unitree_safe_cmd_node]: Move x=0.200, z=-0.052, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[INFO] [1784295115.169041943] [unitree_safe_cmd_node]: Move x=0.200, z=-0.055, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[INFO] [1784295115.669226786] [unitree_safe_cmd_node]: Move x=0.200, z=-0.054, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[INFO] [1784295116.169307837] [unitree_safe_cmd_node]: Move x=0.200, z=-0.055, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[INFO] [1784295116.719587210] [unitree_safe_cmd_node]: Move x=0.200, z=-0.053, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=13
[INFO] [1784295117.219164219] [unitree_safe_cmd_node]: Move x=0.200, z=-0.054, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[INFO] [1784295117.769067716] [unitree_safe_cmd_node]: Move x=0.200, z=-0.055, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=17
[INFO] [1784295118.318993418] [unitree_safe_cmd_node]: Move x=0.200, z=-0.054, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=19
[INFO] [1784295118.819061469] [unitree_safe_cmd_node]: Move x=0.200, z=-0.051, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=20
[INFO] [1784295119.319060218] [unitree_safe_cmd_node]: Move x=0.200, z=-0.042, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[INFO] [1784295119.819316446] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=25
[INFO] [1784295120.319385305] [unitree_safe_cmd_node]: Move x=0.095, z=-0.249, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=31
[INFO] [1784295120.869235063] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=15, nearest_x=0.75, clear_frames=37
[INFO] [1784295121.369289629] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=25, nearest_x=0.67, clear_frames=43
[INFO] [1784295121.869868258] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=31, nearest_x=0.67, clear_frames=48
[INFO] [1784295122.419570274] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=55
[INFO] [1784295122.920310266] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=60
[INFO] [1784295123.469101855] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=67
