[INFO] [1784295453.224499767] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[INFO] [1784295453.227704157] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784295453.245110906] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784295453.757626200] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=1
[WARN] [1784295454.307637873] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[WARN] [1784295454.857517807] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [1784295455.357750094] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[WARN] [1784295455.857825314] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[WARN] [1784295456.407553817] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[WARN] [1784295456.957371303] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[WARN] [1784295457.457523456] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[WARN] [1784295458.007784067] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[INFO] [1784295458.558228540] [unitree_safe_cmd_node]: Move x=0.000, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[INFO] [1784295459.063446142] [unitree_safe_cmd_node]: Move x=0.123, z=0.110, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[INFO] [1784295459.610138377] [unitree_safe_cmd_node]: Move x=0.200, z=0.111, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[INFO] [1784295460.157188909] [unitree_safe_cmd_node]: Move x=0.200, z=0.111, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[INFO] [1784295460.657555590] [unitree_safe_cmd_node]: Move x=0.200, z=0.109, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[INFO] [1784295461.159500000] [unitree_safe_cmd_node]: Move x=0.200, z=0.108, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=17
[INFO] [1784295461.707030917] [unitree_safe_cmd_node]: Move x=0.200, z=0.111, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=19
[INFO] [1784295462.207402128] [unitree_safe_cmd_node]: Move x=0.200, z=0.108, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[INFO] [1784295462.708927688] [unitree_safe_cmd_node]: Move x=0.200, z=0.111, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=25
[INFO] [1784295463.215234278] [unitree_safe_cmd_node]: Move x=0.200, z=0.107, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=27
[INFO] [1784295463.757749368] [unitree_safe_cmd_node]: Move x=0.200, z=0.077, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=30
[INFO] [1784295464.307468597] [unitree_safe_cmd_node]: Move x=0.200, z=0.038, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=36
[INFO] [1784295464.857410437] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=41
[INFO] [1784295465.357712722] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=47
[INFO] [1784295465.907416114] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=53
[INFO] [1784295466.407729872] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=58
[INFO] [1784295466.957496958] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=64
[INFO] [1784295467.507341229] [unitree_safe_cmd_node]: Move x=0.200, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=71
