[INFO] [1784211145.401470722] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1784211145.418432805] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/tju20260714test2-lx.csv
[INFO] [1784211145.419233433] [waypoint_follower]: route_transform_json: /tmp/go2_route_runtime/tju20260714test2-lx_1784207776.csv.relocalize.json
[INFO] [1784211145.419848424] [waypoint_follower]: route_frame_mode: True, yaw_old_from_current=-0.1100
[INFO] [1784211145.420444407] [waypoint_follower]: route points: 21
[INFO] [1784211145.421072583] [waypoint_follower]: v_base: 0.3, max_vx: 0.3, use_route_speed: True
[INFO] [1784211145.421671765] [waypoint_follower]: lateral_yaw_gain: 0.18, max_lateral_yaw_rate: 0.15, lateral_deadband: 0.03
[INFO] [1784211145.422309957] [waypoint_follower]: loop_mode: pingpong
[INFO] [1784211145.422880595] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1784211145.423457825] [waypoint_follower]: dynamic_lookahead: enabled=True, straight=0.9, corner=0.4, corner_angle_deg=60.0, scan_distance=1.0, corner_turn_distance=0.3
[INFO] [1784211145.424005071] [waypoint_follower]: reach_distance: 0.4
[INFO] [1784211145.424553757] [waypoint_follower]: turn_crawl_vx: 0.06
[INFO] [1784211145.439617841] [waypoint_follower]: odom_jump_limits: distance=0.8, z=0.5, dt=2.0
[INFO] [1784211145.440389348] [waypoint_follower]: start_policy: nearest, start_max_distance: 0.8, start_max_yaw_error: 0.9
[INFO] [1784211145.440979315] [waypoint_follower]: allow_global_relocalize: False, stuck_relocalize: False, recovery_distance: 1.0, recovery_heading_distance: 0.35, recovery_yaw_error: 0.75, recovery_vx: 0.2, max_route_deviation: 5.0
[INFO] [1784211145.441564225] [waypoint_follower]: soft_unstick_yaw_rate: 0.2, soft_unstick_min_moved: 0.12, progress_s_epsilon: 0.08
[INFO] [1784211145.442175664] [waypoint_follower]: projection_limits: speed_scale=1.2, step_margin=0.01, min_step=0.015, max_step=0.12, progress_forward_tolerance=0.45, progress_backtrack_tolerance=0.12
[INFO] [1784211145.492356329] [waypoint_follower]: init nearest_index=11, distance_to_start=2.851
[INFO] [1784211145.519618443] [waypoint_follower]: nearest=11, target=13, s=4.93/8.86, projected_segment_index=11, segment_t=0.03, raw_s=4.93, raw_segment_index=11, raw_t=0.03, projection_limited=False, target_s=5.83, target_xy=(2.55,-0.65), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.09, route_yaw=1.57, dist=0.90, route_d=0.07, lateral_error=0.07, route_heading_error=2.88, lateral_yaw_rate=-0.01, pose=(2.49,-1.55,-1.31), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=2.82, heading_control=lookahead_target:2.82, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=2.11, vx=0.02, yaw_rate=0.04, dir=1, turn_crawl=True
[INFO] [1784211146.522832237] [waypoint_follower]: nearest=11, target=13, s=4.92/8.86, projected_segment_index=11, segment_t=0.01, raw_s=4.92, raw_segment_index=11, raw_t=0.01, projection_limited=False, target_s=5.82, target_xy=(2.55,-0.66), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.07, route_yaw=1.57, dist=0.90, route_d=0.05, lateral_error=0.05, route_heading_error=2.88, lateral_yaw_rate=-0.01, pose=(2.50,-1.56,-1.31), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=2.83, heading_control=lookahead_target:2.83, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=2.12, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211147.521658944] [waypoint_follower]: nearest=11, target=13, s=4.92/8.86, projected_segment_index=11, segment_t=0.01, raw_s=4.92, raw_segment_index=11, raw_t=0.01, projection_limited=False, target_s=5.82, target_xy=(2.55,-0.66), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.07, route_yaw=1.57, dist=0.90, route_d=0.05, lateral_error=0.05, route_heading_error=2.89, lateral_yaw_rate=-0.01, pose=(2.51,-1.56,-1.32), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=2.84, heading_control=lookahead_target:2.84, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=2.13, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211148.569926359] [waypoint_follower]: nearest=11, target=13, s=4.92/8.86, projected_segment_index=10, segment_t=1.00, raw_s=4.92, raw_segment_index=10, raw_t=1.00, projection_limited=False, target_s=5.82, target_xy=(2.55,-0.66), lookahead_distance=0.90, corner_angle=0.20, corner_angle_deg=11.3, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.06, route_yaw=1.77, dist=0.91, route_d=0.05, lateral_error=0.05, route_heading_error=2.94, lateral_yaw_rate=-0.01, pose=(2.51,-1.57,-1.18), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=2.70, heading_control=lookahead_target:2.70, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=2.02, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211149.621859333] [waypoint_follower]: nearest=11, target=13, s=4.90/8.86, projected_segment_index=10, segment_t=0.96, raw_s=4.90, raw_segment_index=10, raw_t=0.96, projection_limited=False, target_s=5.80, target_xy=(2.55,-0.68), lookahead_distance=0.90, corner_angle=0.20, corner_angle_deg=11.3, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.03, route_yaw=1.77, dist=0.90, route_d=0.01, lateral_error=-0.01, route_heading_error=2.81, lateral_yaw_rate=0.00, pose=(2.56,-1.58,-1.05), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=2.63, heading_control=lookahead_target:2.63, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=1.97, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211150.620411338] [waypoint_follower]: nearest=11, target=13, s=4.94/8.86, projected_segment_index=11, segment_t=0.06, raw_s=4.94, raw_segment_index=11, raw_t=0.06, projection_limited=False, target_s=5.84, target_xy=(2.55,-0.64), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.12, route_yaw=1.57, dist=0.90, route_d=0.05, lateral_error=-0.05, route_heading_error=2.41, lateral_yaw_rate=0.01, pose=(2.61,-1.54,-0.84), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=2.47, heading_control=lookahead_target:2.47, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=1.85, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211151.670029882] [waypoint_follower]: nearest=11, target=13, s=4.88/8.86, projected_segment_index=10, segment_t=0.90, raw_s=4.88, raw_segment_index=10, raw_t=0.90, projection_limited=False, target_s=5.78, target_xy=(2.55,-0.71), lookahead_distance=0.90, corner_angle=0.20, corner_angle_deg=11.3, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=12, target_t=0.97, route_yaw=1.77, dist=0.89, route_d=0.09, lateral_error=-0.09, route_heading_error=2.38, lateral_yaw_rate=0.02, pose=(2.65,-1.59,-0.61), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=2.29, heading_control=lookahead_target:2.29, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=1.72, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211152.671434304] [waypoint_follower]: nearest=11, target=13, s=4.93/8.86, projected_segment_index=11, segment_t=0.02, raw_s=4.94, raw_segment_index=11, raw_t=0.05, projection_limited=True, target_s=5.83, target_xy=(2.55,-0.65), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.08, route_yaw=1.57, dist=0.90, route_d=0.14, lateral_error=-0.14, route_heading_error=1.97, lateral_yaw_rate=0.02, pose=(2.69,-1.54,-0.40), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=2.13, heading_control=lookahead_target:2.13, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=1.60, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211153.723741229] [waypoint_follower]: nearest=11, target=13, s=5.03/8.86, projected_segment_index=11, segment_t=0.25, raw_s=5.03, raw_segment_index=11, raw_t=0.25, projection_limited=False, target_s=5.93, target_xy=(2.56,-0.55), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.31, route_yaw=1.57, dist=0.92, route_d=0.17, lateral_error=-0.17, route_heading_error=1.53, lateral_yaw_rate=0.03, pose=(2.73,-1.45,0.04), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=1.71, heading_control=lookahead_target:1.71, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=1.28, vx=0.06, yaw_rate=0.45, dir=1, turn_crawl=True
[INFO] [1784211154.770281129] [waypoint_follower]: nearest=12, target=14, s=5.24/8.86, projected_segment_index=11, segment_t=0.70, raw_s=5.24, raw_segment_index=11, raw_t=0.70, projection_limited=False, target_s=6.14, target_xy=(2.57,-0.35), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.74, route_yaw=1.57, dist=0.91, route_d=0.16, lateral_error=-0.16, route_heading_error=0.71, lateral_yaw_rate=0.03, pose=(2.71,-1.25,0.86), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.87, heading_control=lookahead_target:0.87, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.66, vx=0.10, yaw_rate=0.45, dir=1, turn_crawl=False
[INFO] [1784211155.825482137] [waypoint_follower]: nearest=12, target=14, s=5.33/8.86, projected_segment_index=11, segment_t=0.92, raw_s=5.33, raw_segment_index=11, raw_t=0.92, projection_limited=False, target_s=6.23, target_xy=(2.57,-0.25), lookahead_distance=0.90, corner_angle=0.07, corner_angle_deg=4.0, corner_s=-1.00, corner_distance=-1.00, sharp_corner=False, target_segment_index=13, target_t=0.94, route_yaw=1.57, dist=0.90, route_d=0.11, lateral_error=-0.11, route_heading_error=0.31, lateral_yaw_rate=0.02, pose=(2.67,-1.15,1.26), recovery=False, dist_recovery=False, heading_recovery=False, target_alpha=0.41, heading_control=lookahead_target:0.41, corner_turn=False, corner_heading_error=0.00, heading_yaw_rate=0.31, vx=0.20, yaw_rate=0.33, dir=1, turn_crawl=False
