[INFO] [1784295987.950339938] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[INFO] [1784295987.951143891] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784295987.953561672] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784295988.480440005] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=20, nearest_x=0.59, clear_frames=2
[WARN] [1784295988.980636024] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=26, nearest_x=0.59, clear_frames=4
[WARN] [1784295989.480789600] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=27, nearest_x=0.60, clear_frames=5
[WARN] [1784295989.980902662] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=23, nearest_x=0.59, clear_frames=6
[INFO] [1784295990.481577150] [unitree_safe_cmd_node]: Move x=0.000, z=0.000, stop_count=0, roi_count=21, nearest_x=0.60, clear_frames=7
[INFO] [1784295991.030113579] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=19, nearest_x=0.64, clear_frames=8
[INFO] [1784295991.530330289] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=20, nearest_x=0.61, clear_frames=9
[INFO] [1784295992.030656196] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=25, nearest_x=0.60, clear_frames=10
[INFO] [1784295992.580095430] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=18, nearest_x=0.60, clear_frames=12
[INFO] [1784295993.080098965] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=38, nearest_x=0.59, clear_frames=13
[INFO] [1784295993.631844511] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=22, nearest_x=0.60, clear_frames=14
[INFO] [1784295994.180119218] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=18, nearest_x=0.58, clear_frames=15
[INFO] [1784295994.680297732] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=21, nearest_x=0.60, clear_frames=16
[INFO] [1784295995.230504890] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=30, nearest_x=0.59, clear_frames=17
[INFO] [1784295995.780348348] [unitree_safe_cmd_node]: Move x=0.060, z=-0.250, stop_count=0, roi_count=22, nearest_x=0.62, clear_frames=19
