[INFO] [1784296182.968680297] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[INFO] [1784296182.969527667] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784296182.977447137] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784296183.496911375] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[WARN] [1784296183.998948048] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [1784296184.547036528] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[WARN] [1784296185.047146163] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[WARN] [1784296185.547147650] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[WARN] [1784296186.096899381] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[WARN] [1784296186.647118661] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[WARN] [1784296187.147110926] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[WARN] [1784296187.697128372] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[WARN] [1784296188.246999430] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[WARN] [1784296188.748290151] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[WARN] [1784296189.296960026] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[WARN] [1784296189.796875188] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[WARN] [1784296190.346924459] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[WARN] [1784296190.847718568] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=13
[INFO] [1784296191.396385793] [unitree_safe_cmd_node]: Move x=0.027, z=0.069, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[INFO] [1784296191.896565988] [unitree_safe_cmd_node]: Move x=0.060, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[INFO] [1784296192.396623506] [unitree_safe_cmd_node]: Move x=0.060, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=17
[INFO] [1784296192.947047410] [unitree_safe_cmd_node]: Move x=0.060, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=20
[INFO] [1784296193.446465113] [unitree_safe_cmd_node]: Move x=0.060, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=22
[INFO] [1784296193.946718119] [unitree_safe_cmd_node]: Move x=0.060, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[INFO] [1784296194.496415315] [unitree_safe_cmd_node]: Move x=0.060, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=26
[INFO] [1784296194.996446042] [unitree_safe_cmd_node]: Move x=0.060, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=28
[INFO] [1784296195.496718860] [unitree_safe_cmd_node]: Move x=0.060, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=30
[INFO] [1784296196.046546569] [unitree_safe_cmd_node]: Move x=0.060, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=36
[INFO] [1784296196.546799634] [unitree_safe_cmd_node]: Move x=0.100, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=41
[INFO] [1784296197.096473391] [unitree_safe_cmd_node]: Move x=0.100, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=47
[INFO] [1784296197.646683137] [unitree_safe_cmd_node]: Move x=0.100, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=52
[INFO] [1784296198.196689032] [unitree_safe_cmd_node]: Move x=0.100, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=58
[INFO] [1784296198.703556628] [unitree_safe_cmd_node]: Move x=0.100, z=0.250, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=64
[INFO] [1784296199.247988611] [unitree_safe_cmd_node]: Move x=0.200, z=0.190, stop_count=0, roi_count=1, nearest_x=0.90, clear_frames=69
[INFO] [1784296199.796545538] [unitree_safe_cmd_node]: Move x=0.200, z=0.149, stop_count=0, roi_count=2, nearest_x=0.88, clear_frames=75
[INFO] [1784296200.302438607] [unitree_safe_cmd_node]: Move x=0.200, z=0.138, stop_count=0, roi_count=3, nearest_x=0.87, clear_frames=81
[INFO] [1784296200.846797056] [unitree_safe_cmd_node]: Move x=0.200, z=0.044, stop_count=0, roi_count=27, nearest_x=0.77, clear_frames=86
[INFO] [1784296201.347122649] [unitree_safe_cmd_node]: Move x=0.200, z=-0.020, stop_count=0, roi_count=52, nearest_x=0.71, clear_frames=91
[INFO] [1784296201.896537007] [unitree_safe_cmd_node]: Move x=0.200, z=-0.077, stop_count=0, roi_count=86, nearest_x=0.65, clear_frames=97
[INFO] [1784296202.399647961] [unitree_safe_cmd_node]: Move x=0.200, z=-0.135, stop_count=0, roi_count=134, nearest_x=0.56, clear_frames=103
[INFO] [1784296202.946839865] [unitree_safe_cmd_node]: Move x=0.200, z=-0.174, stop_count=0, roi_count=186, nearest_x=0.53, clear_frames=108
[INFO] [1784296203.496486838] [unitree_safe_cmd_node]: Move x=0.200, z=-0.195, stop_count=0, roi_count=177, nearest_x=0.46, clear_frames=114
[INFO] [1784296203.999241314] [unitree_safe_cmd_node]: Move x=0.200, z=-0.197, stop_count=0, roi_count=187, nearest_x=0.42, clear_frames=119
[INFO] [1784296204.546487071] [unitree_safe_cmd_node]: Move x=0.200, z=-0.210, stop_count=5, roi_count=126, nearest_x=0.36, clear_frames=125
[WARN] [1784296204.579970242] [unitree_safe_cmd_node]: OBSTACLE DETECTED: stop_count=15, roi_count=115, nearest_x=0.35
