[INFO] [1783777742.552522104] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1783777742.555315960] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1783777743.103975256] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [1783777743.604246744] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[WARN] [1783777744.154056376] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=8
[WARN] [1783777744.704096664] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[WARN] [1783777745.204108824] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[WARN] [1783777745.754089464] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[INFO] [1783777746.303922328] [unitree_safe_cmd_node]: Move x=0.500, z=0.122, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[INFO] [1783777746.853617112] [unitree_safe_cmd_node]: Move x=0.500, z=0.130, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[INFO] [1783777747.403993592] [unitree_safe_cmd_node]: Move x=0.500, z=0.127, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=17
[INFO] [1783777747.953791192] [unitree_safe_cmd_node]: Move x=0.500, z=0.126, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=19
[INFO] [1783777748.503780984] [unitree_safe_cmd_node]: Move x=0.500, z=0.124, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=20
[INFO] [1783777749.053631832] [unitree_safe_cmd_node]: Move x=0.500, z=0.122, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[INFO] [1783777749.603614328] [unitree_safe_cmd_node]: Move x=0.500, z=0.124, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=23
[INFO] [1783777750.153617400] [unitree_safe_cmd_node]: Move x=0.500, z=0.123, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[INFO] [1783777750.653848824] [unitree_safe_cmd_node]: Move x=0.500, z=0.124, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=26
[INFO] [1783777751.204300568] [unitree_safe_cmd_node]: Move x=0.500, z=0.125, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=29
[INFO] [1783777751.705163704] [unitree_safe_cmd_node]: Move x=0.500, z=0.083, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=32
[INFO] [1783777752.254090392] [unitree_safe_cmd_node]: Move x=0.500, z=0.012, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=34
[INFO] [1783777752.803680312] [unitree_safe_cmd_node]: Move x=0.500, z=-0.262, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=37
