[INFO] [1784458289.609732512] [waypoint_follower]: simple csv waypoint_follower started
[INFO] [1784458289.611342464] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/xbf0719test1.csv
[INFO] [1784458289.611931040] [waypoint_follower]: route_transform_json: identity
[INFO] [1784458289.612508672] [waypoint_follower]: route_frame_mode: False, yaw_old_from_current=0.0000
[INFO] [1784458289.613048128] [waypoint_follower]: route points: 196
[INFO] [1784458289.613594848] [waypoint_follower]: v_base: 0.5, max_vx: 0.5, use_route_speed: True
[INFO] [1784458289.614154592] [waypoint_follower]: lateral_yaw_gain: 0.18, max_lateral_yaw_rate: 0.15, lateral_deadband: 0.03
[INFO] [1784458289.614686432] [waypoint_follower]: loop_mode: pingpong
[INFO] [1784458289.615213088] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1784458289.615759904] [waypoint_follower]: dynamic_lookahead: enabled=True, straight=0.7, corner=0.25, corner_angle_deg=60.0, scan_distance=1.0, corner_turn_distance=0.55, corner_exit_distance=0.3, corner_heading_blend=0.2, corner_lateral_scale=0.4
[INFO] [1784458289.616294496] [waypoint_follower]: reach_distance: 0.4
[INFO] [1784458289.616821376] [waypoint_follower]: turn_crawl_vx: 0.06
[INFO] [1784458289.617345536] [waypoint_follower]: odom_jump_limits: distance=0.8, z=0.5, dt=2.0
[INFO] [1784458289.617867584] [waypoint_follower]: start_policy: route_start, start_max_distance: 0.5, start_max_yaw_error: 0.9
[INFO] [1784458289.625752544] [waypoint_follower]: allow_global_relocalize: False, stuck_relocalize: False, recovery_distance: 1.0, recovery_heading_distance: 0.35, recovery_yaw_error: 0.75, recovery_vx: 0.2, max_route_deviation: 5.0
[INFO] [1784458289.627049920] [waypoint_follower]: soft_unstick_yaw_rate: 0.2, soft_unstick_min_moved: 0.12, progress_s_epsilon: 0.08
[INFO] [1784458289.627611584] [waypoint_follower]: projection_limits: speed_scale=1.2, step_margin=0.01, min_step=0.015, max_step=0.12, progress_forward_tolerance=0.45, progress_backtrack_tolerance=0.12
[ERROR] [1784458289.633044352] [waypoint_follower]: route start mismatch: current=(-0.010,0.011,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.872/0.500, yaw_error=0.218/0.900; hold stop
[ERROR] [1784458291.781900416] [waypoint_follower]: route start mismatch: current=(-0.015,0.017,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.878/0.500, yaw_error=0.218/0.900; hold stop
[ERROR] [1784458293.886982496] [waypoint_follower]: route start mismatch: current=(-0.015,0.005,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.867/0.500, yaw_error=0.218/0.900; hold stop
[ERROR] [1784458296.097772672] [waypoint_follower]: route start mismatch: current=(-0.005,0.015,0.001), route_start=(2.773,-9.460,-0.219), distance=9.874/0.500, yaw_error=0.220/0.900; hold stop
[ERROR] [1784458298.170606976] [waypoint_follower]: route start mismatch: current=(-0.012,0.006,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.867/0.500, yaw_error=0.218/0.900; hold stop
[ERROR] [1784458300.203013984] [waypoint_follower]: route start mismatch: current=(-0.009,0.007,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.867/0.500, yaw_error=0.218/0.900; hold stop
[ERROR] [1784458302.261086432] [waypoint_follower]: route start mismatch: current=(-0.010,0.011,-0.000), route_start=(2.773,-9.460,-0.219), distance=9.871/0.500, yaw_error=0.219/0.900; hold stop
[ERROR] [1784458304.352989984] [waypoint_follower]: route start mismatch: current=(-0.008,0.016,-0.000), route_start=(2.773,-9.460,-0.219), distance=9.875/0.500, yaw_error=0.219/0.900; hold stop
[ERROR] [1784458306.451820832] [waypoint_follower]: route start mismatch: current=(-0.012,0.015,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.876/0.500, yaw_error=0.218/0.900; hold stop
[ERROR] [1784458308.535650528] [waypoint_follower]: route start mismatch: current=(-0.014,0.006,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.868/0.500, yaw_error=0.218/0.900; hold stop
[ERROR] [1784458310.566852096] [waypoint_follower]: route start mismatch: current=(-0.011,0.012,-0.000), route_start=(2.773,-9.460,-0.219), distance=9.873/0.500, yaw_error=0.219/0.900; hold stop
[ERROR] [1784458312.664739680] [waypoint_follower]: route start mismatch: current=(-0.012,0.012,-0.001), route_start=(2.773,-9.460,-0.219), distance=9.873/0.500, yaw_error=0.218/0.900; hold stop
