[INFO] [1782536984.404160120] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1782536984.405292271] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/route_test_0518.csv
[INFO] [1782536984.405992541] [waypoint_follower]: route points: 554
[INFO] [1782536984.407885891] [waypoint_follower]: loop_mode: pingpong
[INFO] [1782536984.409331489] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1782536984.409961165] [waypoint_follower]: reach_distance: 0.4
[INFO] [1782536984.464702948] [waypoint_follower]: init nearest_index=0, distance_to_start=0.030
[INFO] [1782536984.472737351] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782536985.521037418] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1782536986.521167417] [waypoint_follower]: nearest=0, target=2, dist=0.86, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[WARN] [1782536987.471236359] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [1782536987.521187777] [waypoint_follower]: nearest=0, target=2, dist=0.78, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1782536988.526976154] [waypoint_follower]: nearest=1, target=3, dist=0.97, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1782536989.571392357] [waypoint_follower]: nearest=2, target=4, dist=0.98, alpha=-0.04, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1782536990.621369791] [waypoint_follower]: nearest=3, target=5, dist=0.88, alpha=-0.11, vx=0.50, yaw_rate=-0.10, dir=1
[INFO] [1782536991.673139549] [waypoint_follower]: nearest=4, target=6, dist=0.95, alpha=-0.16, vx=0.50, yaw_rate=-0.14, dir=1
[INFO] [1782536992.671298765] [waypoint_follower]: nearest=5, target=7, dist=0.80, alpha=-0.19, vx=0.50, yaw_rate=-0.17, dir=1
[INFO] [1782536993.721225504] [waypoint_follower]: nearest=8, target=10, dist=1.09, alpha=0.02, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1782536994.771148304] [waypoint_follower]: nearest=9, target=11, dist=0.94, alpha=0.26, vx=0.50, yaw_rate=0.24, dir=1
[INFO] [1782536995.771293182] [waypoint_follower]: nearest=10, target=12, dist=0.93, alpha=0.36, vx=0.50, yaw_rate=0.33, dir=1
[INFO] [1782536996.821227688] [waypoint_follower]: nearest=11, target=13, dist=0.88, alpha=0.29, vx=0.50, yaw_rate=0.26, dir=1
[INFO] [1782536997.871170321] [waypoint_follower]: nearest=12, target=14, dist=0.85, alpha=-0.15, vx=0.50, yaw_rate=-0.13, dir=1
[INFO] [1782536998.920948244] [waypoint_follower]: nearest=13, target=15, dist=0.84, alpha=-0.67, vx=0.25, yaw_rate=-0.45, dir=1
[INFO] [1782536999.921223123] [waypoint_follower]: nearest=14, target=16, dist=0.97, alpha=-0.87, vx=0.25, yaw_rate=-0.45, dir=1
[INFO] [1782537000.971202739] [waypoint_follower]: nearest=15, target=17, dist=1.07, alpha=-0.47, vx=0.50, yaw_rate=-0.42, dir=1
[INFO] [1782537002.021144240] [waypoint_follower]: nearest=15, target=17, dist=0.82, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1782537003.021225341] [waypoint_follower]: nearest=16, target=18, dist=0.96, alpha=0.59, vx=0.25, yaw_rate=0.45, dir=1
[INFO] [1782537004.071175636] [waypoint_follower]: nearest=17, target=19, dist=1.02, alpha=0.93, vx=0.25, yaw_rate=0.45, dir=1
[INFO] [1782537005.120966051] [waypoint_follower]: nearest=17, target=19, dist=0.80, alpha=0.69, vx=0.25, yaw_rate=0.45, dir=1
[INFO] [1782537006.121240454] [waypoint_follower]: nearest=18, target=20, dist=0.99, alpha=0.15, vx=0.50, yaw_rate=0.14, dir=1
[INFO] [1782537007.171266066] [waypoint_follower]: nearest=18, target=20, dist=0.73, alpha=-0.42, vx=0.50, yaw_rate=-0.38, dir=1
[INFO] [1782537008.221033334] [waypoint_follower]: nearest=19, target=21, dist=0.83, alpha=-0.89, vx=0.25, yaw_rate=-0.45, dir=1
[INFO] [1782537009.221319336] [waypoint_follower]: nearest=20, target=22, dist=0.97, alpha=-0.65, vx=0.25, yaw_rate=-0.45, dir=1
[INFO] [1782537010.271181093] [waypoint_follower]: nearest=20, target=22, dist=0.75, alpha=-0.23, vx=0.50, yaw_rate=-0.21, dir=1
[INFO] [1782537011.271291848] [waypoint_follower]: nearest=21, target=23, dist=0.91, alpha=0.40, vx=0.50, yaw_rate=0.36, dir=1
[INFO] [1782537012.271256194] [waypoint_follower]: nearest=22, target=24, dist=0.90, alpha=0.69, vx=0.25, yaw_rate=0.45, dir=1
[INFO] [1782537013.321006157] [waypoint_follower]: nearest=23, target=25, dist=1.07, alpha=0.29, vx=0.50, yaw_rate=0.27, dir=1
[INFO] [1782537014.371078651] [waypoint_follower]: nearest=23, target=25, dist=0.81, alpha=-0.23, vx=0.50, yaw_rate=-0.21, dir=1
[INFO] [1782537015.371078564] [waypoint_follower]: nearest=24, target=26, dist=0.81, alpha=-0.61, vx=0.25, yaw_rate=-0.45, dir=1
[INFO] [1782537016.371284265] [waypoint_follower]: nearest=25, target=27, dist=0.91, alpha=-0.35, vx=0.50, yaw_rate=-0.32, dir=1
[INFO] [1782537017.421171235] [waypoint_follower]: nearest=26, target=28, dist=0.97, alpha=0.17, vx=0.50, yaw_rate=0.15, dir=1
[INFO] [1782537018.421227449] [waypoint_follower]: nearest=27, target=29, dist=1.02, alpha=0.51, vx=0.25, yaw_rate=0.45, dir=1
[INFO] [1782537019.471192874] [waypoint_follower]: nearest=28, target=30, dist=0.95, alpha=0.22, vx=0.50, yaw_rate=0.20, dir=1
[INFO] [1782537020.521124181] [waypoint_follower]: nearest=29, target=31, dist=0.98, alpha=-0.24, vx=0.50, yaw_rate=-0.22, dir=1
[INFO] [1782537021.521189271] [waypoint_follower]: nearest=30, target=32, dist=0.94, alpha=-0.36, vx=0.50, yaw_rate=-0.32, dir=1
