[INFO] [1782632487.550824578] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1782632487.555148159] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1782632488.093997425] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[WARN] [1782632488.594357849] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[WARN] [1782632489.094461762] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[WARN] [1782632489.645280265] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[WARN] [1782632490.197107423] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=19
[WARN] [1782632490.744289393] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[WARN] [1782632491.248660050] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=23
[WARN] [1782632491.794138430] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=25
[WARN] [1782632492.344345652] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=28
[WARN] [1782632492.893899406] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=30
[WARN] [1782632493.394127675] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=32
[WARN] [1782632493.944196949] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=34
[WARN] [1782632494.494090624] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=37
[WARN] [1782632495.044650144] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=40
[WARN] [1782632495.594329252] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=43
[WARN] [1782632496.094531320] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=45
[INFO] [1782632496.643748308] [unitree_safe_cmd_node]: Move x=0.500, z=0.054, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=47
[INFO] [1782632497.143860158] [unitree_safe_cmd_node]: Move x=0.500, z=0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=49
[INFO] [1782632497.644226062] [unitree_safe_cmd_node]: Move x=0.500, z=0.049, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=51
[INFO] [1782632498.194529356] [unitree_safe_cmd_node]: Move x=0.500, z=0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=55
[INFO] [1782632498.743907690] [unitree_safe_cmd_node]: Move x=0.500, z=0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=59
[INFO] [1782632499.244125267] [unitree_safe_cmd_node]: Move x=0.500, z=0.049, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=63
[INFO] [1782632499.793963670] [unitree_safe_cmd_node]: Move x=0.500, z=0.018, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=68
[INFO] [1782632500.343933075] [unitree_safe_cmd_node]: Move x=0.500, z=-0.031, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=72
[INFO] [1782632500.843944311] [unitree_safe_cmd_node]: Move x=0.500, z=-0.064, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=74
[INFO] [1782632501.393829893] [unitree_safe_cmd_node]: Move x=0.500, z=-0.107, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=77
[INFO] [1782632501.893805920] [unitree_safe_cmd_node]: Move x=0.500, z=-0.099, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=79
[INFO] [1782632502.393904785] [unitree_safe_cmd_node]: Move x=0.500, z=-0.164, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=82
[INFO] [1782632502.943819148] [unitree_safe_cmd_node]: Move x=0.500, z=-0.199, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=84
[INFO] [1782632503.494256714] [unitree_safe_cmd_node]: Move x=0.500, z=-0.243, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=86
[INFO] [1782632504.043956780] [unitree_safe_cmd_node]: Move x=0.500, z=-0.247, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=92
[INFO] [1782632504.543990892] [unitree_safe_cmd_node]: Move x=0.500, z=-0.223, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=97
[INFO] [1782632505.044518395] [unitree_safe_cmd_node]: Move x=0.500, z=-0.089, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=102
[INFO] [1782632505.594306423] [unitree_safe_cmd_node]: Move x=0.500, z=0.182, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=108
[INFO] [1782632506.094210187] [unitree_safe_cmd_node]: Move x=0.500, z=0.434, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=114
[INFO] [1782632506.643943695] [unitree_safe_cmd_node]: Move x=0.250, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=120
[INFO] [1782632507.193902678] [unitree_safe_cmd_node]: Move x=0.250, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=126
[INFO] [1782632507.693866761] [unitree_safe_cmd_node]: Move x=0.250, z=0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=131
[INFO] [1782632508.194257822] [unitree_safe_cmd_node]: Move x=0.500, z=0.375, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=136
[INFO] [1782632508.744314200] [unitree_safe_cmd_node]: Move x=0.500, z=0.187, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=142
[INFO] [1782632509.294012563] [unitree_safe_cmd_node]: Move x=0.500, z=-0.199, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=148
[INFO] [1782632509.843937165] [unitree_safe_cmd_node]: Move x=0.250, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=154
[INFO] [1782632510.344400257] [unitree_safe_cmd_node]: Move x=0.250, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=159
[INFO] [1782632510.894252277] [unitree_safe_cmd_node]: Move x=0.250, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=165
