[INFO] [1783250642.196808165] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1783250642.212709056] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1783250642.728743930] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[WARN] [1783250643.230578593] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [1783250643.778831416] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[WARN] [1783250644.330375588] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=7
[WARN] [1783250644.878636812] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[WARN] [1783250645.378807383] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[WARN] [1783250645.878849904] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[WARN] [1783250646.428823297] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=13
[WARN] [1783250646.978869898] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[WARN] [1783250647.478809099] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[WARN] [1783250647.978832494] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[WARN] [1783250648.480020423] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[WARN] [1783250649.028828846] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=20
[WARN] [1783250649.528861660] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[WARN] [1783250650.028921674] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=22
[WARN] [1783250650.578945815] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=23
[WARN] [1783250651.079147261] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[WARN] [1783250651.628678114] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=26
[WARN] [1783250652.178674928] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=29
[WARN] [1783250652.678727456] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=31
[WARN] [1783250653.228731452] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=33
[WARN] [1783250653.728707870] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=35
[WARN] [1783250654.228858583] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=40
[WARN] [1783250654.778753315] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=42
[WARN] [1783250655.278721923] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=43
[WARN] [1783250655.828597216] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=45
[WARN] [1783250656.328703354] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=46
[INFO] [1783250656.878361725] [unitree_safe_cmd_node]: Move x=0.000, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=47
[INFO] [1783250657.378477705] [unitree_safe_cmd_node]: Move x=0.100, z=-0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=48
[INFO] [1783250657.928495122] [unitree_safe_cmd_node]: Move x=0.100, z=-0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=49
[INFO] [1783250658.428723349] [unitree_safe_cmd_node]: Move x=0.100, z=-0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=50
[INFO] [1783250658.978798803] [unitree_safe_cmd_node]: Move x=0.100, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=51
[INFO] [1783250659.530675203] [unitree_safe_cmd_node]: Move x=0.100, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=54
[INFO] [1783250660.031126945] [unitree_safe_cmd_node]: Move x=0.100, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=56
[INFO] [1783250660.578443154] [unitree_safe_cmd_node]: Move x=0.100, z=-0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=57
[INFO] [1783250661.078420744] [unitree_safe_cmd_node]: Move x=0.100, z=-0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=58
[INFO] [1783250661.628450202] [unitree_safe_cmd_node]: Move x=0.100, z=-0.050, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=60
[INFO] [1783250662.128620205] [unitree_safe_cmd_node]: Move x=0.100, z=-0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=61
[INFO] [1783250662.628793697] [unitree_safe_cmd_node]: Move x=0.100, z=-0.041, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=62
[INFO] [1783250663.179186794] [unitree_safe_cmd_node]: Move x=0.100, z=-0.037, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=65
[INFO] [1783250663.728909457] [unitree_safe_cmd_node]: Move x=0.100, z=-0.042, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=67
[INFO] [1783250664.228708213] [unitree_safe_cmd_node]: Move x=0.100, z=-0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=69
[INFO] [1783250664.778717181] [unitree_safe_cmd_node]: Move x=0.100, z=-0.040, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=74
[INFO] [1783250665.279853370] [unitree_safe_cmd_node]: Move x=0.100, z=-0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=78
[INFO] [1783250665.829694124] [unitree_safe_cmd_node]: Move x=0.100, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=82
[INFO] [1783250666.382666914] [unitree_safe_cmd_node]: Move x=0.100, z=-0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=88
[INFO] [1783250666.937965506] [unitree_safe_cmd_node]: Move x=0.100, z=-0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=94
[INFO] [1783250667.478516861] [unitree_safe_cmd_node]: Move x=0.100, z=-0.040, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=99
[INFO] [1783250668.028539964] [unitree_safe_cmd_node]: Move x=0.100, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=105
[INFO] [1783250668.578342213] [unitree_safe_cmd_node]: Move x=0.100, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=111
[INFO] [1783250669.078651075] [unitree_safe_cmd_node]: Move x=0.100, z=-0.041, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=116
[INFO] [1783250669.628597510] [unitree_safe_cmd_node]: Move x=0.100, z=-0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=122
[INFO] [1783250670.128862516] [unitree_safe_cmd_node]: Move x=0.100, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=125
[INFO] [1783250670.678657794] [unitree_safe_cmd_node]: Move x=0.100, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=131
[INFO] [1783250671.178765948] [unitree_safe_cmd_node]: Move x=0.100, z=-0.042, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=137
[INFO] [1783250671.728802666] [unitree_safe_cmd_node]: Move x=0.100, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=142
[INFO] [1783250672.278359945] [unitree_safe_cmd_node]: Move x=0.100, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=148
[INFO] [1783250672.778455359] [unitree_safe_cmd_node]: Move x=0.100, z=-0.042, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=154
[INFO] [1783250673.278773449] [unitree_safe_cmd_node]: Move x=0.100, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=159
[INFO] [1783250673.778836405] [unitree_safe_cmd_node]: Move x=0.100, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=164
[INFO] [1783250674.328806828] [unitree_safe_cmd_node]: Move x=0.100, z=-0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=168
[INFO] [1783250674.878990043] [unitree_safe_cmd_node]: Move x=0.100, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=174
[INFO] [1783250675.428403553] [unitree_safe_cmd_node]: Move x=0.100, z=-0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=181
[INFO] [1783250675.928528927] [unitree_safe_cmd_node]: Move x=0.100, z=-0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=186
[INFO] [1783250676.480429811] [unitree_safe_cmd_node]: Move x=0.100, z=-0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=192
[INFO] [1783250677.028520925] [unitree_safe_cmd_node]: Move x=0.100, z=-0.050, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=199
[INFO] [1783250677.528709741] [unitree_safe_cmd_node]: Move x=0.100, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=204
[INFO] [1783250678.078593922] [unitree_safe_cmd_node]: Move x=0.100, z=-0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=210
[INFO] [1783250678.579006294] [unitree_safe_cmd_node]: Move x=0.100, z=-0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=215
[INFO] [1783250679.078749153] [unitree_safe_cmd_node]: Move x=0.100, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=220
[INFO] [1783250679.585013750] [unitree_safe_cmd_node]: Move x=0.100, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=225
