[INFO] [1782625681.540125676] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1782625681.542944949] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1782625682.087608676] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [1782625682.587881432] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[WARN] [1782625683.137258340] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[WARN] [1782625683.638119444] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=13
[WARN] [1782625684.187703852] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[WARN] [1782625684.737636219] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=18
[WARN] [1782625685.287316820] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=22
[WARN] [1782625685.787604912] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[WARN] [1782625686.337570865] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=26
[WARN] [1782625686.887222010] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=28
[WARN] [1782625687.388089800] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=29
[WARN] [1782625687.937525466] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=31
[WARN] [1782625688.437866126] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=33
[WARN] [1782625688.991358659] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=38
[WARN] [1782625689.537507942] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=42
[INFO] [1782625690.037506487] [unitree_safe_cmd_node]: Move x=0.000, z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=43
[INFO] [1782625690.587137756] [unitree_safe_cmd_node]: Move x=0.500, z=0.043, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=45
[INFO] [1782625691.093033792] [unitree_safe_cmd_node]: Move x=0.500, z=0.049, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=48
[INFO] [1782625691.637413470] [unitree_safe_cmd_node]: Move x=0.500, z=0.056, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=51
[INFO] [1782625692.187102556] [unitree_safe_cmd_node]: Move x=0.500, z=0.052, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=53
[INFO] [1782625692.688441769] [unitree_safe_cmd_node]: Move x=0.500, z=0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=55
[INFO] [1782625693.237271478] [unitree_safe_cmd_node]: Move x=0.500, z=0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=56
[INFO] [1782625693.788861166] [unitree_safe_cmd_node]: Move x=0.500, z=0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=58
[INFO] [1782625694.337509156] [unitree_safe_cmd_node]: Move x=0.500, z=0.050, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=61
[INFO] [1782625694.887155911] [unitree_safe_cmd_node]: Move x=0.500, z=-0.012, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=66
[INFO] [1782625695.387320965] [unitree_safe_cmd_node]: Move x=0.500, z=-0.065, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=68
[INFO] [1782625695.937409286] [unitree_safe_cmd_node]: Move x=0.500, z=-0.203, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=73
[INFO] [1782625696.487538338] [unitree_safe_cmd_node]: Move x=0.500, z=-0.302, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=76
[INFO] [1782625697.037232102] [unitree_safe_cmd_node]: Move x=0.500, z=-0.391, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=78
[INFO] [1782625697.538416775] [unitree_safe_cmd_node]: Move x=0.500, z=-0.384, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=80
[INFO] [1782625698.087403952] [unitree_safe_cmd_node]: Move x=0.250, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=85
[INFO] [1782625698.637294482] [unitree_safe_cmd_node]: Move x=0.250, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=91
[INFO] [1782625699.187948975] [unitree_safe_cmd_node]: Move x=0.500, z=-0.299, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=96
[INFO] [1782625699.687607353] [unitree_safe_cmd_node]: Move x=0.500, z=-0.134, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=101
[INFO] [1782625700.237829528] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=106
[INFO] [1782625700.738115749] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=111
[INFO] [1782625701.287143579] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=116
[INFO] [1782625701.787140414] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=121
[INFO] [1782625702.287249884] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=125
[INFO] [1782625702.787611451] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=130
[INFO] [1782625703.337753582] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=136
[INFO] [1782625703.888248643] [unitree_safe_cmd_node]: Move x=0.000, z=-0.450, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=142
