[INFO] [1783251176.347079477] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[WARN] [1783251176.354163146] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1783251176.857205321] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[WARN] [1783251177.401929185] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[WARN] [1783251177.902033574] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[WARN] [1783251178.403252380] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=12
[WARN] [1783251178.952406320] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[WARN] [1783251179.452248882] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=17
[WARN] [1783251180.002029861] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=19
[WARN] [1783251180.552217969] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[WARN] [1783251181.053017722] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[WARN] [1783251181.602024376] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=27
[WARN] [1783251182.102239713] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=30
[WARN] [1783251182.602553248] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=32
[WARN] [1783251183.151841169] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=35
[WARN] [1783251183.656819959] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=37
[WARN] [1783251184.217794364] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=43
[WARN] [1783251184.753895619] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=49
[WARN] [1783251185.301862797] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=55
[WARN] [1783251185.802032764] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=57
[WARN] [1783251186.302014557] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=60
[INFO] [1783251186.802619016] [unitree_safe_cmd_node]: Move x=0.100, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=60
[INFO] [1783251187.302927619] [unitree_safe_cmd_node]: Move x=0.100, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=62
[INFO] [1783251187.852781524] [unitree_safe_cmd_node]: Move x=0.100, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=64
[INFO] [1783251188.352424366] [unitree_safe_cmd_node]: Move x=0.100, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=66
[INFO] [1783251188.902374129] [unitree_safe_cmd_node]: Move x=0.100, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=68
[INFO] [1783251189.402566152] [unitree_safe_cmd_node]: Move x=0.100, z=-0.048, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=70
[INFO] [1783251189.952273173] [unitree_safe_cmd_node]: Move x=0.100, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=72
[INFO] [1783251190.457944421] [unitree_safe_cmd_node]: Move x=0.100, z=-0.047, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=74
[INFO] [1783251190.960339425] [unitree_safe_cmd_node]: Move x=0.100, z=-0.050, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=76
[INFO] [1783251191.503466571] [unitree_safe_cmd_node]: Move x=0.100, z=-0.046, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=77
[INFO] [1783251192.053415868] [unitree_safe_cmd_node]: Move x=0.100, z=0.009, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=79
[INFO] [1783251192.604108368] [unitree_safe_cmd_node]: Move x=0.100, z=0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=83
[INFO] [1783251193.152164543] [unitree_safe_cmd_node]: Move x=0.100, z=0.044, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=86
[INFO] [1783251193.701908492] [unitree_safe_cmd_node]: Move x=0.100, z=0.038, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=88
[INFO] [1783251194.206159812] [unitree_safe_cmd_node]: Move x=0.100, z=0.045, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=93
[INFO] [1783251194.752633936] [unitree_safe_cmd_node]: Move x=0.100, z=0.041, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=98
[INFO] [1783251195.302183007] [unitree_safe_cmd_node]: Move x=0.100, z=0.031, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=102
[INFO] [1783251195.852075151] [unitree_safe_cmd_node]: Move x=0.100, z=0.035, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=106
[INFO] [1783251196.403628413] [unitree_safe_cmd_node]: Move x=0.100, z=0.033, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=111
[INFO] [1783251196.952117211] [unitree_safe_cmd_node]: Move x=0.100, z=0.029, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=118
[INFO] [1783251197.501885193] [unitree_safe_cmd_node]: Move x=0.100, z=0.031, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=124
[INFO] [1783251198.002032071] [unitree_safe_cmd_node]: Move x=0.100, z=0.031, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=128
[INFO] [1783251198.552161645] [unitree_safe_cmd_node]: Move x=0.100, z=0.028, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=135
[INFO] [1783251199.053497688] [unitree_safe_cmd_node]: Move x=0.100, z=0.028, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=141
[INFO] [1783251199.601684543] [unitree_safe_cmd_node]: Move x=0.100, z=0.036, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=147
[INFO] [1783251200.105631450] [unitree_safe_cmd_node]: Move x=0.100, z=0.025, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=153
[INFO] [1783251200.651690076] [unitree_safe_cmd_node]: Move x=0.100, z=0.033, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=159
[INFO] [1783251201.152729952] [unitree_safe_cmd_node]: Move x=0.100, z=0.030, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=164
[INFO] [1783251201.702810837] [unitree_safe_cmd_node]: Move x=0.100, z=0.035, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=169
[INFO] [1783251202.251798504] [unitree_safe_cmd_node]: Move x=0.100, z=0.030, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=176
[INFO] [1783251202.754798340] [unitree_safe_cmd_node]: Move x=0.100, z=0.031, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=182
[INFO] [1783251203.301834805] [unitree_safe_cmd_node]: Move x=0.100, z=0.032, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=188
