[INFO] [1784290333.428360864] [unitree_safe_cmd_node]: unitree_safe_cmd_node ACTIVE: obstacle -> Move(0,0,0), resume after 5 clear frames
[INFO] [1784290333.429165114] [unitree_safe_cmd_node]: output mode: Twist -> /cmd_vel
[WARN] [1784290333.431674762] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=0
[WARN] [1784290333.950841220] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=2
[WARN] [1784290334.450880407] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=3
[WARN] [1784290335.000936848] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=4
[WARN] [1784290335.551203184] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=5
[WARN] [1784290336.102542930] [unitree_safe_cmd_node]: SAFE OVERRIDE cmd_timeout: Move x=0.000, z=0.000, raw_x=0.000, raw_z=0.000, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=6
[INFO] [1784290336.651551594] [unitree_safe_cmd_node]: Move x=0.071, z=0.150, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=9
[INFO] [1784290337.200720550] [unitree_safe_cmd_node]: Move x=0.120, z=0.151, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=10
[INFO] [1784290337.750761535] [unitree_safe_cmd_node]: Move x=0.120, z=0.152, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=11
[INFO] [1784290338.250847732] [unitree_safe_cmd_node]: Move x=0.120, z=0.153, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=13
[INFO] [1784290338.750840774] [unitree_safe_cmd_node]: Move x=0.120, z=0.152, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=14
[INFO] [1784290339.251896826] [unitree_safe_cmd_node]: Move x=0.120, z=0.151, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=15
[INFO] [1784290339.805841776] [unitree_safe_cmd_node]: Move x=0.120, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=16
[INFO] [1784290340.350940553] [unitree_safe_cmd_node]: Move x=0.120, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=17
[INFO] [1784290340.854578576] [unitree_safe_cmd_node]: Move x=0.120, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=19
[INFO] [1784290341.400769645] [unitree_safe_cmd_node]: Move x=0.120, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=21
[INFO] [1784290341.900792960] [unitree_safe_cmd_node]: Move x=0.120, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=24
[INFO] [1784290342.401758290] [unitree_safe_cmd_node]: Move x=0.120, z=0.200, stop_count=0, roi_count=0, nearest_x=inf, clear_frames=26
