[INFO] [1784534601.496442378] [route_recorder]: route_recorder started
[INFO] [1784534601.502405354] [route_recorder]: odom_topic: /Odometry
[INFO] [1784534601.507411520] [route_recorder]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/xbf0720-1.csv
[INFO] [1784534601.512486806] [route_recorder]: raw_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/raw/xbf0720-1.raw.csv
[INFO] [1784534601.516143869] [route_recorder]: adaptive sampling: straight=0.20m, turn=0.10m, enter=5.0deg/2 samples, exit=2.0deg over 0.25m
[INFO] [1784534601.518487670] [route_recorder]: final route cleanup: xy_tolerance=0.030m, spike_lateral=0.060m, turn_zone=0.30m
[INFO] [1784534601.526598541] [route_recorder]: quality gate: warmup=4.0s, stable_samples=5, max_odom_step=0.30m, max_record_step=0.80m (0=disabled), global_heading_gate=0.0deg
[INFO] [1784534601.536256372] [route_recorder]: close sanitizer: enabled=False (disabled by default), turn=90.0deg, lateral=0.20m, rejoin_heading=30.0deg
[INFO] [1784534604.387802450] [route_recorder]: quality gate ready; recording route points from the current pose
[INFO] [1784534604.388747132] [route_recorder]: saved point 0: x=-0.019, y=-0.019, yaw=-0.000, mode=straight
[INFO] [1784534628.444094471] [route_recorder]: saved point 1: x=0.332, y=-0.007, yaw=0.007, mode=straight
[WARN] [1784534628.556699169] [route_recorder]: ignored odometry jump: step=0.350m exceeds max_odom_step=0.300m
[WARN] [1784534628.670550698] [route_recorder]: ignored odometry jump: step=0.612m exceeds max_odom_step=0.300m
[WARN] [1784534628.793673767] [route_recorder]: ignored odometry jump: step=0.802m exceeds max_odom_step=0.300m
[WARN] [1784534629.016839298] [route_recorder]: ignored odometry jump: step=0.937m exceeds max_odom_step=0.300m
[WARN] [1784534629.126821633] [route_recorder]: ignored odometry jump: step=1.008m exceeds max_odom_step=0.300m
[WARN] [1784534629.243852856] [route_recorder]: ignored odometry jump: step=1.051m exceeds max_odom_step=0.300m
[WARN] [1784534629.384350740] [route_recorder]: ignored odometry jump: step=1.251m exceeds max_odom_step=0.300m
[WARN] [1784534629.518842694] [route_recorder]: ignored odometry jump: step=1.411m exceeds max_odom_step=0.300m
[WARN] [1784534629.651426815] [route_recorder]: ignored odometry jump: step=1.481m exceeds max_odom_step=0.300m
[WARN] [1784534629.708482632] [route_recorder]: ignored odometry jump: step=1.559m exceeds max_odom_step=0.300m
[WARN] [1784534629.819489748] [route_recorder]: ignored odometry jump: step=1.716m exceeds max_odom_step=0.300m
[WARN] [1784534629.921507343] [route_recorder]: ignored odometry jump: step=1.947m exceeds max_odom_step=0.300m
[WARN] [1784534630.016984858] [route_recorder]: ignored odometry jump: step=2.014m exceeds max_odom_step=0.300m
[WARN] [1784534630.106795169] [route_recorder]: ignored odometry jump: step=2.088m exceeds max_odom_step=0.300m
[WARN] [1784534630.207386447] [route_recorder]: ignored odometry jump: step=2.168m exceeds max_odom_step=0.300m
[WARN] [1784534630.314804884] [route_recorder]: ignored odometry jump: step=2.259m exceeds max_odom_step=0.300m
[WARN] [1784534630.412507806] [route_recorder]: ignored odometry jump: step=2.399m exceeds max_odom_step=0.300m
[WARN] [1784534630.515301576] [route_recorder]: ignored odometry jump: step=2.463m exceeds max_odom_step=0.300m
[WARN] [1784534630.595256276] [route_recorder]: ignored odometry jump: step=2.530m exceeds max_odom_step=0.300m
[WARN] [1784534630.708163421] [route_recorder]: ignored odometry jump: step=2.604m exceeds max_odom_step=0.300m
[WARN] [1784534630.799496568] [route_recorder]: ignored odometry jump: step=2.725m exceeds max_odom_step=0.300m
[WARN] [1784534630.884745030] [route_recorder]: ignored odometry jump: step=2.808m exceeds max_odom_step=0.300m
[WARN] [1784534630.989712011] [route_recorder]: ignored odometry jump: step=2.981m exceeds max_odom_step=0.300m
[WARN] [1784534631.068055430] [route_recorder]: ignored odometry jump: step=3.053m exceeds max_odom_step=0.300m
[WARN] [1784534631.253141858] [route_recorder]: ignored odometry jump: step=3.166m exceeds max_odom_step=0.300m
[WARN] [1784534631.540387398] [route_recorder]: ignored odometry jump: step=3.263m exceeds max_odom_step=0.300m
[WARN] [1784534631.782894838] [route_recorder]: ignored odometry jump: step=3.320m exceeds max_odom_step=0.300m
[WARN] [1784534631.995976531] [route_recorder]: ignored odometry jump: step=3.391m exceeds max_odom_step=0.300m
[WARN] [1784534632.159885932] [route_recorder]: ignored odometry jump: step=3.457m exceeds max_odom_step=0.300m
[WARN] [1784534632.366344896] [route_recorder]: ignored odometry jump: step=3.546m exceeds max_odom_step=0.300m
[WARN] [1784534632.484829755] [route_recorder]: ignored odometry jump: step=3.610m exceeds max_odom_step=0.300m
[WARN] [1784534632.630521326] [route_recorder]: ignored odometry jump: step=3.686m exceeds max_odom_step=0.300m
[WARN] [1784534632.772377553] [route_recorder]: ignored odometry jump: step=3.780m exceeds max_odom_step=0.300m
[WARN] [1784534632.893004423] [route_recorder]: ignored odometry jump: step=3.861m exceeds max_odom_step=0.300m
[WARN] [1784534633.036385790] [route_recorder]: ignored odometry jump: step=3.957m exceeds max_odom_step=0.300m
[WARN] [1784534633.121544120] [route_recorder]: ignored odometry jump: step=4.045m exceeds max_odom_step=0.300m
[WARN] [1784534633.212063381] [route_recorder]: ignored odometry jump: step=4.134m exceeds max_odom_step=0.300m
[WARN] [1784534633.326419329] [route_recorder]: ignored odometry jump: step=4.212m exceeds max_odom_step=0.300m
[WARN] [1784534633.464843167] [route_recorder]: ignored odometry jump: step=4.291m exceeds max_odom_step=0.300m
[WARN] [1784534633.619430730] [route_recorder]: ignored odometry jump: step=4.364m exceeds max_odom_step=0.300m
[WARN] [1784534633.758776148] [route_recorder]: ignored odometry jump: step=4.446m exceeds max_odom_step=0.300m
[WARN] [1784534633.885387804] [route_recorder]: ignored odometry jump: step=4.514m exceeds max_odom_step=0.300m
[WARN] [1784534634.039806182] [route_recorder]: ignored odometry jump: step=4.780m exceeds max_odom_step=0.300m
[WARN] [1784534634.113979608] [route_recorder]: ignored odometry jump: step=5.074m exceeds max_odom_step=0.300m
[WARN] [1784534634.234001906] [route_recorder]: ignored odometry jump: step=5.230m exceeds max_odom_step=0.300m
[WARN] [1784534634.347730011] [route_recorder]: ignored odometry jump: step=5.387m exceeds max_odom_step=0.300m
[WARN] [1784534634.474903409] [route_recorder]: ignored odometry jump: step=5.533m exceeds max_odom_step=0.300m
[WARN] [1784534634.668702583] [route_recorder]: ignored odometry jump: step=5.625m exceeds max_odom_step=0.300m
[WARN] [1784534634.807004474] [route_recorder]: ignored odometry jump: step=5.696m exceeds max_odom_step=0.300m
[WARN] [1784534634.922966112] [route_recorder]: ignored odometry jump: step=5.849m exceeds max_odom_step=0.300m
[WARN] [1784534635.029382254] [route_recorder]: ignored odometry jump: step=5.930m exceeds max_odom_step=0.300m
[WARN] [1784534635.155322009] [route_recorder]: ignored odometry jump: step=6.026m exceeds max_odom_step=0.300m
[WARN] [1784534635.295669692] [route_recorder]: ignored odometry jump: step=6.096m exceeds max_odom_step=0.300m
[WARN] [1784534635.426717865] [route_recorder]: ignored odometry jump: step=6.181m exceeds max_odom_step=0.300m
