[INFO] [0001202337.207345568] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [0001202337.208416384] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/src/go2_fastlio_patrol/routes/tju206260710test6-lx.csv
[INFO] [0001202337.209646528] [waypoint_follower]: route points: 178
[INFO] [0001202337.210630048] [waypoint_follower]: loop_mode: pingpong
[INFO] [0001202337.211473696] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [0001202337.212260320] [waypoint_follower]: reach_distance: 0.4
[INFO] [0001202337.401995904] [waypoint_follower]: init nearest_index=0, distance_to_start=0.138
[INFO] [0001202337.415542112] [waypoint_follower]: nearest=0, target=2, dist=0.84, alpha=-0.07, vx=0.25, yaw_rate=-0.06, dir=1
[INFO] [0001202338.417556736] [waypoint_follower]: nearest=0, target=2, dist=0.84, alpha=-0.07, vx=0.25, yaw_rate=-0.06, dir=1
[INFO] [0001202339.465121184] [waypoint_follower]: nearest=0, target=2, dist=0.84, alpha=-0.07, vx=0.25, yaw_rate=-0.06, dir=1
[WARN] [0001202340.415145664] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [0001202340.515104160] [waypoint_follower]: nearest=0, target=2, dist=0.84, alpha=-0.09, vx=0.25, yaw_rate=-0.08, dir=1
[INFO] [0001202341.565091104] [waypoint_follower]: nearest=0, target=2, dist=0.84, alpha=-0.07, vx=0.25, yaw_rate=-0.07, dir=1
[INFO] [0001202342.565101920] [waypoint_follower]: nearest=1, target=3, dist=1.07, alpha=-0.01, vx=0.25, yaw_rate=-0.01, dir=1
[INFO] [0001202343.565179008] [waypoint_follower]: nearest=1, target=3, dist=0.84, alpha=0.06, vx=0.25, yaw_rate=0.05, dir=1
[INFO] [0001202344.565350048] [waypoint_follower]: nearest=1, target=3, dist=0.82, alpha=0.22, vx=0.25, yaw_rate=0.20, dir=1
[INFO] [0001202345.615418560] [waypoint_follower]: nearest=2, target=4, dist=0.91, alpha=0.50, vx=0.12, yaw_rate=0.45, dir=1
[INFO] [0001202346.616740800] [waypoint_follower]: nearest=3, target=5, dist=0.99, alpha=0.40, vx=0.25, yaw_rate=0.36, dir=1
[INFO] [0001202347.665361920] [waypoint_follower]: nearest=3, target=5, dist=0.75, alpha=0.09, vx=0.25, yaw_rate=0.08, dir=1
[INFO] [0001202348.715365600] [waypoint_follower]: nearest=3, target=5, dist=0.66, alpha=-0.46, vx=0.25, yaw_rate=-0.41, dir=1
[INFO] [0001202349.765006080] [waypoint_follower]: nearest=4, target=6, dist=0.94, alpha=-0.79, vx=0.12, yaw_rate=-0.45, dir=1
[INFO] [0001202350.765379040] [waypoint_follower]: nearest=4, target=6, dist=0.79, alpha=-0.61, vx=0.12, yaw_rate=-0.45, dir=1
[INFO] [0001202351.817217280] [waypoint_follower]: nearest=4, target=6, dist=0.68, alpha=-0.16, vx=0.25, yaw_rate=-0.15, dir=1
[WARN] [0001202351.865236928] [waypoint_follower]: stuck recovery: nearest_index 4 -> 4
[INFO] [0001202352.865236224] [waypoint_follower]: nearest=5, target=7, dist=1.04, alpha=0.29, vx=0.25, yaw_rate=0.26, dir=1
[INFO] [0001202353.915214624] [waypoint_follower]: nearest=5, target=7, dist=0.87, alpha=0.49, vx=0.25, yaw_rate=0.44, dir=1
[INFO] [0001202354.965296896] [waypoint_follower]: nearest=5, target=7, dist=0.67, alpha=0.19, vx=0.25, yaw_rate=0.17, dir=1
[WARN] [0001202355.115324576] [waypoint_follower]: stuck recovery: nearest_index 5 -> 5
[INFO] [0001202356.015181632] [waypoint_follower]: nearest=6, target=8, dist=0.86, alpha=-0.26, vx=0.25, yaw_rate=-0.24, dir=1
[INFO] [0001202357.015584704] [waypoint_follower]: nearest=6, target=8, dist=0.72, alpha=-0.51, vx=0.12, yaw_rate=-0.45, dir=1
[INFO] [0001202358.065318048] [waypoint_follower]: nearest=7, target=9, dist=0.95, alpha=-0.23, vx=0.25, yaw_rate=-0.20, dir=1
[INFO] [0001202359.115165568] [waypoint_follower]: nearest=7, target=9, dist=0.78, alpha=0.25, vx=0.25, yaw_rate=0.22, dir=1
