id,x,y,yaw,v
0,-0.008802,-0.020834,-0.000501,0.200
1,0.438911,0.014269,0.005809,0.200
2,0.844396,0.024558,0.033170,0.200
3,1.292677,0.041472,0.026542,0.200
4,1.713277,0.073468,0.023595,0.200
5,2.137235,0.096285,0.039618,0.200
6,2.557972,0.116000,0.044433,0.200
7,2.988335,0.154991,0.045400,0.200
8,3.416436,0.185429,0.057735,0.200
9,3.821972,0.233817,0.047322,0.200
10,4.459114,0.305516,0.080616,0.200
11,4.881971,0.331647,0.077116,0.200
12,5.348228,0.411995,0.064684,0.200
13,5.762561,0.453520,0.057603,0.200
14,6.316442,0.523607,0.068528,0.200
15,6.716126,0.575414,0.072400,0.200
16,7.353454,0.661431,0.076128,0.200
17,7.805069,0.723359,0.075494,0.200
18,8.211306,0.829563,0.080213,0.200
19,8.665810,0.859838,0.094054,0.200
20,9.064246,0.922508,0.093491,0.200
21,9.459768,0.985550,0.096543,0.200
22,9.936849,1.066168,0.113959,0.200
23,10.405316,1.141274,0.117344,0.200
24,10.888092,1.219787,0.114907,0.200
25,11.284022,1.313509,0.120488,0.200
26,11.683566,1.378509,0.114771,0.200
27,12.086641,1.470304,0.132627,0.200
28,12.552176,1.563020,0.119926,0.200
29,12.954189,1.653878,0.126222,0.200
30,13.503617,1.690075,0.042496,0.200
31,13.946621,1.721708,0.038941,0.200
32,14.522185,1.742863,0.023309,0.200
33,14.972685,1.790191,0.026986,0.200
34,15.478572,1.808805,0.041844,0.200
35,15.889941,1.834637,0.048576,0.200
36,16.362869,1.880492,0.058494,0.200
37,16.781823,1.923230,0.056509,0.200
38,17.200847,1.956750,0.064560,0.200
39,17.677945,2.003416,0.054404,0.200
40,18.095313,2.043653,0.051431,0.200
41,18.637512,2.118872,0.059620,0.200
42,19.041642,2.152164,0.060860,0.200
43,19.515345,2.212825,0.089592,0.200
44,20.006956,2.238919,0.091189,0.200
45,20.423368,2.345559,0.083294,0.200
46,20.823071,2.415825,0.093104,0.200
47,21.232726,2.476428,0.092956,0.200
