id,x,y,yaw,v
0,-0.019053,-0.002036,-0.002894,0.200
1,0.428742,0.031995,0.003416,0.200
2,0.834251,0.041314,0.030777,0.200
3,1.282571,0.057155,0.024149,0.200
4,1.703246,0.088144,0.021202,0.200
5,2.127258,0.109947,0.037225,0.200
6,2.548041,0.128655,0.042040,0.200
7,2.978496,0.166616,0.043007,0.200
8,3.406669,0.196029,0.055342,0.200
9,3.812319,0.243446,0.044929,0.200
10,4.449631,0.313620,0.078223,0.200
11,4.872549,0.338739,0.074723,0.200
12,5.338997,0.417971,0.062291,0.200
13,5.753428,0.458504,0.055210,0.200
14,6.307476,0.527266,0.066135,0.200
15,6.707282,0.578116,0.070007,0.200
16,7.344814,0.662607,0.073735,0.200
17,7.796576,0.723454,0.073101,0.200
18,8.203066,0.828686,0.077820,0.200
19,8.657642,0.857873,0.091661,0.200
20,9.056226,0.919589,0.091098,0.200
21,9.451898,0.981684,0.094150,0.200
22,9.929171,1.061160,0.111566,0.200
23,10.397816,1.135145,0.114951,0.200
24,10.880779,1.212502,0.112514,0.200
25,11.276932,1.305277,0.118095,0.200
26,11.676630,1.369320,0.112378,0.200
27,12.079924,1.460150,0.130234,0.200
28,12.545679,1.551752,0.117533,0.200
29,12.947909,1.641647,0.123829,0.200
30,13.497422,1.676529,0.040103,0.200
31,13.940500,1.707102,0.036548,0.200
32,14.516113,1.726880,0.020916,0.200
33,14.966725,1.773129,0.024593,0.200
34,15.472655,1.790532,0.039451,0.200
35,15.884085,1.815380,0.046183,0.200
36,16.357121,1.860103,0.056101,0.200
37,16.776176,1.901838,0.054116,0.200
38,17.195279,1.934355,0.062167,0.200
39,17.672488,1.979879,0.052011,0.200
40,18.089951,2.019117,0.049038,0.200
41,18.632328,2.093038,0.057227,0.200
42,19.036537,2.125363,0.058467,0.200
43,19.510383,2.184890,0.087199,0.200
44,20.002056,2.209808,0.088796,0.200
45,20.418722,2.315451,0.080901,0.200
46,20.818592,2.384760,0.090711,0.200
47,21.228390,2.444382,0.090563,0.200
48,21.709184,2.492062,0.080503,0.200
49,22.182686,2.562131,0.085519,0.200
50,22.611896,2.636314,0.084522,0.200
51,23.075350,2.713664,0.094131,0.200
52,23.489874,2.787132,0.102062,0.200
53,23.908719,2.870963,0.104720,0.200
54,24.323434,2.913223,0.129740,0.200
55,24.750644,2.958639,0.090868,0.200
56,25.227670,3.011030,0.073601,0.200
57,25.676166,2.991840,-0.047535,0.200
58,26.142073,2.962763,-0.094749,0.200
59,26.617713,2.887890,-0.074708,0.200
60,27.022666,2.837228,-0.082086,0.200
61,27.502083,2.823750,-0.062495,0.200
62,28.016732,2.756851,-0.067479,0.200
63,28.429438,2.727444,-0.066930,0.200
64,28.849866,2.712417,-0.061781,0.200
65,29.250359,2.663505,-0.062806,0.200
66,29.721915,2.628988,-0.063108,0.200
67,30.212963,2.585090,-0.048967,0.200
68,30.651644,2.585244,-0.057985,0.200
69,31.127546,2.557237,-0.028683,0.200
70,31.533609,2.532208,-0.030678,0.200
71,31.948647,2.528519,-0.030016,0.200
72,32.443970,2.492152,-0.034996,0.200
73,32.865748,2.505323,-0.028761,0.200
74,33.410394,2.480333,-0.035119,0.200
75,33.891919,2.459537,-0.012897,0.200
76,34.306078,2.455993,-0.014977,0.200
77,34.713003,2.445809,-0.006492,0.200
78,35.124226,2.438226,-0.013300,0.200
79,35.526835,2.410817,-0.012124,0.200
80,35.946403,2.429934,-0.007093,0.200
81,36.356041,2.426424,-0.004273,0.200
82,36.763315,2.444762,-0.002027,0.200
83,37.253838,2.447259,0.001933,0.200
84,37.733898,2.418055,-0.011502,0.200
85,38.221960,2.452641,-0.003142,0.200
86,38.643969,2.446761,0.003146,0.200
87,39.129328,2.461750,0.015521,0.200
88,39.616692,2.463932,0.006657,0.200
89,40.023550,2.466719,0.006726,0.200
90,40.493143,2.464373,0.001296,0.200
91,40.988720,2.512212,0.001330,0.200
92,41.397832,2.510779,0.010505,0.200
93,41.799822,2.526852,0.014334,0.200
94,42.220894,2.534888,0.017724,0.200
95,42.629403,2.539869,0.019302,0.200
96,43.104825,2.549222,0.022225,0.200
97,43.527984,2.578919,0.029202,0.200
98,43.985638,2.593534,0.039341,0.200
99,44.401281,2.620247,0.039398,0.200
100,44.814832,2.667067,0.045275,0.200
101,45.220927,2.677151,0.053230,0.200
102,45.622609,2.711978,0.051681,0.200
103,46.042336,2.760125,0.052910,0.200
104,46.553127,2.766098,0.034147,0.200
105,47.012937,2.806058,0.053796,0.200
106,47.499208,2.781735,-0.040599,0.200
107,47.911861,2.789021,-0.029610,0.200
108,48.367465,2.717727,-0.123694,0.200
109,48.775117,2.551479,-0.230864,0.200
110,49.166520,2.433969,-0.224664,0.200
111,49.576885,2.296115,-0.221376,0.200
112,49.982679,2.173491,-0.218415,0.200
113,50.447657,2.020145,-0.209352,0.200
114,50.852521,1.904706,-0.204529,0.200
115,51.240204,1.793971,-0.209283,0.200
116,51.728148,1.648261,-0.208542,0.200
117,52.127899,1.521943,-0.200192,0.200
118,52.541203,1.394661,-0.202555,0.200
119,52.936608,1.305314,-0.197636,0.200
120,53.337946,1.170457,-0.211960,0.200
121,53.749072,1.101199,-0.201135,0.200
122,54.179142,0.966034,-0.186915,0.200
123,54.576294,0.841465,-0.185527,0.200
124,55.001508,0.713222,-0.211833,0.200
125,54.844887,0.266701,-1.390581,0.200
126,54.769407,-0.193485,-1.383349,0.200
127,54.677676,-0.758945,-1.396126,0.200
128,54.601656,-1.201434,-1.387024,0.200
129,54.535433,-1.620906,-1.396304,0.200
130,54.476910,-2.174529,-1.371017,0.200
131,54.406381,-2.611386,-1.375897,0.200
132,54.348015,-3.071225,-1.359718,0.200
133,54.273171,-3.492898,-1.357862,0.200
134,54.210431,-3.937037,-1.379348,0.200
135,54.161615,-4.377779,-1.381387,0.200
136,54.167062,-4.788661,-1.254573,0.200
137,54.231193,-5.220663,-1.175865,0.200
138,54.285984,-5.676773,-1.174612,0.200
