1784916590.294209 [0] waypoint_f: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784916590.729148499] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1784916590.730050365] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-06/route_runtime.csv
[INFO] [1784916590.730735322] [waypoint_follower]: route points: 340
[INFO] [1784916590.731380773] [waypoint_follower]: loop_mode: pingpong
[INFO] [1784916590.732039147] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1784916590.740504386] [waypoint_follower]: reach_distance: 0.4
[INFO] [1784916590.765003704] [waypoint_follower]: init nearest_index=0, distance_to_start=0.005
[INFO] [1784916590.778373067] [waypoint_follower]: nearest=0, target=2, dist=0.85, alpha=0.06, vx=0.50, yaw_rate=0.05, dir=1
[INFO] [1784916591.778533782] [waypoint_follower]: nearest=0, target=2, dist=0.63, alpha=0.05, vx=0.50, yaw_rate=0.05, dir=1
[INFO] [1784916592.828401391] [waypoint_follower]: nearest=1, target=3, dist=0.80, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916593.829939218] [waypoint_follower]: nearest=2, target=4, dist=0.69, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784916594.829627619] [waypoint_follower]: nearest=3, target=5, dist=0.74, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784916595.878389116] [waypoint_follower]: nearest=4, target=6, dist=0.66, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784916596.878774172] [waypoint_follower]: nearest=5, target=7, dist=0.79, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784916597.928440129] [waypoint_follower]: nearest=6, target=8, dist=0.68, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784916598.928615326] [waypoint_follower]: nearest=7, target=9, dist=0.64, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784916599.929578375] [waypoint_follower]: nearest=9, target=10, dist=0.84, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784916600.979878537] [waypoint_follower]: nearest=9, target=10, dist=0.43, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784916602.028874849] [waypoint_follower]: nearest=10, target=12, dist=0.90, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784916603.079010031] [waypoint_follower]: nearest=11, target=13, dist=0.82, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784916604.079138145] [waypoint_follower]: nearest=12, target=14, dist=1.02, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916605.128488362] [waypoint_follower]: nearest=13, target=15, dist=0.98, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784916606.128514074] [waypoint_follower]: nearest=14, target=16, dist=1.20, alpha=0.03, vx=0.50, yaw_rate=0.02, dir=1
[INFO] [1784916607.128909999] [waypoint_follower]: nearest=15, target=16, dist=0.80, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784916608.128647134] [waypoint_follower]: nearest=15, target=16, dist=0.42, alpha=-0.09, vx=0.50, yaw_rate=-0.08, dir=1
[INFO] [1784916609.178916460] [waypoint_follower]: nearest=16, target=18, dist=0.84, alpha=0.05, vx=0.50, yaw_rate=0.04, dir=1
[INFO] [1784916610.178559288] [waypoint_follower]: nearest=17, target=19, dist=0.90, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784916611.228559776] [waypoint_follower]: nearest=18, target=20, dist=0.80, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784916612.228489961] [waypoint_follower]: nearest=19, target=21, dist=0.83, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784916613.278581548] [waypoint_follower]: nearest=20, target=22, dist=0.87, alpha=-0.00, vx=0.50, yaw_rate=-0.00, dir=1
[INFO] [1784916614.328872361] [waypoint_follower]: nearest=21, target=23, dist=0.91, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784916615.378217622] [waypoint_follower]: nearest=22, target=24, dist=0.98, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
