1784980038.058597 [0]    python3: config: //CycloneDDS/Domain/General: 'NetworkInterfaceAddress': deprecated element (file:///tmp/go2_cyclonedds_eth0.xml line 4)
[INFO] [1784980038.380781169] [waypoint_follower]: enhanced waypoint_follower started
[INFO] [1784980038.381628479] [waypoint_follower]: route_file: /home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-13/route_horizontal.csv
[INFO] [1784980038.382311057] [waypoint_follower]: route points: 1277
[INFO] [1784980038.387119341] [waypoint_follower]: loop_mode: pingpong
[INFO] [1784980038.387802719] [waypoint_follower]: lookahead_distance: 0.6
[INFO] [1784980038.388430289] [waypoint_follower]: reach_distance: 0.4
[INFO] [1784980038.434527311] [waypoint_follower]: FOLLOWER_EXACT_TRACE_READY file=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-13/follower_control_trace.jsonl base_sha256=d205a596fc6118ad7fa191871c646173cb545ab4b136e46de360598e38261120
[INFO] [1784980038.435262528] [waypoint_follower]: FOLLOWER_MOTION_INTERLOCK_ACTIVE file=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-13/.motion_enabled
[INFO] [1784980038.435870451] [waypoint_follower]: FOLLOWER_HORIZONTAL_FRAME_CALIBRATING metadata=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-13/route_horizontal.json lidar_imu=/livox/imu body_imu=/lf/sportmodestate samples=15 max_spread_deg=1.500 max_source_disagreement_deg=3.000
[INFO] [1784980042.657420221] [waypoint_follower]: FOLLOWER_HORIZONTAL_FRAME_READY samples=15 spread_deg=0.747904 source_disagreement_deg=0.515819 map_up=(-0.561537977,-0.063837896,0.824984742)
[INFO] [1784980042.659932104] [waypoint_follower]: FOLLOWER_HORIZONTAL_CALIBRATION_INPUT_FROZEN lidar_imu_subscription=closed
[INFO] [1784980042.664755236] [waypoint_follower]: FOLLOWER_HORIZONTAL_ROUTE_ANCHORED x=0.007003 y=0.010679 yaw_deg=0.782268 rotation_deg=-14.303025
[INFO] [1784980042.667229840] [waypoint_follower]: init nearest_index=0, distance_to_start=0.000
[INFO] [1784980043.663032258] [waypoint_follower]: FOLLOWER_ODOM_READY callbacks=20 age_ms=342.117 source_gap_ms=298.412
[INFO] [1784980050.553572177] [waypoint_follower]: FOLLOWER_MOTION_INTERLOCK_RELEASED file=/home/unitree/go2_fastlio_ws/patrol_logs/runs/20260725/xunjian-20260725-13/.motion_enabled receive_age_ms=99.744 stamp_age_ms=277.357
[WARN] [1784980050.555734211] [waypoint_follower]: stuck recovery: nearest_index 0 -> 0
[INFO] [1784980050.557032008] [waypoint_follower]: nearest=0, target=2, dist=0.89, alpha=0.09, vx=0.50, yaw_rate=0.08, dir=1
[INFO] [1784980051.604096728] [waypoint_follower]: nearest=1, target=3, dist=0.98, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980052.604143614] [waypoint_follower]: nearest=2, target=4, dist=0.94, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980053.654171826] [waypoint_follower]: nearest=3, target=5, dist=0.87, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980054.654102621] [waypoint_follower]: nearest=4, target=6, dist=0.90, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980055.704065461] [waypoint_follower]: nearest=5, target=7, dist=0.85, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980056.754030414] [waypoint_follower]: nearest=6, target=8, dist=0.77, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784980057.754270901] [waypoint_follower]: nearest=7, target=9, dist=0.81, alpha=-0.03, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784980058.804398125] [waypoint_follower]: nearest=8, target=10, dist=0.80, alpha=-0.05, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980059.804064290] [waypoint_follower]: nearest=9, target=11, dist=0.75, alpha=-0.02, vx=0.50, yaw_rate=-0.02, dir=1
[INFO] [1784980060.854283610] [waypoint_follower]: nearest=11, target=13, dist=1.08, alpha=-0.07, vx=0.50, yaw_rate=-0.06, dir=1
[INFO] [1784980061.854216203] [waypoint_follower]: nearest=12, target=14, dist=1.05, alpha=-0.05, vx=0.50, yaw_rate=-0.05, dir=1
[INFO] [1784980062.904036045] [waypoint_follower]: nearest=13, target=15, dist=1.05, alpha=-0.04, vx=0.50, yaw_rate=-0.04, dir=1
[INFO] [1784980063.954143242] [waypoint_follower]: nearest=14, target=16, dist=0.92, alpha=0.00, vx=0.50, yaw_rate=0.00, dir=1
[INFO] [1784980064.954132509] [waypoint_follower]: nearest=15, target=17, dist=0.96, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980066.010801779] [waypoint_follower]: nearest=16, target=18, dist=0.93, alpha=0.01, vx=0.50, yaw_rate=0.01, dir=1
[INFO] [1784980067.054286845] [waypoint_follower]: nearest=17, target=19, dist=0.82, alpha=-0.03, vx=0.50, yaw_rate=-0.03, dir=1
[INFO] [1784980068.103979238] [waypoint_follower]: nearest=18, target=20, dist=0.80, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
[INFO] [1784980069.104179799] [waypoint_follower]: nearest=19, target=21, dist=0.78, alpha=-0.01, vx=0.50, yaw_rate=-0.01, dir=1
