id,x,y,yaw,v
0,-0.003768,-0.046140,-0.007607,0.200
1,0.425146,-0.010998,-0.007167,0.200
2,0.821444,0.056973,-0.009855,0.200
3,1.238136,0.080190,-0.007122,0.200
4,1.645482,0.108172,0.012868,0.200
5,2.077364,0.126782,0.037121,0.200
6,2.503319,0.215710,0.031194,0.200
7,2.951142,0.239837,0.023347,0.200
8,3.363887,0.323755,0.028062,0.200
9,3.817080,0.382298,0.041731,0.200
10,4.236780,0.433717,0.062462,0.200
11,4.689971,0.485709,0.038381,0.200
12,5.088287,0.439871,-0.101415,0.200
13,5.488714,0.451229,-0.081990,0.200
14,5.916969,0.430584,-0.080879,0.200
15,6.375176,0.411404,-0.074713,0.200
16,6.781710,0.428009,-0.082061,0.200
17,7.225081,0.424692,-0.067738,0.200
18,7.660448,0.445309,-0.069887,0.200
19,8.064388,0.424218,-0.066574,0.200
20,8.506510,0.429746,-0.053750,0.200
21,8.923287,0.443917,-0.061659,0.200
22,9.347839,0.476854,-0.049498,0.200
23,9.775746,0.456054,-0.051224,0.200
24,10.209837,0.493189,-0.021884,0.200
25,10.646427,0.492666,-0.011573,0.200
26,11.077926,0.540679,-0.002493,0.200
27,11.529742,0.571615,0.008255,0.200
28,11.965735,0.611121,0.034566,0.200
29,12.416014,0.636397,0.032155,0.200
30,12.829053,0.687925,0.031697,0.200
31,13.260235,0.767322,0.031195,0.200
32,13.706676,0.812837,0.041631,0.200
33,14.112167,0.795116,0.018812,0.200
34,14.531173,0.849565,0.036187,0.200
35,14.972062,0.907842,0.019612,0.200
36,15.397989,0.936770,0.019777,0.200
37,15.812203,0.967012,0.042867,0.200
38,16.214581,1.026001,0.069071,0.200
39,16.619050,1.062747,0.077023,0.200
40,17.024148,1.102196,0.008105,0.200
41,17.461846,1.087599,-0.010304,0.200
42,17.868859,1.136480,-0.021045,0.200
43,18.288205,1.138955,-0.000913,0.200
44,18.736665,1.180590,-0.002920,0.200
45,19.148953,1.226417,0.018447,0.200
46,19.620065,1.259168,-0.042596,0.200
47,20.169231,1.240946,-0.049820,0.200
48,20.569178,1.254931,-0.056470,0.200
49,20.983210,1.248071,-0.057983,0.200
50,21.437542,1.254884,-0.055201,0.200
51,21.844132,1.289113,-0.047306,0.200
52,22.259692,1.304680,-0.042891,0.200
53,22.669019,1.284759,-0.043729,0.200
54,23.097868,1.301804,-0.028744,0.200
55,23.560357,1.331294,-0.036925,0.200
56,24.006336,1.341800,0.003784,0.200
57,24.445787,1.377452,0.003074,0.200
58,24.905787,1.402437,-0.010375,0.200
59,25.329938,1.456163,-0.009213,0.200
60,25.786128,1.495142,-0.010626,0.200
61,26.252698,1.498713,-0.035450,0.200
62,26.661915,1.523476,-0.042363,0.200
63,27.114141,1.521848,-0.051216,0.200
64,27.522063,1.518888,-0.098227,0.200
65,27.986116,1.484422,-0.068391,0.200
66,28.391918,1.431050,-0.082998,0.200
67,28.800230,1.456391,-0.070117,0.200
68,29.264946,1.463028,-0.046436,0.200
69,29.715480,1.442995,-0.055120,0.200
70,30.158758,1.464095,-0.068704,0.200
71,30.629135,1.437746,-0.066819,0.200
72,31.048121,1.458588,-0.066106,0.200
73,31.466385,1.466901,-0.060759,0.200
74,31.868059,1.476045,-0.051200,0.200
75,32.303088,1.465521,-0.049920,0.200
76,32.759643,1.486789,-0.039350,0.200
77,33.180505,1.497309,-0.037005,0.200
78,33.626289,1.518583,-0.020564,0.200
79,34.055459,1.529542,-0.001013,0.200
80,34.503215,1.528334,-0.011587,0.200
81,34.931251,1.512723,-0.000006,0.200
82,35.350698,1.558580,-0.016145,0.200
83,35.792094,1.619875,-0.007605,0.200
84,36.197411,1.652437,-0.007305,0.200
85,36.658777,1.683454,-0.001730,0.200
86,37.106375,1.627848,-0.004768,0.200
