id,x,y,yaw,v
0,0.000000000,0.000000000,0.263288033,0.200
1,0.427399087,0.137403704,0.276615041,0.200
2,0.831479977,0.301305038,0.276035126,0.200
3,1.261653982,0.425897824,0.289158122,0.200
4,1.679008835,0.552567076,0.303243253,0.200
5,2.133753868,0.677459579,0.317329702,0.200
6,2.556124434,0.867909719,0.321489694,0.200
7,3.020951417,1.001331953,0.321511686,0.200
8,3.436863798,1.184536580,0.326008018,0.200
9,3.893863696,1.351983217,0.335485522,0.200
10,4.327804545,1.505734393,0.347692200,0.200
11,4.783452489,1.666412326,0.325764201,0.200
12,5.225466683,1.721442932,0.177909348,0.200
13,5.640206346,1.830357368,0.184934531,0.200
14,6.093885396,1.915301065,0.187488756,0.200
15,6.576641497,2.008739178,0.191968940,0.200
16,7.009900542,2.126106957,0.198376576,0.200
17,7.475967641,2.231686133,0.205865638,0.200
18,7.927284945,2.358465109,0.207811484,0.200
19,8.367683438,2.438694134,0.207355030,0.200
20,8.823135831,2.551560753,0.220653639,0.200
21,9.266206234,2.668866627,0.219891733,0.200
22,9.697890089,2.804217050,0.230676703,0.200
23,10.147711938,2.888434731,0.239863811,0.200
24,10.603884719,3.032356822,0.256233055,0.200
25,11.059391187,3.138600236,0.266073905,0.200
26,11.500385742,3.291084564,0.277879010,0.200
27,11.964071071,3.431587472,0.287056473,0.200
28,12.423429129,3.578523562,0.306229988,0.200
29,12.885130180,3.712910527,0.311700294,0.200
30,13.308281806,3.864608287,0.315922658,0.200
31,13.751923925,4.048959377,0.320687297,0.200
32,14.207252746,4.202413959,0.336060750,0.200
33,14.636505725,4.284634010,0.284807802,0.200
34,15.060406591,4.439964283,0.301899910,0.200
35,15.515238675,4.605618403,0.301464633,0.200
36,15.956614453,4.738425736,0.303395753,0.200
37,16.378086558,4.868619462,0.323860120,0.200
38,16.786566867,5.024713548,0.344786579,0.200
39,17.195888704,5.158784359,0.358665202,0.200
40,17.609788834,5.296270595,0.278726689,0.200
41,18.077541386,5.390186105,0.274392738,0.200
42,18.495311544,5.537876376,0.267210135,0.200
43,18.939873980,5.643895017,0.275730934,0.200
44,19.395602315,5.793706720,0.281079973,0.200
45,19.828796180,5.940997833,0.293426269,0.200
46,20.304883617,6.086968646,0.238707393,0.200
47,20.892506111,6.204999063,0.232194632,0.200
48,21.292337647,6.314432561,0.226036907,0.200
49,21.742225080,6.411283362,0.223580771,0.200
50,22.208814798,6.528202404,0.226867085,0.200
51,22.633581660,6.662103134,0.234680505,0.200
52,23.065073762,6.779082124,0.242178878,0.200
53,23.501172067,6.860424113,0.240002823,0.200
54,23.952244874,6.982931164,0.249580469,0.200
55,24.421270219,7.123785954,0.253586877,0.200
56,24.896068740,7.244726257,0.272275306,0.200
57,25.342265972,7.386305510,0.277427735,0.200
58,25.832942921,7.525395688,0.272771482,0.200
59,26.256018230,7.680396754,0.277377073,0.200
60,26.731699290,7.831083417,0.281085255,0.200
61,27.219832944,7.948959439,0.242178801,0.200
62,27.633755351,8.072103150,0.245702067,0.200
63,28.113829147,8.182206919,0.220274139,0.200
64,28.542235876,8.279381415,0.181851755,0.200
65,29.043043662,8.360553164,0.195199303,0.200
66,29.481588912,8.408277744,0.191447564,0.200
67,29.902301421,8.532855948,0.192096816,0.200
68,30.391513522,8.653778067,0.218734517,0.200
69,30.880110285,8.746407822,0.207481006,0.200
70,31.327084752,8.873855395,0.204040075,0.200
71,31.830767852,8.964210582,0.211534699,0.200
72,32.262897469,9.086917521,0.212409960,0.200
73,32.701989112,9.197933627,0.218574756,0.200
74,33.113489424,9.304296986,0.223927589,0.200
75,33.581899179,9.402130469,0.225710589,0.200
76,34.049581124,9.533946834,0.237360618,0.200
77,34.493556540,9.648118138,0.237343064,0.200
78,34.954774029,9.777969408,0.251796030,0.200
79,35.412404418,9.895305089,0.267177140,0.200
80,35.883505097,10.004140053,0.266555716,0.200
81,36.328713601,10.092942039,0.270488453,0.200
82,36.767476073,10.241750081,0.268068434,0.200
83,37.219093094,10.410039729,0.270773895,0.200
84,37.633622679,10.540715704,0.271762830,0.200
85,38.109669973,10.683967368,0.277756534,0.200
86,38.599711757,10.740765918,0.277244128,0.200
87,39.017376664,10.902201986,0.277598075,0.200
88,39.423736038,11.047302445,0.282516232,0.200
89,39.870285771,11.224862865,0.288748893,0.200
90,40.373902797,11.362400029,0.292114357,0.200
91,40.818353660,11.495524295,0.292106963,0.200
92,41.240787928,11.644183415,0.294439818,0.200
93,41.678250377,11.754226346,0.298803934,0.200
94,42.126271516,11.855721089,0.305065632,0.200
95,42.551163558,11.983560667,0.308966505,0.200
96,42.994148813,12.122241145,0.310864004,0.200
97,43.396744646,12.306275154,0.316250270,0.200
98,43.821786490,12.501559338,0.319547710,0.200
99,44.323413637,12.637237735,0.317386183,0.200
100,44.751308112,12.744274845,0.264955595,0.200
101,45.231308707,12.767842405,0.192247227,0.200
102,45.650674063,12.905196480,0.191930028,0.200
103,46.081022845,13.049310261,0.193306611,0.200
104,46.560087161,13.160853312,0.210552778,0.200
105,47.003241382,13.250712109,0.222307002,0.200
106,47.467743483,13.332474950,0.232013265,0.200
107,47.919375281,13.473386975,0.239625548,0.200
108,48.351866863,13.614956784,0.242968615,0.200
109,48.800756547,13.735650137,0.246706599,0.200
110,49.296047935,13.819825164,0.254480507,0.200
111,49.808716687,14.017076832,0.260003920,0.200
112,50.240682870,14.167110486,0.262272891,0.200
113,50.672545360,14.250850229,0.270857524,0.200
114,51.164398249,14.396839388,0.277261443,0.200
115,51.611032441,14.553487609,0.284765790,0.200
116,52.046169424,14.658447049,0.287041420,0.200
117,52.441524663,14.809667782,0.290341012,0.200
118,52.850246345,14.972695772,0.303351493,0.200
119,53.294905458,15.076233975,0.306112493,0.200
120,53.804968229,15.194566590,0.312270298,0.200
121,54.234617923,15.334170816,0.315547999,0.200
122,54.632405683,15.547162837,0.288641992,0.200
123,55.069261879,15.637113080,0.202777507,0.200
124,55.565908155,15.647924348,0.067321670,0.200
125,56.055591193,15.640687846,-0.048331792,0.200
126,56.538117282,15.583544763,-0.051275749,0.200
127,56.976320429,15.578525417,-0.054896183,0.200
128,57.430958836,15.589536829,-0.071047237,0.200
129,57.920828773,15.530534086,-0.176354211,0.200
130,58.320825097,15.375586382,-0.287806042,0.200
131,58.809574842,15.261255365,-0.280489118,0.200
132,59.234803497,15.195932717,-0.279152201,0.200
133,59.699931454,14.981518245,-0.273241734,0.200
134,60.109592834,14.844105190,-0.329193396,0.200
135,60.561368214,14.641074851,-0.440022568,0.200
136,60.962248816,14.396834044,-0.599002884,0.200
137,61.376918033,14.106126735,-0.585285237,0.200
138,61.759810006,13.842318720,-0.578698076,0.200
139,62.150264991,13.586919629,-0.575433697,0.200
140,62.562945528,13.344583799,-0.570345838,0.200
141,62.951383064,13.100613965,-0.563764473,0.200
142,63.340482749,12.866387003,-0.562510284,0.200
143,63.751872752,12.646698060,-0.554603191,0.200
144,64.158790113,12.376462321,-0.549502227,0.200
145,64.584406246,12.058986669,-0.646051064,0.200
146,64.874172105,11.760235806,-0.804179403,0.200
147,65.158299422,11.377097595,-0.932746646,0.200
148,65.354590996,10.980076006,-1.134252796,0.200
149,65.562931192,10.574770119,-1.134733286,0.200
150,65.745823724,10.179722634,-1.127968740,0.200
151,65.930872506,9.784299925,-1.144097900,0.200
152,66.057667079,9.314134928,-1.269719924,0.200
153,66.226966097,8.856040055,-1.263745442,0.200
154,66.390528673,8.422338300,-1.258085494,0.200
155,66.566215559,8.006657760,-1.253704977,0.200
156,66.691868631,7.564003925,-1.251690202,0.200
157,66.834070697,7.108503270,-1.246724970,0.200
158,66.941155265,6.706314379,-1.237415691,0.200
159,67.133149261,6.273241273,-1.233890655,0.200
160,67.304601873,5.857986052,-1.232600906,0.200
161,67.444242502,5.397418883,-1.294181758,0.200
162,67.488894401,4.969862898,-1.367633726,0.200
163,67.569138918,4.541249544,-1.360143562,0.200
164,67.660646727,4.106018254,-1.358154678,0.200
165,67.747739590,3.641663444,-1.353491332,0.200
166,67.882332257,3.202117705,-1.348163460,0.200
167,68.000592113,2.785689947,-1.346647920,0.200
168,68.105051728,2.297983783,-1.341659792,0.200
169,68.207068596,1.828878473,-1.334010777,0.200
170,68.307140316,1.401938891,-1.329222477,0.200
171,68.419968569,0.970990889,-1.323216291,0.200
172,68.523882380,0.583823762,-1.326426992,0.200
173,68.636490157,0.153564171,-1.321663496,0.200
174,68.725350412,-0.252396455,-1.315220543,0.200
175,68.850523443,-0.666844326,-1.311897664,0.200
176,68.986779030,-1.105956506,-1.301512510,0.200
177,69.125523146,-1.516781037,-1.300653510,0.200
178,69.231043434,-1.945808343,-1.294268806,0.200
179,69.344602008,-2.343099238,-1.286858703,0.200
180,69.503627729,-2.799504966,-1.280797482,0.200
181,69.638208102,-3.218250921,-1.281811314,0.200
182,69.768428429,-3.613338404,-1.285728726,0.200
183,69.906250501,-4.057546660,-1.282297905,0.200
184,70.038907529,-4.475784055,-1.270405459,0.200
185,70.166132656,-4.907816512,-1.264199037,0.200
186,70.307586672,-5.327669662,-1.262658295,0.200
187,70.444177571,-5.736563761,-1.261586583,0.200
188,70.609445728,-6.140068976,-1.277305168,0.200
189,70.712486785,-6.553707361,-1.320852860,0.200
190,70.765494739,-6.959177110,-1.359466555,0.200
191,70.854330817,-7.378869699,-1.354781019,0.200
192,70.973471574,-7.813928025,-1.350714471,0.200
193,71.091787256,-8.229524878,-1.344933202,0.200
194,71.152786494,-8.647419488,-1.347544911,0.200
195,71.259219303,-9.086064925,-1.337637899,0.200
