id,x,y,yaw,v
0,6.736304,-6.468605,0.229249,0.200
1,7.144998,-6.333801,0.229689,0.200
2,7.514282,-6.174737,0.227001,0.200
3,7.913892,-6.054393,0.229734,0.200
4,8.303299,-5.931609,0.249724,0.200
5,8.718757,-5.812179,0.273977,0.200
6,9.111953,-5.625784,0.268050,0.200
7,9.541611,-5.497251,0.260203,0.200
8,9.923142,-5.318826,0.264918,0.200
9,10.349945,-5.155577,0.278587,0.200
10,10.745862,-5.007112,0.299318,0.200
11,11.174200,-4.850231,0.275237,0.200
12,11.572151,-4.801326,0.135441,0.200
13,11.958733,-4.696326,0.154866,0.200
14,12.379876,-4.615905,0.155977,0.200
15,12.829790,-4.527033,0.162143,0.200
16,13.221078,-4.415499,0.154795,0.200
17,13.652849,-4.314688,0.169118,0.200
18,14.071223,-4.192489,0.166969,0.200
19,14.468834,-4.118208,0.170282,0.200
20,14.897315,-4.009091,0.183106,0.200
21,15.299130,-3.897520,0.175197,0.200
22,15.704101,-3.765883,0.187358,0.200
23,16.124941,-3.685695,0.185632,0.200
24,16.538199,-3.547738,0.214972,0.200
25,16.962723,-3.445802,0.225283,0.200
26,17.370908,-3.297879,0.234363,0.200
27,17.802851,-3.161789,0.245111,0.200
28,18.217401,-3.021082,0.271422,0.200
29,18.649178,-2.890855,0.269011,0.200
30,19.038594,-2.743847,0.268553,0.200
31,19.439107,-2.565491,0.268051,0.200
32,19.862404,-2.416490,0.278487,0.200
33,20.260732,-2.338569,0.255668,0.200
34,20.655263,-2.187322,0.273043,0.200
35,21.070168,-2.027218,0.256468,0.200
36,21.477416,-1.899155,0.256633,0.200
37,21.872969,-1.772564,0.279723,0.200
38,22.250271,-1.620805,0.305927,0.200
39,22.634825,-1.490177,0.313879,0.200
40,23.019356,-1.356774,0.244961,0.200
41,23.448259,-1.268259,0.226552,0.200
42,23.832439,-1.125238,0.215811,0.200
43,24.239496,-1.024434,0.235943,0.200
44,24.665666,-0.878731,0.233936,0.200
45,25.055690,-0.737441,0.255303,0.200
46,25.505964,-0.595059,0.194260,0.200
47,26.044073,-0.483912,0.187036,0.200
48,26.429572,-0.376471,0.180386,0.200
49,26.833654,-0.285988,0.178873,0.200
50,27.273703,-0.172758,0.181655,0.200
51,27.660910,-0.044079,0.189550,0.200
52,28.061215,0.068564,0.193965,0.200
53,28.463788,0.145246,0.193127,0.200
54,28.876664,0.262443,0.208112,0.200
55,29.319321,0.399632,0.199931,0.200
56,29.750383,0.514492,0.240640,0.200
57,30.169199,0.652265,0.239930,0.200
58,30.610494,0.784490,0.226481,0.200
59,31.010196,0.936242,0.227643,0.200
60,31.444503,1.081177,0.226230,0.200
61,31.897209,1.194128,0.201406,0.200
62,32.289190,1.314221,0.194493,0.200
63,32.729172,1.418752,0.185640,0.200
64,33.126400,1.511592,0.138629,0.200
65,33.585584,1.586977,0.168465,0.200
66,33.992580,1.630316,0.153858,0.200
67,34.383546,1.750759,0.166739,0.200
68,34.833730,1.866255,0.190420,0.200
69,35.276386,1.952498,0.181736,0.200
70,35.702337,2.077023,0.168152,0.200
71,36.165764,2.161782,0.170037,0.200
72,36.568162,2.280356,0.170750,0.200
73,36.972797,2.386582,0.176097,0.200
74,37.361111,2.489722,0.185656,0.200
